,if,lof,svm,aedp,ahdp,kedp,khdp,cone,ekde,hkde,lhkde,lekde,lskde,mlkde,Metric,path
0,0.5095393339731102,0.44837257627065275,0.6037936325444433,0.4021786743169492,0.6655831995681815,0.5099979329175985,0.6663259233859112,0.3386553619404813,0.4427655379668367,0.5262983018879384,0.3784914893403602,0.3784914893403602,0.9126578311303066,0.8723080681323334,AuROC,./ad/cardio/results_mdppprgln_2_1e0.pkl
1,0.21317358071106238,0.18563638641368785,0.2649969805122201,0.20943977630641572,0.396390844806253,0.23628481652223537,0.29408501926381814,0.16645590335052202,0.2203117543868835,0.21382703548152215,0.16827213211196076,0.16827213211196076,0.8473328197332957,0.7021927816140482,AuPRC,./ad/cardio/results_mdppprgln_2_1e0.pkl
0,0.5533185750039994,0.44837257627065275,0.6037936325444433,0.3534195303100714,0.5696005463773556,0.3608036122877664,0.5846893860375616,0.3386553619404813,0.3635602565170661,0.5614108904932951,0.341584832673807,0.341584832673807,0.9533740830082178,0.8983154388858965,AuROC,./ad/cardio/results_mdppprgln_2_1e1.pkl
1,0.2396311781008819,0.18563638641368785,0.2649969805122201,0.20060148912040465,0.23531969315482743,0.2044039407397279,0.2888795296686619,0.16645590335052202,0.20679330062563334,0.2662238692898387,0.15559015071001556,0.15559015071001556,0.9023986062063122,0.7343315588824121,AuPRC,./ad/cardio/results_mdppprgln_2_1e1.pkl
0,0.5323245592801492,0.44837257627065275,0.6037936325444433,0.5034227161889973,0.7712115819418254,0.4386797269226144,0.5290190689918995,0.3386553619404813,0.5588021243766006,0.5612350524208289,0.4789427839279804,0.4789427839279804,0.9268717700071962,0.8750023111847908,AuROC,./ad/cardio/results_mdppprgln_2_1e2.pkl
1,0.21566213511301552,0.18563638641368785,0.2649969805122201,0.263098264435445,0.5832088563254164,0.24033348336378949,0.21105527811375582,0.16645590335052202,0.25194741293163786,0.2454818248589592,0.19774867312415284,0.19774867312415284,0.8443067998662637,0.7082366369057913,AuPRC,./ad/cardio/results_mdppprgln_2_1e2.pkl
0,0.5792688587348864,0.44837257627065275,0.6037936325444433,0.4291625832079067,0.7627394327046711,0.4327567600715635,0.7583820204783208,0.3386553619404813,0.47575689355937856,0.6046515083310597,0.4063436409688723,0.4063436409688723,0.8549774333923666,0.8680977706654116,AuROC,./ad/cardio/results_mdppprgln_2_1e-1.pkl
1,0.24126740362442334,0.18563638641368785,0.2649969805122201,0.19160547465933964,0.5465254815183527,0.19540785365877775,0.45981120179979157,0.16645590335052202,0.22527763812175694,0.25753437631912557,0.17515820103796204,0.17515820103796204,0.776432685491982,0.6926264108562252,AuPRC,./ad/cardio/results_mdppprgln_2_1e-1.pkl
0,0.30074579490473496,0.5176319692651172,0.4984636094249275,0.685119566848251,0.27858683968428527,0.7063335352413997,0.8133271235214632,0.5973445177736746,0.6923692073960022,0.7412678170649016,0.7174460235101339,0.7174460235101339,0.7062740734869852,0.2759690416589474,AuROC,./ad/cover/results_mdppprgln_2_1e-1.pkl
1,0.10259273943382369,0.19025642277122895,0.13160812110485223,0.2110558768037975,0.09899418581261121,0.2279087645746316,0.5859943011820522,0.16971373557345912,0.2516277443191795,0.25747374430616987,0.2387751417380163,0.2387751417380163,0.3274159022563305,0.09730142577294668,AuPRC,./ad/cover/results_mdppprgln_2_1e-1.pkl
