,iso,lof,svm,kedp,ckedp,khdp,ckhdp,cone,ccone,ekde,cekde,hkde,chkde,lhkde,clhkde,lekde,clekde,lskde,clskde,mlkde,cmlkde,Metric,EnergyScore,path
0,0.6645788538842666,0.45889618584649905,0.8199845751145179,0.4926614938767878,0.5180424418061139,0.39899037113209307,0.663807609610171,0.5,0.6972223520613255,0.4837688136860802,0.662557259044592,0.3989319435355707,0.5030966626156866,0.6982682060390764,0.7188347200149574,0.45204262877442275,0.6643685145367859,0.9521127418902496,0.7658806207347855,0.26868514536786015,0.6294404973357017,AuROC,5.713246732034117,./ad/cardio/results_mdppprgln_2_1e-1.pkl
1,0.3362299620822149,0.20217955847474028,0.5292508229372831,0.20509922568898267,0.2133987398696841,0.17977850909657392,0.30939630382241523,0.6062937062937063,0.3478208327130349,0.20454598763953455,0.31533726668480955,0.20144933370000156,0.20996412605933015,0.42254068410464174,0.3571160792908987,0.18051463615738422,0.29484461785237576,0.9098939741635136,0.404189462378525,0.141869296453639,0.3022921721785392,AuPRC,5.713246732034117,./ad/cardio/results_mdppprgln_2_1e-1.pkl
0,0.6655020099093204,0.45889618584649905,0.8199845751145179,0.6102996167149668,0.6225109843881461,0.7515658595868,0.7762339908385528,0.5,0.6972223520613255,0.6652566140039262,0.6993082172571748,0.4361269514817238,0.48519444704122655,0.7015284659250256,0.7125829671870618,0.695837618023745,0.7053496307375899,0.9200126203608489,0.7499883144806955,0.3698116294288118,0.6520987192670842,AuROC,5.484911455701742,./ad/cardio/results_mdppprgln_2_1e0.pkl
1,0.3340843018207367,0.20217955847474028,0.5292508229372831,0.3086746363172967,0.3124972245400165,0.4637765212668368,0.3806887914676572,0.6062937062937063,0.3478208327130349,0.309573099753228,0.35413233523624976,0.2693967300753002,0.23039584285632678,0.3506108331724097,0.3558375605479711,0.35882424298758775,0.3679280360447818,0.8562438691225812,0.39198202184193226,0.16761381703413553,0.3158862387080453,AuPRC,5.484911455701742,./ad/cardio/results_mdppprgln_2_1e0.pkl
0,0.6827147798448163,0.45889618584649905,0.8199845751145179,0.374439095073385,0.41082780218752923,0.6817682527811535,0.7774025427690007,0.5,0.6972223520613255,0.6022249228755726,0.6725133214920072,0.6803893615032253,0.7609960736655137,0.7017388052725063,0.7082710105637094,0.478066280265495,0.654587734878938,0.9364775170608582,0.7589627933065346,0.2912849397027204,0.6367790034589138,AuROC,5.756839283684204,./ad/cardio/results_mdppprgln_2_1e1.pkl
1,0.35849036461259676,0.20217955847474028,0.5292508229372831,0.1837164729305955,0.20325812469602447,0.32089993869397443,0.38016008169884385,0.6062937062937063,0.3478208327130349,0.2462591795465052,0.30762771108784404,0.3548044692199037,0.3633254783396908,0.30919492284089295,0.3527256782779704,0.19217277612362382,0.2855345252012038,0.8603026617626177,0.3987201569260985,0.1450743560517462,0.3066482086205927,AuPRC,5.756839283684204,./ad/cardio/results_mdppprgln_2_1e1.pkl
0,0.6983149481162944,0.45889618584649905,0.8199845751145179,0.7181219033373842,0.7232869028699636,0.6882186594372255,0.7229947648873516,0.5,0.6972223520613255,0.7185308965130411,0.7712092175376275,0.6105683836589697,0.6896793493502851,0.3825605309899972,0.6701995886697204,0.7493806674768626,0.7618491165747406,0.9214031971580817,0.7518813686080209,0.37383144806955226,0.6465480975974572,AuROC,5.7163017927609125,./ad/cardio/results_mdppprgln_2_1e2.pkl
1,0.37354577942236605,0.20217955847474028,0.5292508229372831,0.43029756146313247,0.43383114051809424,0.2808955718466425,0.34731953660913417,0.6062937062937063,0.3478208327130349,0.42939691504249367,0.4089078129406031,0.23727354813685683,0.2804830618942687,0.1660743183869144,0.33218509956568215,0.4102800628566584,0.3731889645195457,0.8333116492612478,0.39271881110091694,0.16674778228512743,0.31284065951462947,AuPRC,5.7163017927609125,./ad/cardio/results_mdppprgln_2_1e2.pkl
0,0.45834572673371116,0.5277053100533954,0.4778384162653826,0.7793965997313852,0.7779019665651172,0.19303960428473155,0.47787641541367754,0.5,0.478618272349068,0.6888123082298729,0.5073764208733252,0.4868280538539654,0.4986457889736954,0.16006333191382488,0.44322905406143187,0.6941631997903496,0.4944811696749325,0.4658429150151232,0.4757598191764667,0.47872506305893137,0.46978259682685275,AuROC,3.1034954148076794,./ad/cover/results_mdppprgln_2_1e-1.pkl
1,0.12380898276786803,0.17327923538493667,0.12674383537883727,0.48632018436247093,0.4796119088756656,0.09128861656211572,0.13567901194761822,0.5724755700325733,0.13621493599088158,0.46117245044210786,0.17514962222486335,0.13235258378277734,0.14464525816656792,0.08566015691880999,0.1277475410569816,0.4067811607474243,0.149583733784339,0.12708205718155585,0.1348380891322078,0.1274565832589698,0.13417189163975946,AuPRC,3.1034954148076794,./ad/cover/results_mdppprgln_2_1e-1.pkl
