,iso,lof,svm,kedp,ckedp,khdp,ckhdp,cone,ccone,ekde,cekde,hkde,chkde,lhkde,clhkde,lekde,clekde,lskde,clskde,mlkde,cmlkde,Metric,EnergyScore,path
0,0.5470398662078079,0.44837257627065275,0.6037936325444433,0.3910388024225462,0.40524926930864336,0.6554561817596385,0.707388804841226,0.3386553619404813,0.6968798798946367,0.48417124496299574,0.6651303995755127,0.3045196796749826,0.37772832568167725,0.7049089905669579,0.7198382992987831,0.45110415057057207,0.6662978203565753,0.9509446218088846,0.7662692304035179,0.2817384788655588,0.6328906196912625,AuROC,5.72298701016712,./ad/cardio/results_mdppprgln_2_1e-1.pkl
1,0.2214074989891142,0.18563638641368785,0.2649969805122201,0.18060568954519884,0.18418138055417682,0.27510157697001514,0.3542348824571442,0.16645590335052202,0.3486835224446976,0.21724097371523382,0.31881957103144154,0.1691341536790868,0.18471139091097175,0.4389399430648494,0.358333655251483,0.18103609394684722,0.29750705510171976,0.906056330668054,0.40505190605863406,0.1425971535468764,0.3033816958840331,AuPRC,5.72298701016712,./ad/cardio/results_mdppprgln_2_1e-1.pkl
0,0.5709397096386409,0.44837257627065275,0.6037936325444433,0.7399828680796879,0.7550315949320409,0.7077193021673291,0.7052378160859576,0.3386553619404813,0.6968798798946367,0.6620340752348368,0.7002373930336498,0.5239980174608927,0.5704741748376685,0.689153327307564,0.7106291925598989,0.6934453078300647,0.7102700002909003,0.9221738625864873,0.7501013858822225,0.37350902831194893,0.6529991690221548,AuROC,5.485798045386116,./ad/cardio/results_mdppprgln_2_1e0.pkl
1,0.23542374406115177,0.18563638641368785,0.2649969805122201,0.40237235746108474,0.40691380553181383,0.4399004969757879,0.35242691716261576,0.16645590335052202,0.3486835224446976,0.3108686668604474,0.3505618255772525,0.30328796320951157,0.2535885014548326,0.33839262506481793,0.3553909547968024,0.3610375664904568,0.3722874310290947,0.8602790294053728,0.39295905252703767,0.16673852466667194,0.3168087036268915,AuPRC,5.485798045386116,./ad/cardio/results_mdppprgln_2_1e0.pkl
0,0.5136163541327321,0.44837257627065275,0.6037936325444433,0.7418775587376396,0.7557401975263243,0.7692235115369772,0.7426999418515818,0.3386553619404813,0.6968798798946367,0.5932584487631671,0.671410236541886,0.7064583341268849,0.7795432519181595,0.6783829897161233,0.7061095517364377,0.4790312905105315,0.6543695569086166,0.9341319712207127,0.7579856836360405,0.29697368895829324,0.6429297428050189,AuROC,5.738182287715334,./ad/cardio/results_mdppprgln_2_1e1.pkl
1,0.2159170910626671,0.18563638641368785,0.2649969805122201,0.33983326773886474,0.35507733894269916,0.5418164141219387,0.37509218234067077,0.16645590335052202,0.3486835224446976,0.24611047069474867,0.3223347910136793,0.40525744134313724,0.405882073717044,0.28410964506400027,0.3517817362096032,0.19181919309505996,0.2860333064277246,0.8544588253396402,0.3986678946008764,0.1463605324236069,0.3108443641927756,AuPRC,5.738182287715334,./ad/cardio/results_mdppprgln_2_1e1.pkl
0,0.5253055903320683,0.44837257627065275,0.6037936325444433,0.6784860478794137,0.7120376684115006,0.8330520582036167,0.7547948737223122,0.3386553619404813,0.6968798798946367,0.721415666803736,0.760544890974067,0.5992168588591984,0.6537509260556026,0.39036771233317125,0.6731946923385472,0.7511099982594518,0.7518586266553056,0.9189519287988271,0.7525331210263031,0.34344137970968136,0.6404009100712551,AuROC,5.726282781377377,./ad/cardio/results_mdppprgln_2_1e2.pkl
1,0.22844018342894007,0.18563638641368785,0.2649969805122201,0.4323019682780815,0.4600336230351441,0.550920118655451,0.38863200954982074,0.16645590335052202,0.3486835224446976,0.43005128344658283,0.4022598025137382,0.33544565209944827,0.31462132855521796,0.16645475626089123,0.3347105508769606,0.41462162475750886,0.36779486956081553,0.8299760166141813,0.3933602099021093,0.15856582827385077,0.3076875008783285,AuPRC,5.726282781377377,./ad/cardio/results_mdppprgln_2_1e2.pkl
0,0.325936712315076,0.5176319692651172,0.4984636094249275,0.7791441956291749,0.7761242778044009,0.18121754047490607,0.4775473943478158,0.5973445177736746,0.47931598785222707,0.6546432840757033,0.48489149193389747,0.7418771161164741,0.567377095978625,0.1953732912385627,0.449391575474688,0.680628484906057,0.48176758111998874,0.46667962887146325,0.4754522958593701,0.2432852106504232,0.43662203565410784,AuROC,3.1015267906403152,./ad/cover/results_mdppprgln_2_1e-1.pkl
1,0.10215083464110974,0.19025642277122895,0.13160812110485223,0.48661006210495344,0.47321913672527793,0.09035389731467151,0.1356629712202999,0.16971373557345912,0.1367715176538674,0.4357989449833078,0.16028402039840772,0.2566589926177323,0.16704398983398983,0.08773304747906613,0.12916647761412264,0.39828584777773834,0.14257522405476483,0.127316085358785,0.13486374323557596,0.09113315911179368,0.12663882170437157,AuPRC,3.1015267906403152,./ad/cover/results_mdppprgln_2_1e-1.pkl
