"reals.1","reals.2","reals.3","reals.4","reals.5","cats.1","cats.2"
0.0319343124344209,1,0.173947591492667,0.18338337215053,0.566615991795227,0,1
0.2657756058062,0.510075805065205,0.0326576686107286,0.0881628090427793,1,1,0
0.0094263738967729,1,0.202196209655326,0.223387280964513,0.0779647548916902,0,0
1,0.663320121751409,0.368636404387331,0.115800122714283,0.102364778268448,0,1
1,0.33868294432215,0.747311149415845,0.578121668377018,0.131689089425251,0,1
0.395867037754543,0.055306357130992,1,0.366642005131171,0.343651806449179,0,0
0.00388682010759137,0.230481154791949,0.0609277268412623,0.200049126598856,1,0,1
1,0.981091415479689,0.404877889404777,0.170119119745947,0.394587188343797,0,1
0.272310900276014,1,0.813634276131046,0.309620114262207,0.0795491004803652,0,1
0.7171493500425,1,0.783213516613061,0.737475178137554,0.044702053932531,0,0
0.25751907290193,0.27212936995765,1,0.217204024839396,0.0532843856214112,1,1
0.124587275223201,0.0625467156830497,1,0.0675626290011391,0.723159072831168,1,1
0.490648712425656,1,0.139756495669357,0.0251870982008013,0.00342057050533304,0,1
1,0.0300067239846857,0.637908397510776,0.164836642918832,0.150470651115553,1,0
0.380620570926696,0.0296026399980558,1,0.434795276277005,0.283671771735417,1,1
0.398565493790654,0.0188237556909276,1,0.38266917531801,0.051050167598499,1,0
0.0252511230662394,0.308552659833996,0.121642550584222,1,0.242069036485939,0,0
0.24636171773154,0.00919609758185124,0.712043865557831,0.421100742359166,1,0,1
0.0264356227208888,0.714499706090621,0.539001168414462,1,0.264613572360307,1,1
0.0355220218874685,0.637352211683007,0.0658685075322107,0.0967635866477557,1,0,1
0.986518539009123,0.0203338791133262,0.270479310410682,1,0.60497291159389,1,1
0.705899747840633,1,0.346713409272048,0.0540145534683079,0.0655549944665016,0,1
0.0680882501936238,0.27539817819431,1,0.398561650957651,0.109309196283165,1,1
1,0.400425505938906,0.925747225186019,0.554087156294443,0.496807317818448,0,1
0.677093527606372,1,0.807459707576226,0.269445309689543,0.0780603037135531,0,0
0.0725746594104656,0.0814682814317632,0.655629037839547,1,0.923064054870584,0,1
0.714700433481582,0.536508252534446,1,0.456700846324592,0.508252813939434,1,1
0.688984952579305,0.165780686086737,0.265656822956187,1,0.170098158030882,1,0
1,0.268556246243667,0.137636329559786,0.104635845456505,0.513914924535633,1,0
0.495358567609441,0.000761903821333865,0.795841483532428,0.527692568130935,1,1,0
0.327800479351352,0.0867219060815352,0.564064922210723,0.238424266159341,1,0,0
1,0.0300309010096043,0.273582141727992,0.649831008739216,0.325948823995442,0,1
1,0.882875261104333,0.0892575071753687,0.0411941805803444,0.00118641072522488,0,1
0.361407860449341,0.0335671354913182,1,0.579512464102245,0.832627253474256,1,1
0.136734701813365,0.0107022084099135,0.381404309993898,1,0.816987649521811,1,0
0.470280966001954,0.941997756842318,0.063995798780723,0.403470738794146,1,0,0
0.584967848411873,1,0.436230854397221,0.206425310733199,0.0200228249253335,1,0
1,0.0509157147927172,0.705602051463588,0.426252640778144,0.591552188216612,1,1
0.857980089406469,1,0.0918722646540453,0.0623602315623956,0.0181909270786729,0,0
0.410205699601701,1,0.099530203127202,0.0771921630879499,0.00805101275501838,0,1
0.138265141713169,0.306062039854818,0.430355749059761,1,0.0043743871811533,1,0
0.946611042402828,0.272491319049965,0.563987447301226,0.109131636528687,1,1,1
0.712398821002855,0.025439734174488,1,0.340629508084125,0.0596659106778526,0,1
0.265430735147114,0.259543070768539,1,0.781929359645369,0.346728210716709,1,1
0.115014905738934,0.0834171121430444,1,0.592206468174815,0.220593146069998,0,0
0.0962583838209736,0.125700063696411,0.465327734278628,0.0731555068467374,1,0,1
0.61478113733265,1,0.165664680457834,0.120601953143577,0.148963187627063,1,0
0.241565613214136,0.289077977551168,0.0987084689160262,1,0.82896378939963,0,1
0.344606378369791,0.186164285597441,1,0.494361526134573,0.723942708196887,0,1
0.0473547650780052,1,0.0115485753678808,0.109526535482416,0.0645668721034903,1,1
0.0334908945590179,0.931334864280374,0.08949899852933,0.0642936547147809,1,0,1
0.171249091870653,0.721548248401921,1,0.293049827596012,0.00484517417990253,0,1
0.749274239502599,0.00343550831997784,0.583027537118701,0.327829891890401,1,1,0
0.0612751445772916,0.187817822610669,0.054957822400077,1,0.387047575257006,0,1
0.869809756921961,1,0.675615178117005,0.195173283612709,0.901910701957758,1,1
0.794047501922436,0.865670005871912,0.290890589491138,0.82945496217524,1,1,1
0.693431212983239,1,0.394783914927407,0.512647383824167,0.00240250548148169,0,1
0.552139415882404,0.0376144271970153,0.960173098958546,1,0.0277014958923858,0,0
0.429841067273309,0.285719259767806,0.752158688610683,1,0.794678930329203,1,1
0.840248588531999,1,0.526919656785346,0.183123774324484,0.0073378277950616,0,1
0.323298881143192,0.339351745858643,0.431526052280271,0.463548703817021,1,0,1
0.396253134828688,0.000651747081564149,1,0.291711881712478,0.162396369746533,1,1
0.325912308580046,0.200146407816518,0.158659166342951,1,0.943948646101463,1,1
0.179949737930341,0.00215164395189341,1,0.493830098710781,0.0952779043752637,1,1
0.102279094475545,0.0406488111206448,1,0.302464124239337,0.35404044827844,1,1
1,0.0451699807843043,0.327086751892483,0.0590037171905415,0.0953066635197386,1,1
0.111474450190558,0.774939690454982,0.359168035347946,0.8595900624601,1,1,1
0.549629755787791,0.279088650860517,1,0.111179814570543,0.802946853481441,0,1
1,0.215952306795624,0.0241537911874171,0.363903926440299,0.306060596638302,0,1
1,0.169740438274714,0.101112968307735,0.187906916049354,0.463344797943721,0,0
0.080393661930802,1,0.165867050592873,0.974177463164715,0.535124395940309,0,0
0.104824977084366,0.799911979077796,0.107142619205876,0.494169437683347,1,0,1
0.686027197711947,0.0378121436438252,0.588439328706972,1,0.47141717870387,0,1
0.241462930325265,0.0195202737935335,0.294057439934801,0.530352850236985,1,1,1
1,0.12004235791391,0.0719943220767511,0.305683055663426,0.726436491301711,1,1
0.2868142559913,0.0012284357439183,0.7997860591649,0.725348650270821,1,1,0
0.800051317137814,1,0.375277266808765,0.827521520776937,0.302530993037694,0,1
1,0.726751234054699,0.673691253144314,0.572123300349244,0.0852844845675543,1,1
0.0319500400244554,1,0.0420465136680761,0.174164958704181,0.575176425812584,0,1
0.959204284555705,0.316406589880656,0.215847413864001,0.0783062368093679,1,0,1
1,0.192891125801593,0.572991928038781,0.131461790412889,0.938680656033451,0,1
0.973627857095885,0.12804622667065,1,0.514418197924939,0.244761521389608,1,0
0.541583308173138,0.359336207347192,0.299028707639268,1,0.3173559876442,1,0
1,0.498550943340029,0.350176521549161,0.186878246853572,0.0483924092818019,1,0
0.338110438689367,0.0366823968346703,1,0.545453555130683,0.184319153538377,1,1
0.0856263784940539,0.441296887375198,0.0252913495589737,0.747881887737074,1,1,0
0.106290039622847,1,0.350256428043453,0.30749623945755,0.0718189392551706,0,0
1,0.193029008378947,0.130699493158571,0.826600354446061,0.369351225531773,1,0
1,0.231212888147667,0.748899044870227,0.796750960581786,0.104756041774708,1,0
0.277827693172056,0.0329335323676106,0.550040029701305,0.633243391176316,1,1,0
0.0324829109787689,1,0.118220793780143,0.197487163757001,0.351046589014638,0,1
1,0.235525148922632,0.148483979109146,0.107974361110344,0.143707120955385,1,1
0.0506777655924038,1,0.63179131937541,0.353380309438163,0.0769915594177693,0,1
0.635421206277275,1,0.610619482611621,0.149733863478038,0.0014493835000546,0,0
0.058971963177062,0.486410379061557,0.0552500131764966,0.0942383044843352,1,0,0
0.158783946797408,1,0.242305775402112,0.242892022414074,0.825048659564363,1,1
0.0616836173665744,1,0.181380690943695,0.835220135207794,0.446852583901134,0,0
1,0.465220384476677,0.636343565748859,0.333005125586671,0.562637058437025,1,0
0.0809087061582954,0.530858738049106,0.103799530180911,0.278191149095707,1,0,0
1,0.107705734068361,0.902977000152746,0.845278882319879,0.0976132056090567,0,1
0.250213242773585,0.0547612840922132,0.757420478961084,0.730358217099102,1,0,1
0.0326153818266237,1,0.0592888121414371,0.20989589347508,0.607663001481814,1,1
0.903553855708358,0.333795641681916,0.181754361102703,0.257197215224482,1,1,1
0.440463307366615,0.20312664147792,0.218407128796164,1,0.125371455822265,0,0
0.256339636269747,1,0.232772190216428,0.499139973266651,0.0213885774111514,0,1
0.242114385943835,1,0.521376375821967,0.713895534688669,0.201039969470251,0,1
0.213969359965399,1,0.562015243679488,0.622669751068874,0.121944778762786,1,0
0.543666338429837,0.00826926674586491,1,0.212445454614312,0.667041405021497,0,1
0.475196046682217,0.051767548725822,1,0.68644732970453,0.322039825201991,1,1
0.0648392837307319,0.265191597657824,1,0.311091210654368,0.406247503416886,1,1
0.3376578113529,1,0.266484592913528,0.144121224867601,0.0750715407541483,1,1
0.668048477963396,0.583380141785936,1,0.226571458030839,0.141145537938924,0,1
0.34498638479406,0.914606717494783,1,0.230504183422382,0.028647695399692,0,0
1,0.670183272151138,0.708270040445027,0.2989425769215,0.190985357539165,1,0
0.239294851526641,0.309429912828055,0.0896778435657548,0.180224658468838,1,0,0
0.898585411671862,1,0.122728284766187,0.234855131787225,0.156946482918181,0,1
0.33731237586127,0.0230979793994115,1,0.194039707973764,0.780727002071961,0,1
