"reals.1","reals.2","reals.3","reals.4","reals.5","reals.6","reals.7","reals.8","reals.9","reals.10","reals.11","reals.12","reals.13","reals.14","reals.15","reals.16","reals.17","reals.18","reals.19","reals.20","cats.1","cats.2","cats.3","cats.4","cats.5"
0.0159055150247033,0.0697675441250229,0.287415792631161,0.138316791522469,0.129306476748057,0.212621135679453,0.485912379243531,0.00337117180448302,0.0453844837213781,0.0319523848369338,0.0111559204444866,0.00481460440453129,0.0580720117211251,0.118890605485879,0.0297162056307522,0.0072965295620922,0.0534005131236393,1,0.458219280655667,0.00503127758279607,0,1,1,1,1
0.272210698531323,0.146944197352257,0.0983118972603924,0.0289605417676305,0.0409622187137464,0.217744303070714,0.134920023098724,0.0320490406995061,0.126506949199821,0.0100958449232052,0.171467385224683,0.0106963836063494,0.001592163209481,0.413176620340703,0.101782611123362,0.192838235786242,0.0508336642317067,1,0.203434880877322,0.002440272820885,0,1,1,1,1
0.249653536774216,0.167204293569332,0.17535971681349,0.109622247339885,0.269254717694992,0.127025900376042,0.0185888134971421,0.130858946604759,0.203215844591607,0.329221805719962,0.276455881807033,0.357350947744313,0.0205647613959754,0.136152872169469,0.216545211157821,0.711036588625651,0.00178324680432443,1,0.191293308415186,0.0377508438995445,1,0,1,1,0
0.00671354548527547,0.731777304600141,0.380852167060186,0.551649581994322,0.0827811832313834,0.525805946996863,1,0.534671772817853,0.0471484191389248,0.165488253233847,0.203666001507176,0.175229514852093,0.0276720990391164,0.59727841219908,0.0694623840785099,0.0801522242720568,0.205457587472434,0.631034152198415,0.263095596765797,4.67215683453037e-05,0,0,1,1,0
1,0.284942255630796,0.0966084655760046,0.0339295895803567,0.450001165818632,0.589796727785802,0.82339133530919,0.462705657445849,0.031589777397979,0.389405794778619,0.0903015802573513,0.000435638184291112,0.370733003797592,0.103404163921917,0.197608959764672,0.188575212514474,0.0173103897677539,0.0930244123729965,0.0217276523829395,0.123567162705767,1,1,0,0,1
0.821185099816685,0.506474768289749,0.0426703919394653,0.288520844146468,1,0.919572551756699,0.3965055147155,0.319557345692054,7.21478787483088e-05,0.476112320386263,0.0459877845996809,0.00711760134142098,0.0933844468021394,0.266457892921278,0.123949240727867,0.090583041898562,0.127583209033385,0.0394563937932706,0.0322925860018006,0.654453769404379,1,1,1,0,0
0.364899453412213,0.195230647531166,0.0202476773310047,0.00767702154904168,0.603741904261902,0.0771981460295785,0.111340632048286,0.290531105038681,0.147469574398342,0.318751075935117,0.16482814894553,0.0485557316126846,0.0521441784223898,0.160446117548544,0.0802719272760051,0.19503879306963,0.00814926725635536,1,0.133662895526732,0.176528535531882,1,0,0,0,0
0.846284435719679,0.316691545359893,0.0840505802847046,0.0544191824560274,0.235974985461641,0.365327978330352,1,0.0977334097205621,3.88553182408203e-10,0.0870922721929772,6.27765259124159e-05,6.7459816424891e-06,0.0193425870690285,0.000499895748368472,0.165547042055397,0.0927990782529295,0.0152122424927697,0.0207977853094788,0.0219498835712407,0.15397678989703,1,1,0,1,0
1,0.283689502551936,0.299952002383134,0.137676317365854,0.200050148505098,0.794589282023555,0.22315641631278,0.0591925929529628,2.78820086596418e-11,0.283402829730894,0.0169301021237259,0.000111344238250005,0.175921394697641,0.146966530146992,0.0813411654119591,0.0414618732174268,0.0744512667959281,0.614203449910791,0.0046047380187265,0.546700631002111,1,0,0,0,0
1,0.236967759829389,0.0898944989860759,0.100332669357259,0.0824104291228962,0.522986962433797,0.945740055812418,0.0262767130876133,0.000166870100601139,0.631005768256944,0.0402387436157045,7.8700847594272e-06,0.0451687780770649,0.0153394306065652,0.110677705715644,0.0648798622692368,0.000641789648427866,0.0361328115199248,0.0951563379658054,0.0773472795627165,1,0,0,1,0
