theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9,theta_10,theta_11,theta_12,theta_13,theta_14,theta_15,theta_16,theta_17,theta_18,theta_19
1.0499667141402673,1.5007547571419884,1.5322510801293223,1.5536942490232852,1.331605373492227,0.9618794499253269,1.5488403064656866,1.4334076136429446,1.2706325756399612,1.322610054916571,1.383844827695474,1.1641356417029196,1.5695905244309065,1.397069101392537,0.9562678526849636,1.524550267924013,1.1260779023267886,1.4837076313553852,0.48530865208968177
1.5394502217724277,1.3355922566444736,1.4792548015959455,1.2689760698745478,1.2078198163651865,1.1875223786727658,1.54073522834525,1.4744711003277915,1.0712241082759815,1.360431814965978,1.4717174223987624,1.2985632416107857,1.2310077273895008,1.505680612726672,0.8324772282075821,1.4556517097647286,1.3306812772189072,0.3604972590964349,1.2711639974732363
1.4593670006468358,1.553596100302787,1.295178794718815,0.8383774285981268,1.2637877009836258,1.3864296052750054,1.4947024176193315,1.565539347414109,1.2831500415952937,1.0545697078966618,1.190110447809629,1.5396284750844003,1.5659060942668928,1.4284141211741688,1.2321445696537814,1.4746514802619948,1.2837180693129762,0.12378413215420157,1.3928709945180215
1.5634188052201032,1.570475905366514,1.404924384732311,0.980002851968213,1.5104172818032549,1.567001256358436,1.2098967251734596,1.238163159288925,1.4831611139461052,1.4532433113158656,1.389545570838395,1.5549179663418398,1.4165564842705334,1.5270977304577786,1.5107516927417908,0.907046550850036,1.5498251684717022,0.9607196466204144,0.00992499787838366
1.5102326409454994,1.5420490068691208,1.5172942129099944,1.543137934027193,1.4918059612601302,1.5571241962031257,1.531480101782905,1.2122240046895194,1.5290295936839366,1.5707954041260457,1.5458069876137286,1.3629782033938846,1.1433575726948648,0.6989524908400803,1.570796326788619,1.5434014508030776,0.29191219338168073,1.3842889984614106,0.06821057381355751
1.414845792413192,1.5177838295246182,1.5553029113668198,1.4759508742914864,1.371626288084255,1.0680945378038773,1.299793829635908,1.4724970227773746,1.555892874163482,0.6213570143169918,1.2765386480538248,1.4251854370500252,1.566266236531104,0.7405364527552234,1.1287894855586447,1.5528441388676497,1.5505060619604418,0.6422473818261971,0.6659585451609138
1.4925005140995207,1.3514064391428953,1.4661255845843126,1.2190078586950688,1.05369746611645,1.4908112423929725,0.8460493947318253,0.9947528325878455,0.8218126214814334,1.1477460870185583,1.4057848159811328,1.1046589329579832,0.8972732482703484,1.2317303021847534,1.3903927846162403,1.4443162409448747,0.4832414011656046,1.4798035998914094,1.5183143405224195
1.1674598980270177,1.4993856251917788,1.5686615574046787,1.5632949383640264,1.377697533500039,1.3943050909078962,1.4776003682095065,1.2296973773096018,1.455950612318507,1.4825738509531046,1.56609309179726,1.3203862253545646,1.3494172531077568,1.329202053859303,0.955721988139801,1.52510920145769,1.2939405011375364,1.3037982005747377,0.09320824402115153
1.5257050287232685,1.5357598538675932,1.4331592318439865,1.497934652424679,1.5293566710330722,1.5656142323777156,1.1768712722021357,1.3928465507714893,1.3506252340719702,1.534154738691397,1.515634996301602,1.5482695207684913,1.4698327282952364,1.5508603149313664,1.569395324761361,1.370164338936855,1.4435949682868119,0.7028739722379218,0.00044721359910904126
1.5080532214017774,1.5481005014899405,1.5114449973156885,1.1954217067733914,1.570732533405251,1.5703359597649913,1.3097420471088894,1.0450295806203562,1.5305486425178554,1.5263402751155637,1.4005401460255043,1.5509585559385255,1.323160583982893,1.5446255338459893,1.4646942453123817,1.3553295235838843,1.3617903918881358,0.6916406121739379,0.02043736750755735
1.4349532165830132,1.4442315571126518,1.5676191385631513,1.4536913659255872,1.2706188502431872,1.2995197557655962,1.558622162646731,1.4196752079515762,1.3712980312598015,1.5402568470711238,1.4135537032226528,1.2929672290083767,1.5572380302598865,1.3908098079674767,0.9838176382829122,1.4725598659366572,1.222018638390817,1.3276648034962222,0.06531039580486349
1.4142942048843503,1.5642835209910437,1.1051587554071647,1.1195470765985718,1.4356060415435334,1.570732065429916,1.5554631220933655,1.453349677656868,1.0854170368365263,0.8822622111821763,1.476245761312042,1.1380422456510697,1.4854042570271888,0.664788629475065,0.7430340304801276,1.056843224735928,1.5001389739396966,1.4627276667187965,0.7337188798219085
1.5310087681517293,1.567535118229683,1.465694945662273,1.5262260073324623,1.163683991986724,1.2252026152974034,1.094721060953236,1.2235916107057487,1.5194716079787982,1.0449444315210987,1.1849788229865268,1.5378860187957377,1.5707946812467295,0.692043665517478,1.3883524507532832,1.430522932454811,1.4962982037169053,1.1429386594912534,0.5703007223386004
1.5551620124823995,1.2688384486577637,1.2478355859644417,1.2941079911793179,1.56541518617069,1.3250471285333734,1.5695748741549664,1.543174533706304,1.0444086460544553,1.2490909354975543,1.4878461842379498,1.349305493644083,1.1451126476277098,0.5822521354540695,0.5922711135706454,1.2428050978904013,1.5707948206983435,1.0638992608095437,0.18140473690100728
