"X","x"
4,0
8,0
15,0
17,0
23,0
26,0
27,0
29,0
38,0
39,1
43,0
45,0
58,0
65,1
72,1
75,0
78,0
82,0
84,0
85,0
91,0
96,0
101,0
104,0
106,0
108,0
114,0
115,0
119,0
127,0
131,0
135,0
145,0
147,0
149,0
152,0
160,0
163,0
168,0
171,0
184,0
191,0
198,0
200,0
201,0
203,0
208,0
211,0
214,0
219,0
220,0
223,0
225,0
233,0
237,0
238,0
239,0
240,0
242,0
246,0
251,0
254,0
260,0
262,0
267,0
276,0
284,0
288,0
289,0
292,0
293,0
295,0
296,0
303,0
306,0
308,0
312,0
321,0
334,0
339,0
345,0
351,0
369,0
378,0
380,0
396,0
402,1
404,0
406,1
425,0
430,0
431,0
432,0
434,0
441,0
444,0
445,0
461,0
465,1
472,0
475,0
485,0
486,0
488,0
501,0
511,0
512,0
515,0
522,0
526,1
529,0
530,0
539,0
550,0
560,0
561,0
562,0
563,0
566,0
572,0
584,0
596,0
602,0
603,0
609,0
614,0
615,0
636,0
641,0
642,0
647,0
666,0
669,0
674,0
678,0
682,0
693,1
699,0
719,0
731,0
735,0
736,0
744,0
755,0
756,0
757,0
758,0
759,0
773,0
777,0
780,0
783,0
791,0
800,0
805,0
807,0
808,0
810,0
812,1
813,0
819,0
827,0
835,0
836,0
837,0
850,0
851,0
852,0
859,0
864,0
867,0
869,0
875,0
879,0
880,0
884,0
893,0
903,0
915,0
919,0
929,0
936,0
948,0
968,0
969,0
970,0
982,0
983,0
989,0
990,0
993,0
994,0
1001,0
1009,0
1013,0
1017,0
1018,0
1024,0
1032,0
1040,0
1054,0
1062,0
1066,0
1068,0
1071,0
1078,0
1082,1
1083,0
1084,1
1087,0
1088,0
1091,0
1092,0
1102,0
1108,0
1109,0
1114,0
1115,0
1132,0
1138,0
1140,0
1141,0
1157,0
1160,0
1166,1
1171,0
1174,0
1176,0
1181,0
1182,1
1185,1
1197,0
1204,0
1205,0
1209,0
1213,1
1214,0
1222,0
1231,0
1238,0
1254,0
1261,0
1264,0
1265,0
1267,0
1269,0
1270,0
1272,0
1273,0
1274,0
1277,0
1281,1
1285,0
1294,0
1301,0
1305,0
1306,0
1313,1
1314,0
1319,0
1321,0
1322,0
1326,0
1334,0
1341,0
1353,0
1354,1
1355,0
1356,0
1368,0
1372,0
1379,0
1384,0
1388,0
1390,0
1395,1
1399,0
1404,0
1413,0
1414,0
1415,0
1422,0
1423,0
1427,0
1437,0
1438,0
1439,0
1450,0
1457,0
1461,0
1463,0
1473,0
1477,0
1484,0
1488,0
1493,0
1494,0
1501,0
1503,1
1506,0
1511,0
1517,0
1531,0
1534,1
1540,0
1543,0
1545,0
1552,0
1554,0
1556,0
1562,0
1566,0
1567,0
1570,1
1576,0
1583,0
1595,0
1596,0
1603,0
1608,0
1612,0
1613,0
1619,0
1620,0
1622,0
1626,0
1641,0
1649,0
1654,0
1667,0
1668,0
1696,0
1697,0
1700,0
1713,0
1714,0
1725,1
1735,0
1743,0
1750,0
1752,0
1782,0
1787,0
1789,0
1791,0
1799,0
1800,0
1801,0
1803,0
1809,0
1814,0
1815,0
1821,0
1826,0
1829,0
1841,0
1846,0
1851,0
1855,0
1857,0
1861,0
1862,1
1868,0
1872,0
1873,1
1877,0
1887,0
1891,0
1898,0
1899,0
1900,1
1906,0
1913,0
1915,0
1922,0
1926,0
1931,0
1932,0
1941,0
1947,0
1952,0
1965,1
1974,0
1979,0
1990,0
1993,0
1998,0
2008,0
2013,0
2017,0
2024,0
2027,0
2029,0
2030,0
2039,0
2049,0
2057,0
2067,0
2077,0
2078,0
2081,0
2085,0
2086,0
2088,0
2100,0
2113,0
2115,0
2118,0
2120,0
2122,0
2123,0
2125,1
2131,0
2138,0
2139,0
2143,0
2146,0
2161,0
2165,0
2174,0
2177,0
2187,0
2189,0
2190,0
2192,0
2193,0
2197,0
2203,0
2212,0
2213,0
2222,0
2233,0
2235,0
2242,0
2247,0
2249,0
2257,0
2261,0
2262,0
2263,0
2271,0
