"X","x"
6,0
9,0
12,0
14,0
24,0
34,1
36,0
50,0
56,0
57,0
60,0
63,0
64,0
70,0
71,1
76,0
83,0
86,0
103,0
105,0
107,1
113,0
118,1
120,0
123,1
124,0
126,1
128,0
137,0
140,0
143,0
146,0
151,0
153,0
154,0
155,0
156,0
158,0
161,0
173,0
178,0
188,1
190,0
193,0
206,0
209,0
215,0
217,0
227,0
228,0
232,0
234,1
247,0
249,0
256,0
258,0
265,0
266,0
268,0
269,0
274,0
281,0
282,0
286,0
290,0
298,0
313,0
317,1
319,0
325,0
330,0
332,0
338,0
346,0
348,0
353,0
362,0
370,0
374,0
382,0
383,0
384,0
390,0
393,0
397,0
400,0
408,0
415,0
417,0
421,0
423,0
424,0
429,0
433,1
443,0
455,0
456,0
458,0
460,0
463,0
466,0
469,0
473,0
490,0
514,0
519,0
525,0
532,0
541,0
542,0
546,0
553,0
554,0
555,0
567,0
569,0
580,0
586,0
590,0
591,0
592,0
593,0
594,0
598,0
599,0
601,0
607,0
611,0
612,0
618,0
620,0
635,0
650,0
656,0
683,0
685,0
688,0
689,0
694,0
702,0
712,0
715,0
717,0
718,0
720,0
722,0
726,0
729,0
752,0
763,0
764,1
766,0
767,0
771,0
781,0
785,0
789,0
790,0
799,0
802,0
809,0
811,0
815,1
816,1
825,0
826,1
831,0
832,1
833,0
841,0
844,0
845,0
855,1
874,0
876,0
878,0
883,0
886,0
889,1
891,0
892,0
894,1
896,0
898,0
899,0
905,0
909,0
911,0
912,1
913,0
926,0
927,0
943,0
944,0
946,0
947,0
949,0
957,0
963,0
964,0
965,0
974,0
976,0
984,0
986,0
1000,0
1003,0
1004,0
1006,0
1007,0
1011,0
1019,0
1026,0
1027,0
1029,1
1030,0
1035,0
1043,0
1045,0
1065,0
1070,0
1077,0
1081,0
1093,0
1106,0
1110,0
1118,0
1120,0
1121,0
1122,0
1123,0
1125,0
1129,0
1130,0
1142,0
1144,0
1145,0
1146,0
1149,0
1154,0
1161,0
1162,0
1173,0
1180,0
1184,0
1187,1
1188,0
1193,1
1195,1
1198,0
1200,0
1202,0
1206,0
1208,0
1212,0
1215,0
1216,0
1219,0
1226,0
1230,0
1232,0
1237,0
1239,0
1247,0
1248,0
1255,1
1260,0
1262,0
1278,0
1284,0
1287,0
1295,0
1296,0
1299,0
1304,1
1315,0
1318,0
1320,0
1337,0
1340,0
1342,0
1347,0
1352,0
1359,0
1363,0
1369,0
1371,0
1376,0
1378,0
1385,0
1386,0
1393,0
1400,1
1402,0
1405,0
1412,0
1417,0
1419,0
1433,0
1434,0
1435,0
1440,1
1442,0
1444,0
1449,0
1453,0
1458,0
1472,0
1474,0
1480,0
1482,0
1490,0
1495,0
1496,1
1498,0
1505,0
1512,0
1513,0
1514,0
1516,0
1525,0
1526,1
1530,0
1536,0
1539,0
1549,0
1550,0
1560,0
1563,0
1578,0
1579,0
1581,0
1582,0
1586,0
1588,0
1594,1
1604,0
1606,0
1607,0
1609,0
1610,1
1617,0
1623,0
1627,0
1633,0
1636,0
1638,0
1646,0
1648,0
1651,0
1659,0
1665,0
1671,0
1679,0
1682,0
1686,0
1694,0
1704,0
1707,0
1708,0
1717,0
1727,0
1729,0
1730,0
1741,0
1744,0
1754,0
1755,0
1756,0
1757,0
1760,0
1766,0
1775,0
1781,0
1784,0
1785,0
1792,0
1810,0
1812,1
1813,0
1827,0
1830,0
1838,0
1839,0
1843,0
1845,0
1848,0
1853,0
1854,0
1859,0
1875,0
1876,0
1892,0
1895,1
1896,1
1897,0
1901,0
1902,0
1905,0
1907,1
1908,0
1934,0
1935,0
1939,1
1943,0
1955,0
1960,0
1972,1
1973,0
1988,0
1997,0
2000,0
2006,0
2009,0
2010,0
2026,1
2033,0
2037,0
2038,0
2046,0
2047,0
2052,0
2053,0
2055,0
2062,0
2065,0
2068,0
2069,0
2083,0
2094,1
2099,0
2101,0
2103,0
2104,0
2105,0
2112,0
2114,0
2128,0
2129,0
2133,0
2148,0
2149,0
2162,0
2169,0
2170,0
2176,0
2179,0
2180,0
2182,1
2183,0
2194,0
2196,0
2198,0
2201,0
2208,0
2211,0
2215,0
2226,0
2228,0
2229,0
2230,0
2234,0
2236,0
2237,0
2243,0
2244,0
2253,0
2260,0
2267,0
2268,0
2269,0
2276,1
2287,0
2288,0
2291,1
2302,0
2303,0
2310,0
2312,0
2313,0
2315,1
2318,0
2325,0
2328,0
2334,1
2337,0
2348,0
2350,0
2351,0
2362,0
2366,0
2367,0
2370,0
2378,0
2383,0
2384,0
2391,0
2396,0
2402,0
2409,0
2425,0
2431,0
2438,0
2443,0
2455,0
2457,0
2458,0
2463,1
2472,1
2478,0
2484,0
2494,0
2499,0
2500,0
2501,0
2503,0
2509,0
2514,0
2521,0
2522,0
2530,0
2537,0
2538,0
2541,1
2542,0
2546,0
2556,0
2559,0
2564,1
2566,0
2571,0
2572,0
2581,0
2587,0
2591,0
2599,0
2600,0
2603,0
2621,0
2622,0
2627,0
2633,0
2637,0
2638,0
2639,1
2643,0
2646,0
2652,0
2656,0
2657,0
2660,0
2662,0
2675,0
2676,0
2680,0
2682,0
2697,0
2699,0
2705,1
2707,0
2714,0
2718,0
2719,0
2720,0
2721,0
2730,0
2737,0
2738,0
2740,0
2741,0
2745,0
2751,0
2760,1
2767,0
2781,0
2786,0
2787,0
2792,0
2794,0
2809,0
2810,0
2811,0
2814,0
2815,1
2817,0
2819,0
2836,0
2846,0
2849,0
2862,0
2877,0
2885,0
2890,0
2893,1
2900,0
2903,0
2909,0
2913,0
2925,0
2945,0
2951,0
2955,0
2956,0
2958,0
2966,0
2968,0
2971,0
2980,0
2988,0
2996,0
3005,0
3008,0
3009,0
3015,0
3019,0
3020,1
3021,0
3026,0
3047,0
3049,0
3055,0
3064,0
3066,0
3067,0
3077,0
3080,0
3083,0
3087,0
3088,0
3089,0
3090,0
3096,0
3098,0
3102,1
3103,0
3104,0
3109,0
3111,0
3120,0
3127,0
3139,0
3157,0
3158,0
3163,0
3177,0
3179,0
3180,0
3181,0
3183,0
3184,0
3186,0
3191,0
3194,0
3195,0
3201,0
3210,0
3215,0
3226,0
3230,1
3231,1
3235,0
3247,0
3252,0
3263,0
3274,0
3278,0
3282,0
3284,0
3288,0
3293,0
3297,0
3311,1
3314,0
3325,1
3326,0
3327,0
3330,0
3333,0
3353,0
3354,1
3359,1
3360,0
3361,0
3365,0
3366,1
3370,0
3378,1
3383,0
3390,0
3398,0
3399,0
3400,0
3411,0
3423,0
3424,0
3433,0
3436,0
3449,0
3450,0
3457,1
3465,0
3466,0
3473,0
3483,0
3486,0
3487,0
3489,0
3500,0
3501,1
3510,0
3512,1
3527,0
3532,0
3540,0
3552,0
3565,0
3576,0
3577,0
3583,0
3600,0
