"X","x"
5,0
22,0
32,0
37,0
42,0
44,0
47,0
48,0
52,0
53,0
67,0
68,0
69,0
74,0
88,0
89,1
97,0
100,0
109,1
111,0
112,1
117,0
125,0
129,0
134,0
139,0
148,0
150,0
164,0
165,0
169,0
170,0
175,0
176,0
180,0
182,0
183,0
189,0
194,0
205,0
210,0
218,0
221,0
222,1
226,0
252,0
263,0
270,0
280,1
291,1
294,0
297,0
301,1
305,0
307,0
309,0
311,0
316,0
318,0
324,0
329,0
331,0
337,0
340,1
341,0
344,0
354,0
358,0
365,0
368,0
389,1
391,0
395,0
399,0
401,0
403,0
410,0
413,0
418,1
426,0
427,0
435,0
436,1
437,0
440,0
442,1
447,0
450,0
452,0
459,1
476,0
479,0
481,0
482,0
483,0
498,0
500,0
502,1
505,0
507,0
508,0
509,0
510,0
518,0
523,0
534,0
537,0
544,0
545,0
549,0
551,0
552,0
557,0
558,1
559,1
564,0
570,0
574,1
577,0
585,0
587,0
589,0
595,0
597,0
619,0
624,1
626,0
627,0
628,0
629,0
639,1
643,0
644,1
658,0
660,0
661,0
662,0
664,0
667,0
670,0
671,0
673,0
677,0
690,0
695,0
701,0
703,0
707,0
708,0
709,0
710,0
711,0
716,0
721,0
724,0
730,0
737,0
738,0
742,0
746,0
748,0
749,0
751,0
769,0
774,0
776,0
778,0
787,0
788,0
794,0
796,0
798,0
820,0
829,0
839,0
840,0
846,0
847,0
848,0
849,1
858,0
860,0
866,0
870,0
904,0
906,0
917,0
918,0
920,0
921,1
924,0
932,0
933,0
951,0
960,0
962,0
967,0
977,0
978,1
979,0
980,0
987,0
991,0
995,0
996,0
997,1
999,0
1008,1
1016,0
1020,0
1022,0
1025,0
1028,0
1031,0
1033,0
1047,0
1049,0
1050,1
1051,1
1053,0
1063,0
1067,0
1086,0
1096,0
1099,0
1103,0
1105,0
1107,0
1117,0
1119,0
1128,0
1134,0
1135,0
1143,0
1147,0
1153,0
1156,0
1158,0
1167,0
1168,0
1169,0
1172,0
1179,0
1186,0
1190,0
1191,0
1196,0
1211,0
1221,0
1227,0
1228,0
1229,0
1236,0
1244,0
1246,0
1250,0
1252,0
1253,0
1258,0
1266,0
1276,0
1289,0
1300,0
1302,0
1303,0
1307,0
1311,0
1316,0
1317,0
1324,0
1329,0
1331,0
1332,0
1345,0
1357,0
1364,0
1366,0
1370,0
1375,0
1380,0
1387,0
1389,0
1396,0
1398,0
1403,0
1410,0
1424,0
1426,0
1429,0
1441,0
1452,0
1455,0
1460,0
1462,0
1468,0
1469,0
1475,0
1481,0
1485,0
1486,0
1487,0
1489,0
1500,0
1510,0
1538,0
1541,0
1559,0
1565,0
1568,0
1572,0
1575,0
1584,0
1590,0
1593,0
1598,0
1602,0
1611,0
1624,0
1628,0
1629,0
1637,0
1639,0
1643,0
1650,0
1652,0
1663,0
1664,0
1670,0
1678,0
1685,0
1687,0
1689,0
1690,0
1691,0
1695,0
1703,1
1709,0
1710,0
1715,0
1716,0
1719,0
1736,0
1740,0
1742,0
1746,0
1748,0
1751,0
1753,0
1761,0
1765,0
1767,0
1770,0
1773,0
1774,0
1778,0
1780,0
1786,1
1788,0
1790,0
1793,0
1794,0
1797,0
1798,0
1805,0
1811,0
1818,0
1824,0
1825,1
1828,0
1833,0
1834,0
1835,0
1836,0
1844,0
1850,0
1865,0
1866,0
1878,0
1880,0
1882,0
1884,0
1888,0
1889,0
1909,0
1910,0
1914,0
1916,0
1917,0
1927,0
1929,0
1937,0
1938,0
1940,0
1942,0
1944,0
1949,0
1950,0
1951,0
1956,0
1957,0
1968,0
1970,0
1975,0
1977,0
1985,0
1986,0
1991,0
1995,0
1999,0
2004,0
2005,1
2007,0
2011,0
2023,0
2031,0
2032,0
2035,0
2036,0
2044,0
2045,0
2051,0
2056,0
2059,0
2061,0
2063,0
2064,0
2074,0
2076,1
2080,0
2082,0
2106,0
2107,0
2108,0
2117,0
2119,0
2121,0
2130,0
2135,0
2137,0
2141,0
2145,0
2154,0
2155,0
2160,0
2167,0
2171,0
2175,0
2191,0
2199,0
2200,0
2216,0
2227,0
2231,0
2238,0
2241,0
2245,0
2248,0
2252,0
2254,1
2256,0
2264,0
2266,0
2272,0
2282,0
2284,1
2286,0
2289,0
2293,0
2304,0
2305,0
2308,1
2309,0
2317,0
2329,0
2344,0
2349,0
2354,1
2361,0
2368,0
2376,0
2379,0
2385,0
2386,0
2389,0
2393,0
2414,0
2415,0
2416,0
2420,0
2421,0
2423,0
2424,0
2430,0
2432,0
2434,0
2446,0
2473,0
2474,0
2475,0
2479,0
2481,0
2483,0
2495,0
2506,0
2507,0
2511,0
2513,0
2515,0
2516,0
2517,0
2524,1
2526,0
2531,0
2533,0
2535,0
2543,0
2548,0
2562,0
2563,0
2568,0
2573,0
2578,1
2584,0
2586,0
2588,0
2592,0
2606,0
2615,0
2616,0
2617,0
2620,0
2624,0
2629,0
2632,0
2640,0
2642,0
2648,0
2654,0
2664,0
2666,0
2669,1
2670,0
2686,0
2687,0
2690,0
2691,0
2694,0
2703,0
2704,0
2709,0
2710,0
2713,1
2715,0
2716,0
2742,0
2753,0
2769,0
2780,0
2782,0
2788,0
2798,1
2800,0
2803,0
2812,0
2821,0
2822,0
2825,0
2826,1
2831,0
2832,0
2835,1
2854,0
2857,0
2858,0
2861,0
2866,0
2867,0
2876,0
2879,0
2888,0
2901,0
2905,0
2912,0
2914,0
2922,0
2926,0
2933,0
2934,0
2941,0
2943,1
2944,0
2946,0
2950,0
2954,0
2959,0
2965,0
2987,0
2989,0
2990,0
2994,0
2997,0
2999,0
3000,0
3017,0
3018,0
3022,0
3023,0
3035,0
3038,0
3045,1
3052,0
3054,0
3060,0
3061,0
3062,0
3076,0
3095,0
3105,0
3108,0
3114,1
3115,0
3119,0
3129,0
3133,0
3134,0
3136,0
3140,0
3142,0
3144,0
3148,0
3150,0
3153,0
3156,1
3159,0
3160,1
3162,0
3172,0
3188,0
3193,0
3196,0
3202,0
3205,1
3208,0
3223,0
3225,0
3236,0
3257,0
3258,0
3262,0
3268,1
3285,0
3287,0
3289,0
3292,0
3294,0
3296,0
3305,0
3313,0
3317,0
3328,0
3338,0
3345,0
3348,0
3350,0
3351,0
3356,0
3363,0
3373,1
3374,0
3385,0
3389,0
3392,0
3407,0
3410,0
3414,0
3416,0
3418,0
3420,0
3421,0
3428,1
3434,0
3438,1
3444,0
3446,0
3454,0
3460,1
3461,1
3469,0
3474,0
3479,0
3481,0
3485,0
3488,0
3491,0
3493,0
3494,0
3505,0
3516,0
3517,0
3535,0
3545,0
3554,0
3558,0
3561,0
3564,0
3566,0
3569,0
3570,0
3573,0
3574,0
3575,0
3580,0
3581,0
3584,0
3587,0
3588,0
3591,0
3592,0
3594,0
3595,0
