"X","x"
1,0
3,0
7,0
11,0
19,0
25,0
41,0
46,0
49,0
51,0
61,0
62,0
66,0
79,0
90,0
92,0
93,0
94,0
95,0
99,0
102,0
116,0
122,0
130,0
133,0
136,0
138,0
144,0
157,0
162,0
167,0
172,0
177,0
179,0
185,1
186,0
187,0
195,0
204,0
224,0
241,1
253,0
257,0
259,0
261,0
272,0
273,0
275,0
277,0
278,0
285,0
287,0
302,0
304,0
310,0
320,0
322,0
323,0
326,1
327,0
333,0
335,0
336,0
343,0
347,0
349,0
350,0
352,0
356,0
360,0
363,0
371,0
372,0
373,0
375,0
377,0
379,1
381,0
386,1
387,0
388,0
405,0
407,0
409,0
411,0
416,0
420,0
422,0
428,1
438,0
439,0
449,0
451,0
457,0
464,0
468,0
470,0
471,0
474,0
480,1
487,0
493,0
494,0
496,0
497,0
504,0
506,0
513,0
516,0
520,0
521,0
527,0
531,0
535,0
536,0
538,0
547,0
548,0
568,0
575,0
581,0
604,0
605,1
608,0
610,0
613,0
622,0
623,0
630,0
631,0
632,0
640,0
645,0
649,0
651,0
653,0
663,0
665,0
672,0
676,0
680,0
684,0
691,0
692,0
696,0
697,0
698,0
705,0
713,0
714,0
723,0
727,0
732,0
734,0
739,0
754,0
760,0
761,0
770,1
775,0
779,1
786,0
795,0
797,0
803,0
817,0
821,0
828,0
830,0
834,0
838,0
842,0
853,0
854,1
857,0
861,0
862,0
863,0
871,0
872,0
873,0
877,0
881,0
887,0
890,1
895,0
897,0
900,0
901,0
910,0
914,0
916,0
922,0
923,0
931,0
934,0
935,0
937,0
942,0
952,0
953,0
955,0
958,0
971,0
975,0
985,0
992,0
1010,0
1012,0
1021,0
1023,0
1041,1
1044,0
1046,0
1048,0
1055,0
1056,1
1058,0
1059,0
1060,1
1061,0
1064,0
1073,0
1075,0
1076,0
1089,0
1098,0
1100,0
1101,0
1111,0
1113,0
1116,0
1126,0
1127,0
1131,0
1136,0
1139,0
1150,0
1151,0
1152,0
1155,0
1170,0
1175,0
1177,0
1194,0
1201,1
1218,0
1223,0
1225,0
1240,0
1243,0
1245,0
1251,0
1256,0
1257,0
1268,0
1279,0
1280,0
1283,1
1288,0
1292,0
1298,0
1309,1
1310,0
1312,0
1330,0
1335,0
1339,0
1346,1
1350,0
1351,0
1358,0
1361,0
1362,0
1367,1
1382,0
1391,0
1392,0
1394,0
1401,0
1407,1
1408,0
1409,0
1411,0
1418,0
1420,0
1421,0
1431,0
1432,0
1443,0
1445,0
1447,0
1448,0
1454,0
1465,0
1478,0
1479,0
1483,0
1492,0
1497,0
1502,0
1504,0
1509,0
1515,1
1521,1
1522,0
1523,0
1524,0
1528,0
1537,0
1548,0
1551,0
1555,0
1557,1
1564,0
1571,0
1573,1
1577,0
1600,0
1605,0
1614,1
1618,0
1621,0
1625,0
1634,0
1644,0
1647,0
1653,0
1655,0
1660,0
1662,0
1680,0
1681,0
1683,0
1692,0
1699,0
1706,0
1711,0
1712,0
1718,0
1721,0
1722,0
1726,0
1731,0
1733,0
1738,0
1749,1
1758,0
1759,0
1769,0
1772,0
1776,0
1777,0
1783,0
1796,0
1802,0
1804,0
1807,0
1808,0
1816,0
1817,0
1819,0
1822,0
1823,1
1837,0
1842,0
1852,0
1863,0
1870,0
1874,0
1879,0
1893,0
1912,0
1919,0
1920,0
1923,0
1924,0
1928,0
1936,0
1945,0
1954,0
1967,0
1969,0
1980,0
1981,0
1982,1
1983,0
1984,0
1994,0
1996,0
2012,0
2019,0
2021,0
2022,0
2040,0
2041,0
2042,0
2043,0
2050,0
2054,1
2060,0
2066,0
2070,0
2071,0
2073,0
2075,0
2087,0
2089,0
2090,0
2091,0
2096,0
2098,0
2109,0
2124,0
2132,1
2134,0
2142,0
2144,0
2150,0
2151,0
2157,0
2159,0
2163,0
2166,0
2168,0
2178,0
2185,1
2188,0
2195,0
2205,0
2206,0
2207,0
2209,0
2214,0
2218,0
2219,0
2225,0
2240,0
2246,0
2251,0
2255,0
2273,0
2274,0
2277,0
2278,0
2295,0
2298,0
2301,0
2306,0
2314,0
2319,0
2320,0
2342,0
2347,0
2353,0
2356,0
2363,0
2365,0
2371,0
2373,0
2375,0
2380,0
2382,0
2390,0
2397,0
2399,0
2401,0
2405,0
2408,0
2422,0
2427,0
2429,0
2437,0
2440,0
2441,0
2447,0
2449,0
2450,0
2451,0
2456,0
2460,0
2461,0
2467,0
2468,0
2469,0
2470,0
2476,0
2482,0
2485,0
2487,1
2493,0
2497,0
2502,1
2505,0
2518,0
2519,0
2523,0
2528,0
2539,0
2540,0
2544,1
2550,0
2553,0
2575,0
2577,0
2582,0
2583,0
2585,0
2597,0
2598,0
2604,0
2605,1
2611,0
2612,0
2614,0
2625,0
2626,0
2635,1
2644,0
2649,0
2650,0
2651,0
2655,0
2661,0
2663,0
2667,0
2671,0
2672,0
2679,0
2683,0
2685,0
2688,0
2689,0
2693,1
2700,0
2702,1
2717,0
2723,0
2726,0
2727,0
2729,0
2735,0
2743,0
2746,0
2750,0
2773,0
2778,0
2785,0
2791,0
2795,0
2797,0
2808,0
2816,0
2823,0
2830,0
2840,0
2845,0
2848,0
2853,0
2855,0
2856,0
2859,0
2865,0
2869,0
2870,0
2871,0
2872,0
2889,0
2896,0
2897,0
2902,1
2908,0
2911,0
2915,0
2919,0
2923,0
2927,0
2928,0
2930,0
2932,0
2935,1
2937,1
2948,0
2949,0
2953,0
2957,1
2962,0
2970,0
2974,0
2976,0
2977,0
2982,0
2986,0
2992,0
3002,0
3006,0
3012,0
3024,0
3034,0
3048,0
3068,0
3069,0
3070,0
3071,0
3073,0
3074,0
3075,0
3093,0
3100,0
3110,0
3112,0
3124,0
3125,0
3128,0
3130,0
3137,0
3143,0
3145,0
3146,0
3147,0
3154,0
3161,0
3165,1
3167,0
3168,0
3171,0
3174,0
3192,0
3198,0
3204,0
3206,0
3207,0
3214,0
3216,0
3217,0
3219,0
3221,1
3234,0
3237,0
3240,1
3241,0
3242,0
3244,0
3245,1
3246,0
3251,0
3254,0
3255,0
3256,0
3259,1
3261,0
3264,0
3269,0
3270,0
3275,0
3279,1
3291,0
3301,0
3308,0
3319,0
3321,0
3322,0
3323,0
3324,0
3329,0
3332,0
3337,0
3341,0
3344,0
3352,0
3357,0
3358,1
3364,0
3368,0
3369,0
3371,0
3382,0
3386,0
3393,0
3394,0
3395,0
3405,0
3415,0
3426,0
3430,0
3435,1
3439,0
3440,0
3441,0
3443,0
3448,0
3455,0
3480,0
3492,0
3495,0
3499,0
3504,0
3506,0
3509,0
3511,0
3513,0
3515,0
3518,0
3522,0
3523,0
3524,0
3530,0
3537,0
3542,0
3543,0
3544,1
3549,0
3556,0
3557,0
3568,0
3571,0
3572,0
3582,0
3586,0
3599,0
