"V1","V3","V4","V5","V6","V7","V8","V9","V10","C3","C1","C2","C4"
217,8,240,30,2283,19,24,15,4420,0,0,2,0
134,16,256,2,4412,10,39,46,2571,0,1,2,0
177,7,420,31,2400,22,23,11,5941,0,0,2,0
150,34,150,26,3207,101,6,70,859,0,1,1,1
252,15,457,62,3877,16,42,40,2868,1,1,2,0
60,10,366,15,4222,20,30,22,1948,1,1,2,0
342,9,631,97,977,44,31,8,2188,1,1,2,1
13,14,30,27,3892,46,43,4,1209,0,1,2,0
45,9,277,30,4618,22,31,19,4953,0,1,2,0
155,16,212,49,3439,8,28,39,5886,1,0,1,0
115,15,331,22,4837,71,33,35,330,0,1,3,1
85,16,513,259,1292,78,9,65,1024,1,0,3,1
64,8,242,26,1201,40,30,5,2197,0,0,2,1
124,9,424,52,5920,46,5,35,2835,0,1,1,1
91,8,30,29,2192,40,31,3,1742,0,1,2,1
14,19,67,11,5574,6,31,48,4108,0,0,1,0
315,7,470,55,793,23,17,3,3048,0,1,1,0
127,29,124,14,4048,21,21,32,5392,1,0,1,0
625,24,319,97,1106,5,58,81,1240,1,0,2,0
227,18,323,28,192,8,26,38,4415,1,1,1,0
9,8,124,24,4200,51,26,22,5028,0,1,3,1
163,17,335,15,955,75,37,34,1138,0,0,3,1
306,11,277,49,454,60,29,27,1693,0,0,3,1
2,11,330,37,3203,23,36,23,2379,1,0,2,0
25,17,430,59,1531,48,51,12,2839,1,0,2,0
247,37,67,29,1575,121,12,83,1194,0,0,3,1
346,6,175,10,977,27,25,6,1036,0,0,2,0
90,15,433,48,4286,16,43,43,1790,1,1,2,0
6,16,190,7,3376,69,38,26,2589,1,0,3,1
124,10,573,10,1442,63,20,40,858,1,1,3,1
283,22,30,23,1852,77,60,8,1590,0,0,3,1
17,12,170,4,3361,21,39,29,2366,0,0,2,0
34,13,180,3,1624,70,18,50,1426,1,1,3,1
246,22,90,27,1448,6,30,49,1342,0,1,1,0
241,10,335,31,1415,48,32,11,1518,1,0,2,1
401,14,90,15,430,48,43,1,3087,0,0,2,0
38,24,210,63,210,9,64,81,1063,1,0,2,0
72,28,600,162,2101,22,20,29,1917,1,0,1,0
182,6,467,44,828,26,26,7,2648,0,0,2,0
22,12,150,14,4748,47,39,2,2268,0,1,2,1
184,13,190,17,2431,59,4,50,421,0,1,3,1
148,22,60,26,1318,74,0,62,1578,0,0,1,1
80,10,150,13,2954,16,23,20,2352,0,0,1,0
349,10,402,29,3030,48,4,38,3030,1,1,1,1
331,9,124,23,1063,35,33,5,1624,0,0,2,0
103,11,242,16,2133,20,35,27,1471,1,0,2,0
80,19,313,22,1674,62,55,2,2391,0,0,2,0
254,20,376,58,959,39,62,38,2383,0,0,2,0
222,23,430,16,2220,73,63,0,1316,0,1,2,0
328,37,60,10,1692,7,97,137,1224,1,0,2,0
53,12,95,25,1487,34,41,16,2717,0,0,2,0
3,21,365,111,4325,41,66,40,875,1,1,2,0
186,9,210,30,1702,34,33,6,553,1,0,2,0
98,12,524,77,4260,41,40,7,2208,1,1,2,0
81,13,153,34,1865,44,43,6,1833,0,0,2,0
157,16,242,37,2739,8,33,44,1345,1,1,1,0
144,19,361,22,1047,69,50,12,3322,0,1,3,1
76,24,150,68,5357,3,37,62,4355,0,0,1,0
280,12,404,72,612,28,41,23,1604,1,0,2,0
27,19,67,10,5212,14,17,23,4128,0,0,1,0
