"V1","V3","V4","V5","V6","V7","V8","V9","V10","C3","C1","C2","C4"
253,12,577,50,577,33,5,17,1950,0,1,1,1
30,3,162,32,4850,39,12,22,4733,0,0,1,1
132,14,108,10,1356,28,46,29,1215,0,0,2,0
310,23,408,122,3814,22,13,15,525,1,1,1,0
59,25,480,195,987,3,57,83,570,1,0,2,0
130,31,190,90,1476,13,32,56,1667,1,0,1,0
235,7,408,24,4236,26,26,9,904,0,1,2,0
107,15,60,21,531,70,35,31,1248,0,1,3,1
17,12,295,12,5531,66,13,51,5842,0,0,3,1
247,15,258,6,3076,15,42,43,2906,1,1,2,0
63,10,242,4,3198,28,34,15,2604,0,0,2,0
18,18,95,4,3798,8,27,40,2635,0,0,1,0
121,2,488,19,1691,31,17,8,2620,0,1,1,1
20,11,67,16,1869,19,15,9,600,0,0,1,0
255,16,162,13,3221,15,17,19,1919,1,0,1,0
173,9,300,0,837,45,5,34,1414,0,1,1,1
175,5,150,17,426,29,23,1,2672,0,0,2,0
135,11,283,21,3141,43,36,1,1142,1,0,2,1
157,8,30,27,2032,26,12,5,2582,0,0,1,1
29,15,295,44,5276,55,1,46,981,1,1,1,1
6,15,437,13,5582,72,8,60,5501,1,1,3,1
303,4,485,31,335,46,19,24,997,1,1,3,1
94,20,658,47,4105,59,0,48,1574,1,0,1,1
300,25,67,18,1950,44,4,18,1050,0,0,1,1
319,23,67,16,2212,55,70,29,1195,0,0,2,0
44,10,30,25,3140,61,20,39,2089,0,0,3,1
229,11,210,1,2001,21,36,27,5437,1,0,2,0
29,7,210,13,4751,32,30,5,5958,1,1,2,0
33,4,192,32,4834,35,24,6,4689,0,0,2,1
140,12,268,21,3120,46,38,1,1131,1,0,2,1
77,9,42,30,1345,35,33,5,2621,0,0,2,0
139,11,671,30,330,48,35,8,992,1,0,2,1
259,9,242,21,2568,40,6,27,1012,1,1,1,1
278,29,60,62,708,47,8,11,793,0,0,1,1
111,29,488,100,3537,38,12,4,1626,1,0,1,0
1,16,300,14,5289,75,32,40,2197,0,0,3,1
301,11,342,4,3169,27,9,7,390,1,1,1,1
200,5,212,13,1604,26,21,3,2264,0,0,2,0
282,8,631,10,631,43,6,31,859,1,1,1,1
233,15,342,4,1224,74,11,60,1934,1,1,3,1
183,17,67,16,892,57,0,47,499,0,0,1,1
310,20,127,2,1465,87,40,42,1189,0,0,3,1
294,13,420,49,5910,26,42,27,2021,1,1,2,0
342,12,671,25,3849,63,9,52,1142,0,1,3,1
142,27,0,30,1965,8,71,92,1782,0,0,2,0
159,15,524,55,2416,48,1,37,1565,0,1,1,1
127,5,277,0,3151,38,25,8,1084,0,1,2,1
95,7,0,30,3513,39,30,4,1855,0,1,2,1
53,9,182,22,2801,60,16,43,534,0,1,3,1
326,32,60,43,541,77,4,47,854,0,0,1,1
188,24,268,110,1106,62,71,22,900,1,0,2,0
29,9,108,21,1445,44,31,8,1932,0,0,2,1
53,28,153,19,3378,16,25,42,1101,1,1,1,0
223,13,42,14,2427,63,32,28,4670,0,0,3,1
171,4,277,46,2330,37,23,10,2398,0,1,2,1
44,7,212,12,2758,23,18,5,2356,1,0,1,0
231,18,1142,103,3132,32,5,11,2307,1,1,1,1
209,6,42,34,2792,51,16,33,882,0,1,3,1
194,16,162,1,5155,80,25,52,541,0,1,3,1
179,28,42,12,2571,105,65,30,2041,0,0,3,1
42,4,270,6,5929,46,16,27,4053,1,1,3,1
33,13,240,23,3022,56,37,14,2059,1,1,3,1
125,28,240,67,3025,97,74,11,1758,1,0,3,1
7,11,30,25,2550,65,18,46,2429,0,0,3,1
183,15,124,38,300,20,44,38,1055,0,0,2,0
132,19,127,8,2903,11,49,58,2142,0,0,2,0
170,16,511,10,510,10,24,32,1276,1,1,1,0
275,9,190,30,3537,44,5,33,1561,0,1,1,1
42,11,309,114,5234,62,26,33,5033,1,1,3,1
359,9,531,90,1213,31,34,11,2407,1,1,2,0
329,11,30,34,5049,14,25,24,379,0,1,1,0
359,18,480,130,190,71,47,18,779,1,0,3,1
252,3,300,8,4884,43,16,23,2489,0,1,3,1
77,10,400,3,1315,61,21,38,1621,1,1,3,1
39,8,488,54,1243,56,19,35,1899,1,1,3,1
337,15,488,149,3826,24,9,0,457,1,1,1,0
25,25,450,107,1179,98,7,81,247,1,1,3,1
71,11,638,57,5430,16,21,17,2952,1,1,1,0
418,4,67,32,2316,27,20,0,2271,0,0,2,0
171,14,175,0,2910,28,45,29,693,0,0,2,0
2,22,85,17,3532,3,40,63,2785,0,1,1,0
307,12,162,7,1695,15,20,19,4778,1,0,1,0
53,8,30,25,1103,24,29,14,1676,0,1,2,0
71,25,360,113,3139,89,66,13,1624,1,0,3,1
135,20,361,19,5752,70,0,59,1869,1,1,1,1
19,9,295,6,4686,19,29,21,6400,1,1,2,0
28,2,150,38,1195,36,13,18,741,0,1,1,1
151,13,190,13,190,59,35,20,1031,1,1,3,1
298,14,658,22,2851,12,22,25,3231,0,1,1,0
35,29,247,37,1978,56,90,56,1857,1,1,2,0
24,16,60,7,2718,65,2,56,992,0,0,3,1
203,8,268,7,6643,25,12,3,2329,0,1,1,1
238,5,60,24,1910,27,21,2,5653,0,0,2,0
49,11,433,29,2372,47,37,4,2561,1,0,2,1
157,10,420,48,6468,28,8,9,2863,0,1,1,1
173,14,390,39,842,23,10,0,1282,0,1,1,0
1,6,175,28,967,24,16,1,2287,0,0,1,0
19,13,95,20,3960,31,44,23,4963,0,1,2,0
113,14,272,58,90,50,43,0,1291,1,1,2,0
413,28,60,2,591,119,18,91,1012,0,0,3,1
157,2,277,7,1448,41,17,20,2394,1,0,3,1
143,23,732,2,2675,77,64,3,2400,1,1,3,1
42,24,150,7,5290,109,28,76,722,1,0,3,1
410,16,335,5,940,41,51,20,957,0,0,2,0
455,24,190,62,926,107,18,83,1410,1,0,3,1
190,16,541,41,594,36,51,27,1276,1,0,2,0
75,16,30,23,6367,55,48,0,3436,0,1,2,0
33,17,437,41,966,70,41,25,1772,1,1,3,1
294,14,120,6,1803,16,16,15,973,0,0,1,0
157,24,255,95,1158,60,73,28,1061,1,0,2,0
1,6,376,6,5514,40,8,27,5442,1,0,1,1
244,10,323,66,2885,33,36,11,1401,0,1,2,0
160,10,234,3,3022,28,36,18,2418,0,0,2,0
197,15,60,13,3064,54,43,5,6249,0,0,2,1
186,13,604,84,6177,70,22,46,1530,1,1,3,1
453,26,127,22,752,12,71,86,785,1,0,2,0
123,11,674,213,511,35,37,9,994,1,1,2,0
138,16,67,14,540,9,40,48,990,0,0,2,0
165,9,216,6,127,60,14,44,2110,1,0,3,1
96,8,192,19,1339,29,31,10,2588,0,1,2,0
143,12,277,69,277,17,36,32,2630,1,0,2,0
102,17,446,165,1103,38,3,22,495,1,1,1,1
311,16,255,28,1209,28,50,35,1293,1,0,2,0
30,9,390,49,3294,30,34,13,2202,1,1,2,0
119,4,153,23,2230,45,12,29,2358,0,0,3,1
6,13,30,21,2468,55,2,47,218,0,0,1,1
16,12,258,42,6045,16,18,16,3287,0,1,1,0
140,25,150,21,3170,62,0,44,1295,1,1,1,1
20,34,420,249,1425,144,30,99,1605,1,0,3,1
33,20,1006,71,2531,41,61,34,1080,1,1,2,0
104,16,283,23,2208,64,43,16,2402,1,0,3,1
121,23,600,59,3421,89,55,26,1752,1,1,3,1
123,23,256,107,2546,100,13,81,2746,1,1,3,1
317,19,330,42,1050,5,42,58,1208,1,0,2,0
2,16,170,22,3390,69,41,23,1699,1,1,3,1
223,1,210,7,2077,38,16,18,4435,1,0,3,1
223,6,153,5,1632,31,27,3,3483,0,0,2,0
138,6,576,32,2454,41,8,28,1456,1,1,1,1
273,6,537,56,6066,41,8,28,3154,1,1,1,1
25,17,175,2,2391,10,42,50,576,0,0,2,0
187,13,182,2,2032,34,4,19,503,1,1,1,1
24,17,30,24,4657,10,24,33,1599,0,0,1,0
439,24,60,24,1138,57,73,31,1383,0,0,2,0
75,10,661,82,5995,39,5,27,6323,1,1,1,1
177,6,277,1,541,37,28,4,1595,1,1,2,1
228,8,277,17,849,29,31,9,301,0,0,2,0
14,14,120,8,5496,13,38,41,1584,0,1,2,0
11,23,242,85,1804,40,71,49,2630,1,0,2,0
55,23,30,24,3442,61,0,46,2090,0,0,1,1
31,42,162,65,1413,41,135,142,1048,1,0,2,0
187,13,360,14,2609,23,41,30,2192,0,0,2,0
253,6,95,26,1776,27,26,7,5389,0,0,2,0
8,12,0,30,242,65,11,51,1209,0,0,3,1
229,15,90,38,1888,51,46,2,4410,0,0,2,0
351,26,807,16,4094,43,5,15,1637,0,1,1,1
339,21,42,19,1739,5,33,52,1756,0,1,1,0
182,14,212,8,4568,32,45,24,2583,0,1,2,0
299,29,210,65,899,125,45,72,1140,1,0,3,1
283,17,484,7,2297,64,46,12,1248,0,1,3,1
52,3,638,46,5588,39,12,22,4139,1,1,1,1
36,14,408,69,3333,43,45,11,674,1,0,2,0
4,3,361,13,1216,42,19,19,361,0,1,3,1
296,30,268,124,875,49,93,69,1452,1,0,2,0
19,16,470,26,5608,74,6,63,5419,1,1,3,1
13,8,400,27,2524,24,14,0,2101,1,0,1,0
143,30,722,380,806,122,16,93,1991,1,0,3,1
159,14,67,24,3021,32,5,16,2341,0,0,1,1
94,18,268,32,3946,10,23,34,2325,1,1,1,0
66,7,459,32,4355,39,7,25,1875,1,1,1,1
6,7,201,2,3944,28,28,8,5155,0,1,2,0
158,11,514,6,1651,24,37,24,2763,0,0,2,0
33,13,67,22,2253,22,11,2,1107,0,1,1,0
180,10,420,66,1409,50,33,13,1068,1,1,3,1
148,11,153,12,3042,19,15,8,2785,1,0,1,0
7,20,420,21,1973,92,29,60,1140,0,1,3,1
392,8,323,49,939,29,32,12,534,0,0,2,0
76,14,201,6,2784,17,41,37,2778,0,0,2,0
19,14,485,27,5750,72,10,59,6025,1,1,3,1
276,12,484,63,2703,21,12,4,2929,1,1,1,0
85,11,42,21,1224,50,34,11,2340,0,0,2,1
230,23,150,23,1271,31,8,0,2279,0,0,1,0
449,28,150,27,1339,121,27,86,731,1,0,3,1
224,12,752,17,6244,55,3,46,1224,0,1,3,1
212,6,228,12,2423,44,24,16,5029,0,0,3,1
336,4,0,30,547,42,21,16,1441,0,0,3,1
78,22,400,44,1470,82,2,70,1493,1,0,3,1
122,28,175,48,240,19,82,93,1664,0,0,2,0
278,7,484,1,4991,22,22,9,2382,0,1,2,0
72,8,360,36,752,41,31,5,713,0,0,2,1
38,17,384,23,891,49,52,13,1310,1,0,2,0
188,27,192,67,1215,66,81,31,1084,1,0,2,0
49,16,90,23,4114,8,28,38,5263,0,1,1,0
365,13,0,30,1027,22,40,30,1648,0,0,2,0
29,3,361,21,4012,29,20,3,3668,0,0,2,1
33,10,228,10,3803,18,17,11,3956,0,0,1,0
53,15,558,16,3495,28,7,8,1129,1,1,1,1
12,10,600,93,3254,44,35,3,677,1,0,2,1
214,14,90,11,2379,50,44,1,2233,0,0,2,0
328,12,576,112,3595,59,5,50,1989,1,1,3,1
262,2,301,10,2609,31,19,6,953,1,1,2,1
259,9,362,14,5909,60,19,38,2472,1,1,3,1
27,34,190,28,840,127,15,95,1024,1,1,3,1
24,8,240,17,5356,48,6,36,5277,0,0,3,1
304,12,180,9,1583,14,22,23,1499,1,1,1,0
104,16,467,50,3171,8,33,43,2649,1,0,1,0
305,15,492,11,859,32,5,14,2193,0,1,1,1
348,10,300,18,1733,18,18,12,1674,1,1,1,0
137,16,424,9,5598,18,13,12,1624,1,1,1,0
124,6,42,27,579,23,18,4,819,0,1,1,0
42,14,216,13,1855,55,40,10,2556,1,1,3,1
258,12,182,13,902,59,34,22,2037,1,1,3,1
738,23,67,0,218,81,61,11,560,0,0,3,1
26,27,212,62,6233,2,62,93,4147,1,1,2,0
83,6,95,15,511,48,21,24,497,0,0,3,1
86,41,382,121,2210,4,79,131,1671,1,1,1,0
