"real.1","real.2"
0.954195775473755,1
0.312843373474498,1
1,0.971740598150084
0.18357245781124,1
1,0.706857864302694
0.012985379036313,1
0.0124760143912202,1
1,0.289713511174137
0.248526978941119,1
1,0.116270196546482
0.187986847170166,1
0.0454284150040012,1
0.191137237849796,1
1,0.701346667901387
0.484058606976799,1
0.0768154136599936,1
1,0.882558205734439
0.625295137113571,1
0.210373701011058,1
0.495414445732422,1
1,0.221212964863366
0.187822319516348,1
1,0.188057601671761
0.0847341387235912,1
0.189752521765904,1
1,0.304414328128615
0.0586639797748174,1
1,0.242747946845624
0.451161222558838,1
0.332747231515816,1
1,0.0781688762194219
1,0.427584848225502
0.47147586765475,1
1,0.633962085481642
0.0675005116639001,1
0.368567177834597,1
0.0621245130569312,1
1,0.271857806992156
0.264460488342433,1
0.29868896958769,1
1,0.230109438813862
1,0.289763266226911
1,0.724084455773217
1,0.769745303683267
1,0.808319648643486
0.00598958597993109,1
0.189019261951842,1
0.0440637102783674,1
1,0.427395174555578
0.036226805295315,1
1,0.598278182990148
1,0.557564857843652
0.286322344399238,1
0.0158331531235891,1
0.479686270101295,1
1,0.17243238610182
0.467777742176274,1
1,0.286807395737963
1,0.411042271362755
0.820900958514742,1
0.0128664999931479,1
1,0.676377046581228
0.0173951831785013,1
7.84854413222908e-05,1
1,0.833864225577094
0.000809461743153032,1
0.175161268684847,1
1,0.0727285420098193
1,0.108813978569133
0.082647598924008,1
0.0995597452117593,1
0.0723321879025255,1
0.0177924571027151,1
0.0679074023292285,1
0.660875082476729,1
0.610282609616365,1
1,0.119171567354969
0.0299018292944417,1
0.0148685241819055,1
0.828887755066023,1
0.391114134621702,1
0.0665124704974049,1
0.0216896295341978,1
1,0.0250187599232405
0.176806074979056,1
1,0.890548002499495
0.741811508110557,1
1,0.278064032849225
0.0565725447486743,1
0.230706516821347,1
0.0908781934195295,1
0.767823156475874,1
1,0.709759153784994
0.0237757786577615,1
0.146846268852293,1
0.0891483891479013,1
0.0516576479657092,1
0.0442273863358556,1
0.365886790642843,1
0.501872888870145,1
0.125988947932587,1
0.217794880799376,1
0.145670668021007,1
0.111249208858305,1
0.145392015220876,1
0.0577286642655093,1
0.0743207987773431,1
0.0868762224472692,1
0.0214216555396245,1
0.195364618613558,1
0.0110063605512989,1
0.28682175317208,1
1,0.337746301162942
0.258897362980419,1
0.929762785072822,1
0.34842217834889,1
0.686146573119955,1
1,0.0495882508408335
1,0.16348668684581
1,0.155964809474028
1,0.138964355958551
0.0247639974113989,1
0.0870306614785539,1
0.0190045992017597,1
0.0282745884932051,1
0.562404578549508,1
1,0.0739558666032924
0.0102310587885367,1
0.00138356706238724,1
0.175006612511073,1
0.072277008810957,1
1,0.980723026636421
0.27453523080917,1
1,0.188490364742784
1,0.175004171577692
0.16869263834602,1
0.139395606476375,1
0.0797665045154833,1
0.0805209088278808,1
0.112222668846008,1
1,0.616584826756288
1,0.0949362713850039
0.140120470760079,1
1,0.71787538052353
0.22715912444092,1
0.00764887227769449,1
0.00652053839399123,1
0.0443141737203526,1
1,0.598770457648396
0.438831419427522,1
1,0.343182219788784
0.431864049138498,1
0.0894807833635202,1
1,0.0466631461695748
1,0.302375564785026
0.00557856368137672,1
0.283122060422483,1
0.449180617780649,1
1,0.702485698161863
0.116213090420092,1
0.0310292539769115,1
0.305232624125394,1
0.0802290113352563,1
0.450054546626217,1
0.0452767117314656,1
0.0897918543459826,1
0.0203338837444105,1
0.826480222245647,1
0.0206079538411894,1
0.185946102867687,1
0.0066720223522995,1
1,0.734908028370732
1,0.401633241934717
0.431216352914368,1
0.0635061128040924,1
0.676146201822799,1
1,0.834025013440153
1,0.596298566088095
0.239028278481336,1
0.0607880262284954,1
0.0283003335869979,1
0.33730414406402,1
0.90726754111718,1
1,0.933192078943073
0.112921715196213,1
1,0.241943607239981
0.0249545069857201,1
0.00146983770680086,1
0.0456610916335087,1
0.0264980586564103,1
0.639429591832197,1
0.655071721466586,1
0.496384000027639,1
1,0.0891987941572246
1,0.721411291305706
0.0406035852318715,1
1,0.522399163747337
0.283705384020598,1
0.0212838728695798,1
1,0.442905317946864
1,0.480855053341521
0.0027592946142477,1
1,0.974769561988291
0.0211437786611184,1
0.00682551438044652,1
0.0471472408638651,1
0.777618895791471,1
1,0.180902651140556
1,0.404402506783231
1,0.235757161164617
0.0884745521622752,1
0.340176301011855,1
0.323945134428608,1
0.0477903033949498,1
0.0850838147458946,1
0.0504226778005484,1
1,0.385566491501527
1,0.163235139417348
1,0.120694933666158
0.496106717025693,1
0.00631500161577838,1
0.180406200998579,1
0.093167278644834,1
1,0.518685761534889
1,0.632734830422969
1,0.431685772081663
0.283641944703054,1
1,0.347276070923775
0.0547231754208092,1
0.0225779176478364,1
0.0315148914046027,1
0.474504918753852,1
0.114886478762967,1
0.0914757248719698,1
0.181733562501198,1
0.0141779078822449,1
0.34671337956706,1
0.100139667822836,1
0.0244059561291873,1
0.10178763735965,1
0.645591034671791,1
0.00033722667383217,1
1,0.368759315482787
0.162824053908754,1
0.0357440799494984,1
0.0090161346146773,1
1,0.828653758512131
0.22220587105258,1
0.376175237889498,1
0.564951465777306,1
0.0105956986418603,1
0.308737081705398,1
0.763440799215559,1
0.171029872728103,1
0.952986440836772,1
1,0.146799915751143
1,0.729124271480044
1,0.0119756877298487
0.212204671841458,1
1,0.956404748525697
1,0.345325474951254
0.00371661835396428,1
1,0.246110382338239
1,0.558320058712465
0.0733007547833722,1
1,0.807205498946822
0.0148397074917246,1
0.413897353805938,1
0.622571774941356,1
0.187660918786958,1
0.0951800944459137,1
0.644717740936673,1
0.257723708167031,1
0.101080468033903,1
1,0.159420250807916
1,0.607255093700581
0.013412286112141,1
0.0142798373681562,1
0.00164510451429795,1
0.9727807355906,1
1,0.614421745907853
0.0419898870823581,1
1,0.404665031884567
0.0484742636329384,1
1,0.157358184228231
0.400331691531513,1
0.073513569658859,1
0.0562440440762506,1
0.0455052547495873,1
0.0806025014048719,1
0.287545545690315,1
0.0605418968124492,1
0.146305403746394,1
0.596270181540645,1
0.0353932775682943,1
1,0.202244061429927
0.024731316867946,1
0.323549053278513,1
0.140861486211404,1
1,0.402992050757634
0.074349394947235,1
0.109737992149038,1
0.0770881015639709,1
0.343456790073682,1
0.137323231008013,1
0.0188198320973213,1
1,0.439143138055385
0.161529433357726,1
1,0.672807311780891
1,0.227710713102871
0.120870400358876,1
1,0.152637025902891
0.0379962037731911,1
0.00978155894105944,1
0.516646410362524,1
0.15358414543195,1
0.261928593611084,1
0.197374633487692,1
1,0.214610700061775
0.305125974581055,1
1,0.146547936584102
0.00462389471665806,1
0.469570674926768,1
