"real.1","real.2","real.3","real.4"
1,0.006861917238386,0.029928735688058,0.00731364498067173
0.201914730310247,1,0.00358777019659083,0.279043293464972
0.0505078102029866,0.0368027670464089,0.0690888045574595,1
1,0.0118420544366377,0.00197930511074485,0.199576968855219
0.285090870207122,1,0.686413491899775,0.134504151134158
0.0934251178116678,1,0.872476088510166,0.240973587271723
0.0250693888437794,0.0316409191249451,0.0274030344507686,1
1,0.0179857699756485,0.00944916944190519,0.00632274826441538
0.00313755583160674,1,0.342518747693212,0.0230025668032802
0.0148021948214618,0.00824045762172518,0.000379882462343971,1
0.359935935583953,1,0.146184228951356,0.926051712154745
1,0.000611351880290812,0.0172593163893278,0.0794658296755345
0.0231786150032416,1,0.224577525790914,0.130949700423229
1,0.726502490663865,0.000488212510461476,0.0433317390146119
0.0532823610858467,0.0134434625369427,0.0621015396413337,1
0.000626364039742901,1,0.255293195508896,0.00699566931492373
1,0.007698349735443,0.551924511733689,0.36724724758082
0.254052010511184,0.0276934079706236,0.0011284815170138,1
0.103851181972942,0.516679547728711,5.6796848688098e-05,1
0.0625427717493344,0.237839213019838,1,0.0199751458362241
1,0.112920019573282,0.00220884697694989,0.742211636871392
0.977302757952216,0.894845582917328,1,0.0360904065713871
0.681979063545946,0.0159657338059808,1,0.243362141091846
1,0.0512263196258364,0.113269290404666,0.0332558656790467
0.0815776148243197,1,0.00067486668585267,0.46441893824669
0.26605035134236,0.0332715118756865,1,0.161251529555519
1,0.0859494415832712,0.855134706693117,0.664899777515553
0.0217225965302462,0.967093644219455,1,0.202859037664822
1,0.249121627479915,7.39735988844347e-05,0.649911781581616
0.580763085943589,0.168604674231827,0.0309758346056969,1
0.0859741029419005,0.0430045778796304,0.562307366691637,1
0.127620106965366,0.0997218549158517,0.0044691809721646,1
0.163389028728106,0.0736598282534006,1,0.0327031254753027
0.0437024188611145,0.010885092664705,0.0548452231253526,1
0.652111460770135,1,0.237368453827909,0.597891206420503
0.164360941537288,0.00483589454331279,1,0.27579557274418
1,0.215189956486465,0.00553821061124766,0.862663833324739
1,0.0119727146672863,0.122435441145901,0.185957197084901
0.219880782175655,1,0.000219632447225666,0.0987697300838254
1,0.00183262516747685,0.00942668538708727,0.569950764823777
1,0.00235426809339261,0.0382324896810083,0.0705495843229308
0.0387203575706576,0.216222356049839,0.000225091838686338,1
0.0288444489459125,1,0.0198522603791655,0.14260183455735
0.857533477769551,0.00546516236108479,1,0.142394162933341
0.00157360009533393,0.191987120341968,1,0.00882063988641322
0.0674930811532976,1,0.935791658523115,0.767794216894075
1,0.278104969421095,0.0378627718232079,0.71152176882901
0.00463510239255218,1,0.868642595206314,0.169137542918762
1,0.124339439192248,0.268263703357316,0.67792957719195
