"real.1","real.2","real.3","real.4","real.5","real.6","real.7","real.8","real.9","real.10","real.11","real.12","real.13","real.14","real.15","real.16","real.17","real.18","real.19","real.20","real.21","real.22","real.23","real.24"
0.000884664953397204,0.00832875117167248,2.99032918655365e-05,0.000217066815531121,1.40450240341504e-05,0.00581696485260047,0.0360598299435181,0.000161203764340503,0.000425682796335919,0.00591345604286871,0.00015334260718523,0.00211654365725902,7.26693922327359e-05,0.00246089825040856,0.00146812078715979,0.0714931685079476,0.000118559411674111,0.00199571185054711,0.0112253167333322,0.00118729620307185,0.00280839401904554,0.000281600801083555,1,0.000326587337297995
0.0040189313900943,0.057456238964252,0.0308924563203593,0.0807045351262468,0.010527974642287,0.0289953298543941,0.0670042550749379,0.010830430709031,0.0545080476743623,0.00653264165186519,0.439384670267098,0.00230997175766854,0.0666939378318388,0.00241056217801397,0.0414129407247188,0.0081747914189972,0.240182145764308,0.0160123189385545,0.0704419138494784,0.0121091276131876,0.00160810637464238,1,0.157863525697075,0.0111131334585577
0.0142432576518258,0.00473693094868856,0.000351903976705084,2.955661852267e-05,2.66331988659143e-05,0.000574145159159711,0.00838981617671874,0.000631546888172867,0.000429337172875588,0.000186323849785782,0.000130168643772602,0.0340884032504662,1.25466362992373e-05,0.010820171927862,0.00346687956108618,0.0923824023555899,0.00916965874659958,7.37223068821265e-05,0.0592633393277482,0.00195033894044335,0.000998787608547907,0.000269235899244607,1,1.59799810881715e-05
0.000155435163382617,0.00262041094166908,0.000648135992914969,0.00153470981634629,0.000123037889088706,0.0933384184453622,1,5.50080902221839e-05,0.002644276466109,0.00416121961742173,0.000513304978773448,0.184576227411501,0.00129920807408628,0.010017274744365,0.0404290340343786,0.555367675121364,0.00486406242399191,0.00736067828181483,0.00905451599022536,0.00681822346136904,0.00346320803407441,0.00482870006931746,0.0658615417910566,0.000221650873598805
0.00787411189952079,0.017263631251024,0.0118359906660109,1,0.00512304132054488,0.00133529404386846,0.203682151733512,0.00553886855435854,0.0922448634546112,0.000867180287505253,0.0210803107118828,5.17594155283035e-05,0.0374360706911259,0.0207597672498686,0.261031054660982,0.000607843541770472,0.165799192834343,0.000596850196243641,0.069897318461094,0.00595646894301035,0.000326018714066208,0.00202478262961439,0.0230737257850624,0.00181341667190042
0.000116600554463252,0.00313180066007582,0.00162800748993352,0.00629362086913516,0.000405352044084025,0.0268887028223037,1,3.4727358144214e-05,0.00125677638857418,0.00205989991881774,0.000165469947524722,0.00948415195681547,1.12847554181837e-06,0.000712344958133803,0.00119683490846604,0.0208047155619626,0.00143266185060606,0.0129413358575795,0.00761881874357768,0.000654895139934101,0.000144993336393862,0.00494392365318245,0.671227588026688,0.000146490655187546
0.0572737762894404,0.01658586773023,0.185598881162545,0.0294892970416161,0.0455271246087167,0.0498494848113097,0.520314545442606,0.025911330356224,0.107862173189477,0.033284545800088,0.477049784315096,0.00445542057028407,1,0.0179492647807778,0.182138515325166,0.0797993809009617,0.14075047408728,0.680460809625695,0.100902417713954,0.0350649695213917,0.0230804072731439,0.0552375462717814,0.0933175249324161,0.649528098099775
0.0156204691625397,0.031345672939291,0.12320425312598,0.144501250285907,0.0156770763617099,0.0624923417921869,0.310298817142834,0.0144488809343901,0.493196859206171,0.00467408864081517,0.484585830973828,0.0072645312587726,1,0.00214209124350482,0.208430030035452,0.0303161513836725,0.166178727417757,0.00773918595011839,0.0240454197367921,0.00121298719729538,0.0156727542952964,0.483800031327412,0.2139015032398,0.548194717350196
0.00873733698299583,0.0198480019338944,0.858113064417091,0.110547882884051,0.00682606966045601,0.0382480213853726,0.733654190135944,0.00428695278340311,0.109871840074545,0.00657177224363266,0.442838144908305,0.00021505454480652,0.0770005814771431,0.0294180627859931,0.0500470441205978,0.00336911820856608,0.0270721287859617,0.0104907411191479,0.0176278526452652,0.00267913769038312,0.11548265059016,1,0.332423614736701,0.284073166840569
0.00201264509846976,0.0508880373936922,0.00840439344537785,0.0578842284451118,0.00442650368805095,0.00323636884604661,0.118953893470576,0.00494974948189978,0.00210895151353516,0.00504004052637622,0.0123055355786412,9.08254401871447e-05,0.0137333268683084,0.00684058958875182,0.00571508277484037,0.00262113068433821,1,0.000193371802742659,0.0362329670016362,0.00407969739488575,0.000353473583429817,0.0287437693864869,0.0134260757855037,0.00183358263549488
