"real.1","real.2"
0.0847029869665649,1
0.557167393219882,1
0.615781649996526,1
0.00516053325286241,1
0.508376970949237,1
1,0.279065406389265
0.886214394580279,1
0.152278440505652,1
1,0.395234126581845
0.0712856196140891,1
0.287386135752542,1
0.000337698954124332,1
0.0112608965628811,1
0.041354911205532,1
0.880575377383856,1
1,0.0108678686936258
0.108124842108171,1
1,0.0437495067407156
0.0686446985525414,1
1,0.230164483210482
0.059592413414559,1
0.0263662533716285,1
0.217638624767014,1
0.409842165401121,1
0.116267142563449,1
0.572504755683134,1
0.0261440433024712,1
0.417015399143357,1
0.000178667058647953,1
0.0240914847256916,1
0.571057824841383,1
0.246745905560875,1
0.0770007683650053,1
0.00492969711012095,1
0.118021998406505,1
1,0.326111261147873
0.0336364738954757,1
1,0.0903168884471838
0.147836372934345,1
0.0485950931296724,1
0.271737068914748,1
0.00373447141766757,1
1,0.842026005331012
1,0.211346080814694
0.0104926384357277,1
0.0198654665409872,1
0.0335249188879976,1
1,0.01696601305556
0.522532528775801,1
0.0354594252978622,1
0.0171447986349839,1
1,0.0242458248560728
0.952934386238866,1
1,0.696836370741272
1,0.179646982593314
0.00375744959410661,1
0.380677296040064,1
1,0.368786238543897
1,0.224894915641884
1,0.368423830312884
1,0.11489913754025
0.182176079197393,1
0.130953869370915,1
0.0223766239287308,1
1,0.0750180129141877
1,0.0565815222913286
0.0250263338114753,1
1,0.127078388862615
0.0508328421531666,1
0.0663890341312395,1
0.142557717721788,1
0.00507918064349958,1
0.00399387912129155,1
1,0.90858410480563
0.953254727041503,1
0.119353516153052,1
1,0.0340912991838693
0.258054882956004,1
0.0473367651331951,1
1,0.228464388505063
0.344631263339272,1
0.128115872062331,1
0.0637336355734528,1
1,0.178279422192444
0.315630227029387,1
0.301209915032435,1
0.0577183768338415,1
1,0.552109839676084
0.00390769455690243,1
0.000810317095624285,1
0.00160491383340943,1
0.0182603996274168,1
0.032184103464166,1
1,0.0323755808176061
0.0656415564396615,1
0.401975834882347,1
0.999665176954748,1
0.167536982573477,1
0.0285564903818325,1
0.498217506765566,1
0.105819546882733,1
0.0592570044093427,1
0.103922610410824,1
0.00294783256015247,1
0.366781795549416,1
0.417942982319592,1
1,0.378147360474544
0.119061667268212,1
0.0136898441206158,1
1,0.860069241223696
0.21709416093777,1
0.899880223100821,1
0.000263729489310642,1
0.45346003498749,1
0.168196842844881,1
0.144045641385807,1
0.0449267534956045,1
0.0452490953090479,1
0.767982455086195,1
0.114851928300053,1
0.047188516119988,1
1,0.0531223322396293
0.440895765178089,1
0.407165541917689,1
0.00335191387285142,1
0.0485761499244523,1
0.0262868295414881,1
0.288978780494837,1
0.0613736241575823,1
0.282373296353304,1
1,0.107249652066383
0.00975723852107216,1
0.0375848906051061,1
0.285599526792458,1
0.0369559262464651,1
0.0217474973905373,1
0.195419528683634,1
0.0671961915441913,1
0.0582975297922234,1
0.133890963418983,1
0.912917345689501,1
0.0502780513219295,1
0.741061965778268,1
1,0.894148136234895
1,0.116898603864535
0.0230732521622852,1
0.0239975813638531,1
0.0214610205510753,1
0.0932332103396085,1
0.168064140639782,1
0.0292517748832525,1
1,0.109811418793294
0.027033107728708,1
1,0.454024148689273
0.00467732447320572,1
0.271947551718868,1
0.0467463650664171,1
0.149870231342694,1
0.00798492666007094,1
0.486941981522371,1
0.00550064464669068,1
1,0.451465088454466
0.12503880641224,1
0.414108635131877,1
0.733397560325416,1
0.044728926418137,1
0.837944101771346,1
0.0608328944417717,1
1,0.108416422721222
1,0.432979270633422
1,0.230850061680156
0.674271897173475,1
1,0.0302291849622439
0.725672751762142,1
0.0172397324500747,1
0.176934043776674,1
0.214650201911541,1
0.166490076593469,1
0.533553625913453,1
0.16983774300451,1
0.00871813000756613,1
0.144788487644837,1
1,0.666406800077552
0.214906506911927,1
1,0.877604825613609
0.0576378728151425,1
0.484995659983944,1
1,0.154405815861804
0.0430245527351972,1
0.473219623365785,1
0.315318964333254,1
1,0.782047832992173
1,0.0876387900582926
0.0151280930503294,1
0.0616666124948176,1
0.814850791448613,1
0.00288090364443317,1
1,0.779769793850292
0.0108635138175856,1
