"real.1","real.2","real.3","real.4"
0.216823276308332,0.0526756553981409,0.570374123594254,1
0.634500394372492,1,0.0162985014521479,0.0183618836511166
1,0.618226082584041,0.0106401336124107,0.0169378569220757
0.973092250074595,1,0.526369832826233,0.560724256609775
1,0.028805734309982,0.0259219561464587,0.011596786261985
1,0.0339488761894236,0.0669399670358323,0.570198043164194
0.326005852650122,0.224806764431461,1,0.0189229836680442
1,0.0488066690995454,0.150469988842714,0.104790238558456
0.304075285122833,0.0160127126316579,0.000194609642679317,1
0.0143336765614197,0.021875403034098,6.39408020412435e-05,1
1,0.0460319105429828,0.109352336044109,0.0312551786017443
0.0369794336753399,1,0.0366649106537605,0.105371630339789
0.130269175266098,1,0.0104700499070967,0.290757047517817
0.456639853201831,0.00485167436603567,0.0491340737257415,1
0.627078078151247,1,0.14199381407655,0.308855066442175
0.00804685257391562,0.0030663324881852,0.00609677282077744,1
1,0.0448712031020291,0.0103432684402275,0.129848218761161
0.605935559565495,0.420382452728639,0.401434987794265,1
0.545573074289426,0.0426206532573029,0.0781213450471899,1
1,0.0158820071399762,0.272436984854227,0.0330906540805896
1,0.0739675837725579,0.315010737303462,0.0252038093109267
0.141714755411878,0.0433735808602346,0.00894458623484419,1
0.626023881449205,1,0.599402519787429,0.691683799184709
1,0.0440852186599133,0.236801701668392,0.622267560145032
1,0.649320118199958,0.402220744251689,0.199779987860755
0.044390195626881,0.0659296555054643,0.000140456586175365,1
0.620516510772199,1,0.939697068943274,0.500837760846092
1,0.722547008532033,0.373172924316601,0.953553288940047
0.033155165453195,0.194577745660724,0.0186018480031822,1
0.00433587819804336,0.208991406147008,0.000973193107610399,1
1,0.212420846282789,0.0200718908789962,0.0129521495168054
1,0.0163840636363872,0.171458435600499,0.327283542756877
0.421090182703191,0.259005337969694,0.108861581987913,1
0.292896193283055,0.649820998648304,1,0.0139977977680705
1,0.020864563510471,0.100431846918381,0.406588497887104
1,0.0351967776607122,0.0456504715721886,0.217283180356208
1,0.0728946669865985,0.0265959869735967,0.948095211905502
1,0.245382805486106,0.300154765483185,0.33178546989384
0.0619728829654933,0.343738982788819,0.167959796293439,1
0.0686015980660194,1,0.441878786235314,0.571853701187859
1,0.744219689245705,0.00454796453975436,0.75361811640314
1,0.927244549574881,0.0838512308140116,0.679510591657029
0.373897926124061,1,0.05410953711144,0.209035123013512
0.815307931862308,1,0.493666109351467,0.661664482429766
0.00371779400797797,1,0.0153260486770209,0.0511177667304741
0.247353600068953,1,0.169763606462472,0.0866863197008176
0.0848651574245956,0.0316468816793107,1,0.870295434144594
0.18997258288906,1,0.165036413174258,0.0472823518985914
0.283098136608298,0.00793320071058489,0.0386202953392142,1
0.859521182474109,0.0149903524018078,1,0.458534092085749
0.0866711019487742,1,0.0219436423676583,0.383829504609305
0.00791316750842395,0.0252259465895797,0.00387433176710873,1
1,0.616058265085879,0.0587402875950931,0.190205164565434
0.316873953990305,0.0207562815487058,0.0249677125995953,1
1,0.0064949304887633,0.0202807554357466,0.151296162594733
0.00327912602355027,0.109371898714896,0.0106814954008188,1
1,0.0227538278337577,0.0218779020864835,0.208330675189232
0.146656079425335,0.032845644418091,1,0.0171894070414694
0.253123601197586,0.046034874548317,0.0248360944770155,1
0.00750317820026244,0.0131728073533244,0.00860663066186289,1
0.0572546660339452,0.386831511923515,0.0378892747469444,1
0.053868660671998,0.006803343968095,0.00406668072464254,1
1,0.200475324709105,0.0537509708301677,0.0688054315065408
0.193532019770448,0.768552323721283,0.176023552602325,1
0.110147034442297,0.00898688255835423,0.00646351166797386,1
0.0175530495791428,1,0.00417219462822874,0.165078157477593
1,0.00213725374573902,0.0073266143158724,0.133748819336279
1,0.171068040314149,0.822168002456955,0.0707268126214787
0.0240959998372722,1,0.00582967858964754,0.293391435744861
1,0.448644501357878,0.0959883027814732,0.237314260839349
0.00728984269274093,1,0.116175812176691,0.189312129439761
0.0532953853803615,1,0.00508009707834335,0.239216285667461
0.0600625573137963,0.0183990590321864,0.0340553869119375,1
0.286535942084408,0.221979445095942,1,0.394645732927085
0.257011440169564,0.0252738717913279,0.00479750453833213,1
0.135732985664748,0.174182376684702,0.0563764259577958,1
0.109590553083695,1,0.0341385080732548,0.0759419400509145
0.0729685668203137,1,0.0559973410201528,0.0304353798755492
0.10883385697161,0.115584917155279,1,0.67303669262586
1,0.613494404145093,0.253101276287508,0.0929137766246426
0.00577930193478906,1,0.0671249608643934,0.050223051987305
1,0.0202907474600213,0.0185759266514757,0.440570454331502
0.00637600901857557,0.165672580119022,0.0190213221022659,1
1,0.0523755343822699,0.671073996414947,0.28740871167089
1,0.194751257661825,0.0418386705256333,0.0995286799608397
0.202353440047509,1,0.0284054968390453,0.0943258427399748
0.0636436622390938,0.45731501982465,0.00770875165575551,1
1,0.480605522461661,0.123108432442541,0.272891607479095
1,0.597736226430248,0.0255900988329724,0.942901401773112
0.242786813373033,0.203913641484896,0.0739113840987115,1
1,0.0429156742899407,0.124017274379057,0.467766814858884
0.0406640155058468,1,0.339562565328636,0.0988785874587051
0.486006846763266,0.0585243329784673,0.051656351817213,1
0.377119200980948,0.0801033595399035,0.0901968717542747,1
1,0.0272783473937643,0.168657644142195,0.608929693991293
0.548638571383561,0.0547176907975033,1,0.0343035651060322
0.111494912441886,0.255493334233981,1,0.00311930029473394
0.00972935911238262,0.0911610658263662,0.188203532615524,1
0.815686217801155,1,0.0705975423973301,0.68708261824134
0.00981759049366038,0.0334883656899554,0.0661926564583009,1
0.908585573575331,1,0.0942764325414128,0.180324945195646
0.847394738294198,0.786450837730595,0.00897036336894501,1
0.400843775496396,0.0174054569906255,0.0625226964128588,1
1,0.00119292321152904,0.00653927347746064,0.00517772561297492
1,0.0510109953264807,0.184726863931943,0.0778151317991012
0.0283351936709041,0.0160299808318735,0.0143238158015302,1
1,0.020073690075043,0.273513150717674,0.318182123729888
0.0455599164658644,1,0.0614802313852496,0.687945556152407
0.14711270304789,1,0.176693347455855,0.290961005578801
0.738666370729277,0.00601454788097278,0.00981806338773495,1
1,0.00235334628223315,0.0297381393828865,0.0123013929630677
0.178789557670881,0.0112397941594047,0.00772739322944187,1
1,0.0466809828445339,0.230434470427455,0.0294747276662285
0.00936988659109643,0.359433727951568,0.0013168174596438,1
0.191877208125765,0.087109924853742,0.0222658194136968,1
0.00259379034350594,0.00812951169256018,0.422681593405002,1
0.216993811148615,0.0229364291987867,0.119858454961047,1
0.0391507445142138,1,0.0247517285265124,0.149127029369294
0.00134246338830979,0.0045518501144434,0.0384507529099106,1
0.698148523924671,0.184030686591368,1,0.436077328250324
0.0269596992292063,0.0329487346234165,0.0578788416236108,1
1,0.615142370717951,0.730075052518383,0.181842058065365
0.486792263831137,0.0239250846628006,0.0983329448264415,1
1,0.0129278993578291,0.0354531213119088,0.712413211851798
1,0.570221421866856,0.0884457510037021,0.0156199634712591
0.191542691757164,0.521847967596049,0.198911735402914,1
1,0.207660658111808,0.62825130704816,0.39950055167094
0.751922874684676,0.600944076891176,0.135807870062657,1
0.426385025622568,0.205248163586491,0.00913244298448718,1
0.369304223268429,0.173823329385314,0.0425836340176111,1
0.127228323369733,1,0.176010042622568,0.129889141723641
0.00695756061918444,0.0930260338668,0.00223075947535503,1
0.00471140673356948,0.0443687277221391,0.175336617825351,1
0.642255010884506,1,0.569367401202635,0.00916266248836357
0.0831646878574677,1,0.0121330780665892,0.057980185871552
1,0.998084540349482,0.521754154999079,0.370062327879766
0.756321237562162,1,0.0805790789330977,0.976191441516537
1,0.0815346398795058,0.0319237608542829,0.0727847015477597
1,0.0359524286426453,0.0230964947211426,0.0243273355198193
0.406847949253132,0.0352948238414914,0.0762269095209328,1
0.433021234372893,0.0587624284336419,0.0116439839296625,1
1,0.0158213357502763,0.0174862397904451,0.301455957606565
1,0.556654864924638,0.20811884608092,0.969680387843143
1,0.328210496548701,0.683355263349329,0.0897806177808284
0.0644506305741568,0.292575443901526,0.000826673804716833,1
0.146270002492383,0.0684848092142408,0.211992186749478,1
0.0498173267332009,0.00971898431736268,0.000371002912746518,1
0.168685521095571,0.874099756896936,1,0.0524393804229898
0.023653072155021,1,0.242622593334126,0.890931075423949
0.201758129106111,0.00264470268251052,0.00321072158821219,1
0.457505455968021,1,0.203242565478132,0.0422825229521311
0.84999483909614,0.149462321215775,1,0.181832319623938
0.0645068511779899,1,0.0182670861060148,0.810320615763437
0.378412231419189,1,0.494660551175008,0.295571987786076
1,0.559114815040188,0.508005382026491,0.97338989515152
0.109622031900197,0.638423626428666,0.47274302252344,1
0.0612797144965537,0.015688385346147,0.00159830804392102,1
