"X","V2","V3","V4","V5","V6","V7","V8","V9","C2","C3","C4"
1,0.09,0.12,0.04,0.13,0.5,0,0.52,0.22,1,1,0
3,0.15,0.13,0.02,0.15,0.5,0,0.47,0.22,1,1,0
4,0.09,0.05,0.0599999999999999,0.13,0.5,0,0.46,0.22,1,0,1
5,0.07,0.05,0.03,0.54,0.5,0,0.52,0.22,0,0,0
6,0.02,0.09,0.05,0.17,0.5,0.5,0.51,0.22,1,0,1
8,0.01,0.04,0.08,0.2,0.5,0,0.42,0.34,0,0,1
9,0.0600000000000001,0.01,0.15,0.36,0.5,0,0.51,0.22,1,1,1
11,0.06,0.1,0.03,0.21,0.5,0,0.47,0.27,0,0,1
12,0.07,0.12,0.08,0.2,0.5,0,0.48,0.29,0,0,1
13,0.09,0.07,0.0599999999999999,0.35,0.5,0,0.47,0.25,0,0,1
15,0.17,0.0600000000000001,0.06,0.19,0.5,0,0.54,0.22,1,1,0
16,0.03,0.05,0.01,0.11,0.5,0,0.5,0.22,0,0,1
17,0.02,0.1,0.01,0.11,0.5,0,0.51,0.4,0,0,0
18,0.09,0.02,0.03,0.11,0.5,0,0.49,0.26,1,0,1
19,0.01,0.15,0.04,0.21,0.5,0,0.51,0.22,1,0,1
20,0.12,0.11,0.04,0.21,0.5,0,0.5,0.25,1,1,1
21,0.04,0.09,0.01,0.16,0.5,0,0.5,0.22,0,0,0
22,0.06,0.05,0.03,0.22,0.5,0,0.49,0.22,0,0,0
23,0.24,0.14,0.09,0.3,0.5,0,0.51,0.22,1,1,0
24,0.06,0.04,0.01,0.13,0.5,0,0.45,0.22,0,1,1
25,0.03,0.04,0.01,0.15,0.5,0,0.42,0.22,0,1,1
28,0.08,0.02,0.09,0.18,0.5,0,0.49,0.22,1,0,1
29,0.14,0.18,0.0599999999999999,0.24,0.5,0,0.51,0.22,1,1,1
30,0.31,0.39,0.15,0.39,0.5,0,0.44,0.33,1,1,0
32,0.02,0.02,0.08,0.87,0.5,0,0.48,0.22,1,1,0
34,0.16,0.0600000000000001,0,0.43,0.5,0,0.49,0.22,0,1,0
35,0.29,0.25,0.09,0.26,0.5,0,0.57,0.22,1,1,0
36,0.25,0.18,0.04,0.34,0.5,0,0.58,0.22,1,1,0
37,0.23,0.12,0.06,0.3,0.5,0,0.46,0.25,1,1,0
38,0.09,0.04,0.0599999999999999,0.18,0.5,0,0.44,0.26,0,0,1
39,0.1,0.04,0.08,0.44,0.5,0,0.5,0.22,1,1,0
40,0.08,0.04,0.02,0.34,0.5,0,0.47,0.22,1,1,1
41,0.37,0.19,0.12,0.24,0.5,0,0.46,0.22,1,1,0
42,0.37,0.25,0,0.4,0.5,0,0.45,0.22,1,1,0
43,0.3,0.08,0.1,0.28,0.5,0,0.41,0.22,1,1,0
44,0.08,0.05,0.12,0.2,0.5,0,0.49,0.22,0,1,0
45,0.12,0.13,0.05,0.18,0.5,0,0.52,0.26,0,0,1
47,0.25,0.26,0.07,0.47,0.5,0,0.6,0.35,1,1,1
48,0,0.1,0.01,0.29,0.5,0,0.52,0.22,0,0,1
49,0.25,0.08,0,0.28,0.5,0,0.42,0.22,1,1,0
50,0.07,0.25,0.17,0.16,0.5,0,0.5,0.22,0,0,0
51,0.01,0.1,0,0.21,0.5,0,0.48,0.28,0,0,0
52,0.08,0.04,0.06,0.14,0.5,0,0.48,0.66,0,1,0
53,0.04,0.03,0.04,0.43,0.5,0,0.45,0.38,0,0,1
55,0.15,0.1,0.05,0.23,0.5,0,0.54,0.22,1,1,1
57,0.17,0.13,0.02,0.1,0.5,0,0.51,0.22,1,1,0
58,0.04,0.05,0,0.33,0.5,0,0.45,0.22,1,0,0
60,0.04,0.09,0.03,0.67,0.5,0,0.48,0.22,0,1,0
61,0.06,0.14,0.01,0.52,0.5,0,0.46,0.22,0,0,1
62,0.12,0.17,0.04,0.18,0.5,0,0.55,0.25,0,0,0
63,0.01,0.06,0,0.32,0.5,0,0.48,0.43,0,0,0
64,0.08,0.03,0.08,0.19,0.5,0,0.42,0.27,0,0,1
67,0.15,0.03,0.0599999999999999,0.09,0.5,0,0.45,0.22,0,0,1
69,0.02,0.1,0.08,0.15,0.5,0,0.43,0.22,0,0,1
71,0.01,0.07,0.01,0.24,0.5,0,0.44,0.22,0,0,1
