"X","V2","V3","V4","V5","V6","V7","V8","V9","C2","C3","C4"
6,0.02,0.09,0.05,0.17,0.5,0.5,0.51,0.22,1,0,1
12,0.07,0.12,0.08,0.2,0.5,0,0.48,0.29,0,0,1
16,0.03,0.05,0.01,0.11,0.5,0,0.5,0.22,0,0,1
21,0.04,0.09,0.01,0.16,0.5,0,0.5,0.22,0,0,0
23,0.24,0.14,0.09,0.3,0.5,0,0.51,0.22,1,1,0
25,0.03,0.04,0.01,0.15,0.5,0,0.42,0.22,0,1,1
34,0.16,0.0600000000000001,0,0.43,0.5,0,0.49,0.22,0,1,0
35,0.29,0.25,0.09,0.26,0.5,0,0.57,0.22,1,1,0
39,0.1,0.04,0.08,0.44,0.5,0,0.5,0.22,1,1,0
42,0.37,0.25,0,0.4,0.5,0,0.45,0.22,1,1,0
44,0.08,0.05,0.12,0.2,0.5,0,0.49,0.22,0,1,0
49,0.25,0.08,0,0.28,0.5,0,0.42,0.22,1,1,0
50,0.07,0.25,0.17,0.16,0.5,0,0.5,0.22,0,0,0
52,0.08,0.04,0.06,0.14,0.5,0,0.48,0.66,0,1,0
53,0.04,0.03,0.04,0.43,0.5,0,0.45,0.38,0,0,1
71,0.01,0.07,0.01,0.24,0.5,0,0.44,0.22,0,0,1
74,0.04,0.0600000000000001,0.03,0.66,0.5,0,0.53,0.22,0,1,1
85,0.18,0.13,0.11,0.43,0.5,0.83,0.5,0.22,1,1,0
90,0.07,0.02,0.01,0.41,0.5,0,0.47,0.32,0,0,1
91,0.13,0.03,0.11,0.46,0.5,0,0.49,0.33,0,0,1
94,0.16,0.06,0.13,0.16,0.5,0,0.48,0.52,0,0,1
98,0.12,0.23,0.12,0.33,0.5,0,0.42,0.22,1,1,0
106,0.05,0.1,0.15,0.16,0.5,0,0.48,0.22,0,1,0
110,0.22,0.11,0.03,0.23,0.5,0,0.45,0.22,0,1,0
115,0.04,0.02,0.01,0.16,0.5,0,0.48,1,0,1,0
116,0.04,0.04,0.01,0.6,0.5,0,0.51,0.22,0,0,0
133,0.11,0.01,0.0599999999999999,0.25,0.5,0,0.59,0.26,1,1,1
139,0.2,0.17,0.07,0.15,0.5,0,0.5,0.3,0,0,1
148,0.1,0.0600000000000001,0.03,0.31,0.5,0,0.46,0.29,0,1,0
150,0.02,0.15,0.01,0.19,0.5,0,0.5,0.22,1,0,0
151,0.09,0.01,0.01,0.12,0.5,0,0.52,0.25,1,1,0
153,0.08,0.1,0.07,0.34,0.5,0,0.52,0.4,0,0,0
160,0.22,0.1,0.03,0.43,0.5,0,0.41,0.22,1,1,0
163,0.05,0,0.02,0.2,0.5,0,0.48,0.22,1,0,0
166,0.14,0.04,0.08,0.11,0.5,0,0.44,0.22,0,0,0
168,0.23,0.01,0.18,0.28,0.5,0,0.49,0.22,0,1,0
175,0.11,0.19,0.07,0.45,0.5,0,0.47,0.22,0,1,0
176,0.05,0.11,0.03,0.32,0.5,0.83,0.47,0.22,0,0,0
178,0,0.18,0.02,0.35,0.5,0,0.49,0.29,0,0,0
185,0.01,0.15,0.1,0.23,0.5,0,0.4,0.22,0,1,1
189,0.1,0.01,0.01,0.28,0.5,0,0.45,0.25,1,1,1
196,0.03,0.0700000000000001,0.03,0.53,0.5,0,0.55,0.22,1,1,1
199,0.23,0.12,0.14,0.3,0.5,0,0.43,0.22,1,1,0
205,0.1,0.12,0.17,0.22,0.5,0,0.49,0.22,1,1,0
207,0.01,0.03,0.09,0.51,0.5,0,0.52,0.22,1,1,1
208,0,0.11,0.08,0.56,0.5,0,0.64,0.22,0,1,0
213,0.18,0.19,0.05,0.29,0.5,0,0.54,0.22,1,1,0
224,0.08,0.08,0.08,0.24,0.5,0,0.6,0.22,1,0,1
