"V2","V3","V4","V5","V8","V9","c6","c7"
0.43,0.67,0.48,0.27,0.53,0.22,1,1
0.58,0.44,0.57,0.13,0.54,0.22,1,1
0.4,0.39,0.6,0.15,0.58,0.3,1,1
0.42,0.37,0.59,0.2,0.52,0.29,1,1
0.43,0.44,0.48,0.22,0.51,0.22,1,1
0.38,0.61,0.61,0.12,0.53,0.47,1,1
0.79,0.57,0.41,0.28,0.59,0.22,1,1
0.37,0.36,0.56,0.18,0.48,0.26,1,1
0.53,0.31,0.58,0.39,0.47,0.37,1,1
0.74,0.57,0.51,0.28,0.58,0.22,1,1
0.64,0.56,0.56,0.22,0.45,0.22,1,1
0.48,0.54,0.55,0.12,0.51,0.22,1,1
0.45,0.55,0.54,0.66,0.47,0.22,1,1
0.63,0.53,0.54,0.4,0.5,0.22,1,1
0.5,0.54,0.53,0.54,0.51,0.27,1,1
0.54,0.52,0.63,0.37,0.46,0.22,1,1
0.67,0.62,0.4,0.43,0.5,0.22,1,3
0.61,0.72,0.39,0.33,0.58,0.22,1,1
0.36,0.43,0.39,0.12,0.49,0.22,1,1
0.47,0.39,0.55,0.24,0.47,0.22,1,1
0.3,0.56,0.55,0.18,0.5,0.22,1,1
0.59,0.67,0.56,0.41,0.47,0.22,1,1
0.47,0.47,0.57,0.48,0.48,0.22,1,1
0.54,0.55,0.34,0.31,0.54,0.22,1,1
0.53,0.51,0.55,0.05,0.45,0.25,1,1
0.41,0.4,0.59,0.47,0.48,0.43,1,1
0.4,0.62,0.52,0.31,0.49,0.31,1,1
0.35,0.58,0.54,0.16,0.51,0.22,1,1
0.29,0.32,0.58,0.15,0.5,0.3,1,1
0.39,0.47,0.56,0.16,0.47,0.22,1,1
0.44,0.39,0.53,0.14,0.54,0.44,1,1
0.36,0.68,0.46,0.16,0.53,0.28,1,1
0.67,0.71,0.52,0.65,0.53,0.36,1,1
0.49,0.47,0.53,0.16,0.48,0.27,1,1
0.71,0.59,0.48,0.43,0.59,0.22,1,1
0.42,0.51,0.5,0.12,0.52,0.46,1,1
0.57,0.51,0.53,0.18,0.56,0.25,1,1
0.39,0.42,0.38,0.4,0.49,0.47,1,1
0.26,0.44,0.3,0.11,0.51,0.47,1,1
0.31,0.44,0.53,0.23,0.51,0.32,1,1
0.66,0.45,0.5,0.23,0.49,0.22,1,1
0.21,0.41,0.55,0.11,0.5,0.27,1,1
0.31,0.31,0.56,0.33,0.52,0.33,1,1
0.31,0.55,0.52,0.17,0.52,0.22,1,1
0.32,0.57,0.5,0.15,0.53,0.22,1,1
0.63,0.56,0.45,0.58,0.51,0.22,1,1
0.52,0.56,0.54,0.53,0.45,0.22,1,1
0.58,0.58,0.58,0.49,0.49,0.26,1,1
0.7,0.65,0.54,0.28,0.6,0.4,1,1
0.56,0.41,0.58,0.21,0.42,0.22,1,1
0.58,0.56,0.45,0.12,0.51,0.22,1,1
0.53,0.44,0.51,0.33,0.52,0.22,1,1
0.42,0.57,0.72,0.22,0.57,0.22,1,1
0.45,0.27,0.57,0.36,0.52,0.18,1,1
0.2,0.26,0.52,0.14,0.53,0.44,1,1
0.36,0.68,0.38,0.08,0.53,0.25,1,1
0.8,0.46,0.5,0.15,0.53,0.22,1,1
0.47,0.65,0.54,0.62,0.53,0.36,1,1
0.54,0.42,0.41,0.16,0.52,0.22,1,1
0.83,0.58,0.33,0.04,0.53,0.22,1,1
0.52,0.75,0.37,0.14,0.46,0.22,1,1
0.77,0.87,0.47,0.37,0.48,0.22,1,1
0.57,0.61,0.45,0.26,0.5,0.22,1,1
0.46,0.35,0.33,0.17,0.55,0.22,1,1
0.81,0.82,0.41,0.36,0.39,0.22,1,1
0.44,0.44,0.49,0.15,0.46,0.27,1,1
0.23,0.3,0.58,0.22,0.48,0.27,1,1
0.17,0.38,0.45,0.09,0.54,0.27,1,1
0.91,0.69,0.57,0.45,0.56,0.22,1,1
0.49,0.43,0.48,0.15,0.55,0.25,1,1
0.74,0.53,0.5,0.08,0.55,0.31,1,1
0.31,0.45,0.5,0.17,0.49,0.22,1,1
0.69,0.5,0.49,0.42,0.49,0.22,1,1
0.6,0.48,0.44,0.52,0.54,0.63,1,1
0.21,0.38,0.49,0.16,0.51,0.45,1,1
0.48,0.34,0.47,0.14,0.47,0.26,1,1
0.61,0.54,0.49,0.19,0.54,0.47,1,1
0.44,0.53,0.52,0.37,0.5,0.22,1,1
0.41,0.43,0.5,0.28,0.5,0.22,1,1
0.43,0.45,0.37,0.12,0.48,0.22,1,1
0.45,0.57,0.3,0.17,0.51,0.22,1,1
0.42,0.44,0.33,0.17,0.54,0.27,1,1
0.53,0.56,0.49,0.46,0.52,0.22,1,1
0.51,0.52,0.48,0.5,0.51,0.22,1,1
0.55,0.49,0.5,0.46,0.52,0.25,1,1
0.59,0.57,0.46,0.14,0.52,0.22,1,1
0.4,0.51,0.42,0.13,0.45,0.25,1,1
0.81,0.76,0.32,0.37,0.51,0.22,1,1
0.42,0.25,0.6,0.14,0.45,0.22,1,1
0.23,0.34,0.41,0.28,0.5,0.27,1,1
0.67,0.63,0.34,0.41,0.6,0.33,1,1
0.54,0.51,0.54,0.52,0.47,0.25,1,1
0.43,0.45,0.54,0.14,0.5,0.31,1,1
0.54,0.54,0.49,0.14,0.56,0.22,1,1
0.46,0.4,0.38,0.18,0.49,0.22,1,1
0.68,0.5,0.55,0.65,0.46,0.31,1,1
0.44,0.53,0.43,0.17,0.54,0.75,1,1
0.46,0.32,0.58,0.17,0.61,0.25,1,1
0.78,0.48,0.47,0.3,0.53,0.47,1,1
0.39,0.37,0.33,0.23,0.53,0.26,1,1
0.5,0.62,0.54,0.66,0.49,0.22,1,1
0.47,0.54,0.54,0.48,0.53,0.26,1,1
0.72,0.58,0.42,0.28,0.48,0.22,1,1
0.81,0.65,0.52,0.41,0.57,0.26,1,1
0.58,0.49,0.5,0.41,0.57,0.22,1,1
0.68,0.68,0.49,0.15,0.53,0.22,1,1
0.57,0.44,0.42,0.2,0.54,0.22,1,1
0.55,0.65,0.5,0.28,0.55,0.22,1,1
0.89,0.52,0.41,0.26,0.52,0.31,1,1
0.52,0.5,0.59,0.31,0.5,0.22,1,1
0.42,0.53,0.53,0.64,0.47,0.22,1,1
0.45,0.38,0.64,0.14,0.54,0.22,1,1
0.6,0.57,0.64,0.52,0.47,0.28,1,1
0.44,0.44,0.67,0.35,0.48,0.26,1,1
0.36,0.38,0.56,0.44,0.48,0.22,1,1
0.55,0.5,0.6,0.31,0.46,0.27,1,1
0.65,0.53,0.55,0.52,0.47,0.27,1,1
0.55,0.59,0.47,0.64,0.54,0.33,1,1
0.51,0.6,0.51,0.26,0.54,0.22,1,1
0.52,0.38,0.62,0.12,0.41,0.28,1,1
0.63,0.47,0.56,0.12,0.5,0.22,1,1
0.46,0.46,0.56,0.12,0.55,0.22,1,1
0.33,0.46,0.53,0.29,0.5,0.55,1,1
0.51,0.34,0.49,0.16,0.53,0.21,1,1
0.9,0.54,0.59,0.2,0.48,0.22,1,1
0.43,0.38,0.38,0.12,0.5,0.22,1,1
0.41,0.49,0.58,0.22,0.52,0.22,1,1
0.58,0.51,0.56,0.16,0.34,0.22,1,1
0.31,0.42,0.48,0.17,0.49,0.53,1,1
0.69,0.39,0.52,0.12,0.38,0.35,1,1
0.45,0.46,0.61,0.2,0.62,0.22,1,1
0.53,0.51,0.36,0.13,0.52,0.22,1,1
0.49,0.52,0.53,0.7,0.51,0.22,1,1
0.55,0.59,0.52,0.1,0.53,0.22,1,1
0.45,0.58,0.59,0.44,0.56,0.22,1,1
0.46,0.49,0.45,0.28,0.55,0.22,1,1
0.4,0.36,0.55,0.15,0.53,0.22,1,1
0.75,0.6,0.43,0.35,0.45,0.27,1,1
0.28,0.36,0.55,0.15,0.57,0.22,1,1
0.48,0.46,0.58,0.26,0.44,0.22,1,1
0.44,0.42,0.57,0.22,0.5,0.25,1,1
0.39,0.81,0.35,0.28,0.51,0.45,1,1
0.95,0.71,0.27,0.39,0.31,0.22,1,1
0.39,0.49,0.3,0.19,0.52,0.31,1,1
0.37,0.48,0.5,0.26,0.52,0.39,1,1
0.42,0.53,0.57,0.17,0.49,0.22,1,1
0.52,0.46,0.56,0.2,0.5,0.22,1,1
0.68,0.39,0.5,0.15,0.48,0.37,1,1
0.59,0.46,0.48,0.46,0.49,0.22,1,1
0.51,0.46,0.4,0.65,0.49,0.22,1,1
0.37,0.44,0.51,0.56,0.5,0.38,1,1
0.53,0.45,0.53,0.18,0.42,0.22,1,1
0.48,0.5,0.56,0.11,0.33,0.22,1,1
0.6,0.59,0.47,0.47,0.53,0.22,1,1
