"X","V2","V3","V4","V5","V6","V7","V8","V9","C2","C3","C4"
2,0.06,0.18,0.03,0.27,0.5,0,0.47,0.22,0,1,0
4,0.09,0.05,0.0599999999999999,0.13,0.5,0,0.46,0.22,1,0,1
6,0.02,0.09,0.05,0.17,0.5,0.5,0.51,0.22,1,0,1
7,0.01,0.05,0.03,0.65,0.5,0,0.47,0.22,1,1,0
8,0.01,0.04,0.08,0.2,0.5,0,0.42,0.34,0,0,1
9,0.0600000000000001,0.01,0.15,0.36,0.5,0,0.51,0.22,1,1,1
10,0.09,0.1,0.09,0.15,0.5,0,0.42,0.3,0,0,1
12,0.07,0.12,0.08,0.2,0.5,0,0.48,0.29,0,0,1
14,0.11,0.09,0.01,0.46,0.5,0,0.47,0.22,1,0,1
16,0.03,0.05,0.01,0.11,0.5,0,0.5,0.22,0,0,1
18,0.09,0.02,0.03,0.11,0.5,0,0.49,0.26,1,0,1
20,0.12,0.11,0.04,0.21,0.5,0,0.5,0.25,1,1,1
21,0.04,0.09,0.01,0.16,0.5,0,0.5,0.22,0,0,0
22,0.06,0.05,0.03,0.22,0.5,0,0.49,0.22,0,0,0
23,0.24,0.14,0.09,0.3,0.5,0,0.51,0.22,1,1,0
24,0.06,0.04,0.01,0.13,0.5,0,0.45,0.22,0,1,1
25,0.03,0.04,0.01,0.15,0.5,0,0.42,0.22,0,1,1
26,0.02,0.02,0.01,0.51,0.5,0,0.46,0.22,1,1,1
27,0.1,0.04,0.02,0.19,0.5,0,0.41,0.27,1,0,1
30,0.31,0.39,0.15,0.39,0.5,0,0.44,0.33,1,1,0
31,0.04,0.05,0.08,0.1,0.5,0,0.43,0.32,1,1,0
32,0.02,0.02,0.08,0.87,0.5,0,0.48,0.22,1,1,0
33,0.11,0.12,0.1,0.12,0.5,0,0.47,0.47,0,1,1
34,0.16,0.0600000000000001,0,0.43,0.5,0,0.49,0.22,0,1,0
35,0.29,0.25,0.09,0.26,0.5,0,0.57,0.22,1,1,0
37,0.23,0.12,0.06,0.3,0.5,0,0.46,0.25,1,1,0
38,0.09,0.04,0.0599999999999999,0.18,0.5,0,0.44,0.26,0,0,1
39,0.1,0.04,0.08,0.44,0.5,0,0.5,0.22,1,1,0
41,0.37,0.19,0.12,0.24,0.5,0,0.46,0.22,1,1,0
42,0.37,0.25,0,0.4,0.5,0,0.45,0.22,1,1,0
44,0.08,0.05,0.12,0.2,0.5,0,0.49,0.22,0,1,0
46,0.04,0.18,0.07,0.39,0.5,0,0.53,0.37,1,0,1
47,0.25,0.26,0.07,0.47,0.5,0,0.6,0.35,1,1,1
49,0.25,0.08,0,0.28,0.5,0,0.42,0.22,1,1,0
50,0.07,0.25,0.17,0.16,0.5,0,0.5,0.22,0,0,0
52,0.08,0.04,0.06,0.14,0.5,0,0.48,0.66,0,1,0
53,0.04,0.03,0.04,0.43,0.5,0,0.45,0.38,0,0,1
54,0.0700000000000001,0.01,0.07,0.27,0.5,0,0.49,0.22,1,0,1
55,0.15,0.1,0.05,0.23,0.5,0,0.54,0.22,1,1,1
56,0.15,0.0700000000000001,0.05,0.22,0.5,0,0.55,0.22,1,1,1
57,0.17,0.13,0.02,0.1,0.5,0,0.51,0.22,1,1,0
58,0.04,0.05,0,0.33,0.5,0,0.45,0.22,1,0,0
59,0.11,0,0.02,0.19,0.5,0,0.5,0.22,0,0,1
61,0.06,0.14,0.01,0.52,0.5,0,0.46,0.22,0,0,1
62,0.12,0.17,0.04,0.18,0.5,0,0.55,0.25,0,0,0
65,0.05,0.01,0.07,0.08,0.5,0,0.48,0.27,1,0,0
66,0.11,0.02,0.06,0.22,0.5,0,0.49,0.29,1,0,0
68,0.01,0.05,0.04,0.12,0.5,0,0.49,0.22,0,1,1
69,0.02,0.1,0.08,0.15,0.5,0,0.43,0.22,0,0,1
70,0.32,0.36,0.04,0.37,0.5,0,0.44,0.22,1,1,0
71,0.01,0.07,0.01,0.24,0.5,0,0.44,0.22,0,0,1
72,0.09,0.02,0.02,0.27,0.5,0,0.43,0.29,1,1,0
74,0.04,0.0600000000000001,0.03,0.66,0.5,0,0.53,0.22,0,1,1
75,0.03,0,0.07,0.23,0.5,0,0.56,0.22,0,0,1
76,0,0.07,0.05,0.55,0.5,0,0.58,0.25,0,0,1
77,0.14,0.04,0.03,0.4,0.5,0,0.5,0.22,1,1,1
78,0.01,0.05,0.02,0.54,0.5,0,0.49,0.27,1,1,1
80,0.06,0.08,0,0.49,0.5,0,0.52,0.22,0,1,0
83,0.02,0.05,0.09,0.57,0.5,0,0.42,0.22,1,1,1
84,0.05,0.03,0.12,0.37,0.5,0,0.54,0.22,1,1,1
85,0.18,0.13,0.11,0.43,0.5,0.83,0.5,0.22,1,1,0
86,0.21,0.09,0.3,0.13,0.5,0,0.49,0.22,0,1,0
88,0.31,0.14,0.06,0.29,0.5,0,0.49,0.22,1,1,0
89,0.01,0.03,0.08,0.3,0.5,0,0.49,0.35,1,1,1
90,0.07,0.02,0.01,0.41,0.5,0,0.47,0.32,0,0,1
91,0.13,0.03,0.11,0.46,0.5,0,0.49,0.33,0,0,1
92,0.03,0.11,0.04,0.22,0.5,0,0.48,0.27,0,0,0
93,0.09,0.04,0.05,0.2,0.5,0,0.55,0.22,0,0,1
94,0.16,0.06,0.13,0.16,0.5,0,0.48,0.52,0,0,1
95,0,0.12,0.02,0.25,0.5,0,0.5,0.28,0,1,0
96,0.11,0.01,0.14,0.26,0.5,0,0.57,0.22,0,1,0
98,0.12,0.23,0.12,0.33,0.5,0,0.42,0.22,1,1,0
99,0.29,0.26,0.11,0.28,0.5,0,0.47,0.22,1,1,0
100,0.15,0.08,0.0599999999999999,0.27,0.5,0,0.63,0.22,1,1,1
102,0.13,0.06,0.12,0.12,0.5,0,0.51,0.22,0,0,0
103,0.02,0.03,0.01,0.4,0.5,0,0.59,0.22,0,1,0
104,0.01,0.26,0.0599999999999999,0.27,0.5,0,0.52,0.47,0,0,1
106,0.05,0.1,0.15,0.16,0.5,0,0.48,0.22,0,1,0
107,0.07,0.14,0.03,0.18,0.5,0,0.44,0.22,0,0,1
108,0.19,0.0700000000000001,0.04,0.18,0.5,0,0.5,0.22,0,1,1
110,0.22,0.11,0.03,0.23,0.5,0,0.45,0.22,0,1,0
111,0.04,0.08,0.01,0.46,0.5,0.5,0.5,0.27,0,0,0
112,0.05,0.03,0.1,0.23,0.5,0,0.49,0.22,0,1,0
113,0.19,0.17,0.0599999999999999,0.19,0.5,0,0.52,0.55,0,0,1
114,0.09,0.05,0.02,0.47,0.5,0,0.51,0.27,0,0,0
115,0.04,0.02,0.01,0.16,0.5,0,0.48,1,0,1,0
116,0.04,0.04,0.01,0.6,0.5,0,0.51,0.22,0,0,0
117,0.1,0.18,0.05,0.41,0.5,0,0.53,0.22,1,1,1
118,0.02,0.02,0.0599999999999999,0.48,0.5,0,0.52,0.22,0,0,1
119,0.14,0.03,0.03,0.22,0.5,0,0.74,0.22,0,1,0
120,0.02,0.08,0.15,0.26,0.5,0,0.47,0.22,0,0,1
121,0.15,0.13,0.22,0.28,0.5,0,0.49,0.22,1,1,0
125,0.05,0.0600000000000001,0.17,0.31,0.5,0,0.46,0.22,1,1,0
126,0.09,0.13,0.03,0.17,0.5,0,0.52,0.22,1,1,1
128,0.03,0.22,0.03,0.53,0.5,0,0.47,0.22,0,1,0
129,0.04,0.02,0.04,0.05,0.5,0,0.55,0.25,1,1,1
130,0.08,0.09,0.08,0.47,0.5,0,0.52,0.43,0,0,1
131,0.01,0.15,0.0599999999999999,0.15,0.5,0,0.53,0.22,1,1,1
132,0.09,0.13,0.01,0.31,0.5,0,0.51,0.31,0,1,1
133,0.11,0.01,0.0599999999999999,0.25,0.5,0,0.59,0.26,1,1,1
134,0.13,0.02,0.01,0.42,0.5,0,0.46,0.27,1,1,1
135,0.14,0.09,0.03,0.16,0.5,0,0.49,0.22,0,1,1
137,0.1,0.09,0.01,0.26,0.5,0,0.46,0.59,0,1,0
138,0.01,0.05,0.01,0.17,0.5,0,0.47,0.22,0,1,0
139,0.2,0.17,0.07,0.15,0.5,0,0.5,0.3,0,0,1
140,0.02,0.17,0.13,0.3,0.5,0,0.37,0.22,0,0,1
142,0.09,0.01,0,0.47,0.5,0,0.45,0.22,1,0,0
143,0.15,0.11,0.0599999999999999,0.19,0.5,0,0.57,0.22,1,1,1
146,0.21,0.12,0.1,0.09,0.5,0,0.48,0.55,0,0,1
147,0.1,0.01,0.01,0.14,0.5,0,0.55,0.25,1,0,0
148,0.1,0.0600000000000001,0.03,0.31,0.5,0,0.46,0.29,0,1,0
150,0.02,0.15,0.01,0.19,0.5,0,0.5,0.22,1,0,0
151,0.09,0.01,0.01,0.12,0.5,0,0.52,0.25,1,1,0
153,0.08,0.1,0.07,0.34,0.5,0,0.52,0.4,0,0,0
154,0.04,0.06,0,0.24,0.5,0,0.46,0.33,0,0,0
157,0.07,0.06,0.05,0.1,0.5,0,0.51,0.22,0,0,1
158,0.18,0.22,0.01,0.65,0.5,0,0.47,0.36,1,1,1
159,0,0.02,0.02,0.16,0.5,0,0.52,0.27,0,0,1
160,0.22,0.1,0.03,0.43,0.5,0,0.41,0.22,1,1,0
162,0.09,0.07,0.2,0.21,0.5,0,0.46,0.32,0,0,1
163,0.05,0,0.02,0.2,0.5,0,0.48,0.22,1,0,0
164,0.07,0.02,0.01,0.12,0.5,0,0.48,0.46,0,1,0
165,0.08,0.02,0.02,0.18,0.5,0,0.44,0.25,1,1,1
166,0.14,0.04,0.08,0.11,0.5,0,0.44,0.22,0,0,0
167,0.07,0.07,0.09,0.2,0.5,0,0.51,0.22,0,0,0
168,0.23,0.01,0.18,0.28,0.5,0,0.49,0.22,0,1,0
170,0.23,0.05,0.21,0.11,0.5,0,0.49,0.47,0,0,0
171,0.18,0.05,0.02,0.23,0.5,0,0.49,0.32,0,0,1
172,0.01,0.12,0.07,0.2,0.5,0,0.53,0.22,0,1,0
174,0.28,0.08,0.04,0.11,0.5,0,0.5,0.27,0,0,1
175,0.11,0.19,0.07,0.45,0.5,0,0.47,0.22,0,1,0
176,0.05,0.11,0.03,0.32,0.5,0.83,0.47,0.22,0,0,0
177,0.18,0.18,0.05,0.33,0.5,0,0.48,0.33,0,0,1
178,0,0.18,0.02,0.35,0.5,0,0.49,0.29,0,0,0
179,0.11,0.12,0.05,0.21,0.5,0,0.51,0.22,0,0,1
180,0.1,0.09,0.02,0.67,0.5,0,0.53,0.22,0,0,1
181,0.25,0.15,0.18,0.18,0.5,0,0.48,0.22,0,0,1
183,0.05,0.11,0.01,0.18,0.5,0,0.52,0.22,1,0,1
185,0.01,0.15,0.1,0.23,0.5,0,0.4,0.22,0,1,1
187,0.17,0.08,0.01,0.15,0.5,0,0.47,0.22,0,1,0
189,0.1,0.01,0.01,0.28,0.5,0,0.45,0.25,1,1,1
190,0.12,0.07,0,0.11,0.5,0,0.43,0.22,0,0,0
191,0.26,0.21,0.13,0.27,0.5,0,0.51,0.22,1,1,0
192,0.12,0.23,0.2,0.33,0.5,0,0.44,0.22,1,1,0
194,0.03,0.02,0,0.54,0.5,0,0.45,0.27,1,1,0
195,0.14,0.0700000000000001,0.06,0.58,0.5,0,0.49,0.22,1,1,0
196,0.03,0.0700000000000001,0.03,0.53,0.5,0,0.55,0.22,1,1,1
197,0.09,0.09,0.07,0.49,0.5,0,0.51,0.26,1,1,1
199,0.23,0.12,0.14,0.3,0.5,0,0.43,0.22,1,1,0
200,0.03,0.06,0.13,0.33,0.5,0,0.52,0.28,0,0,0
201,0.08,0.08,0.07,0.37,0.5,0,0.48,0.25,1,1,0
202,0.07,0.18,0.11,0.12,0.5,0,0.6,0.22,0,0,1
203,0,0.03,0.06,0.45,0.5,0,0.48,0.22,0,0,0
205,0.1,0.12,0.17,0.22,0.5,0,0.49,0.22,1,1,0
206,0.03,0.28,0.13,0.34,0.5,0,0.49,0.22,1,1,0
207,0.01,0.03,0.09,0.51,0.5,0,0.52,0.22,1,1,1
