"real.1","real.2","real.3","real.4","real.5","real.6","real.7","real.8","real.9","real.10","real.11","real.12","real.13","real.14","real.15"
0.808247503870842,0.0138174499655398,0.0970707157245598,1,0.0101476531293041,0.479371822148574,0.188143976353119,0.0442046354417341,0.000428889196620481,0.0764924665463851,0.245562693100335,0.155023481160018,0.253868409765118,0.100453994651835,0.281608307100807
0.104033221084855,8.80072843434999e-05,0.0603616106024056,0.0931129443798148,0.261411773190506,0.583602228756292,0.192885255459817,0.032038468053462,0.366425056878191,0.115544427823427,1,0.106723558606192,0.0592638428551997,0.0818967228605482,0.00643605628960054
0.0756224281325514,0.342462615156168,0.687048590818812,1,0.254994623937171,0.0799685883948505,0.422527713601938,0.208782299157631,0.291137971816175,0.06351321473913,0.089266602857393,0.609667123766331,0.11382479070149,0.347527084689068,0.11927891089655
0.00272484385547619,0.12691957897444,0.734480152317733,1,0.185227567780114,0.00726686240597688,0.451114242178557,0.229028753431773,0.526027636023485,0.0844795956526479,0.0944976773593144,0.579014524522533,0.097511128925515,0.552856576797656,0.181460307648927
0.600820069006693,0.067781401824346,0.0309630275016418,0.478463397870391,0.0482876864974643,0.1629563730933,0.150054668688853,0.100383053650968,0.0323755451670649,0.311689389013021,1,0.175152182353181,0.184186339104117,0.152489119455976,0.428784615762673
0.250543385851508,1.74969490544414e-07,0.0810240427619565,0.279693576527333,0.273449154035196,0.454802144330237,0.229006261931849,0.22129594086012,0.362909950795299,0.0338763341943193,1,0.140290700944123,0.0665980897827275,0.115722735126799,0.00986797521547591
0.0417129015458969,1,0.194641958128836,0.143461033300045,0.0910067018257272,0.160840635295768,0.222019841497294,0.166373277694685,0.802750151642534,0.221583890533974,0.0185071348609587,0.198742109264847,0.00336199561937566,0.307721397660667,0.0766443731656938
0.323930898746768,0.0238344485079255,0.118233045928911,0.107658204323888,1,0.116129042772675,0.315773027555407,0.348308991880305,0.654337439175339,0.0891368867146411,0.880428080171689,0.330803801711387,0.0530340512890217,0.542054090651574,0.353921360678088
0.304438592848348,0.00458746930191394,0.156014780254571,0.155863735280699,0.284222496381018,1,0.201154221571236,0.235592672084188,0.464446535954583,0.0375393982723507,0.836254488202562,0.249399756603561,0.139318010323175,0.0816329443952337,0.0168455199501363
0.0250155928821379,0.0535648851196807,0.0752377409490078,0.240450604162241,0.163058572652788,0.0644193164465081,1,0.145310403605712,0.0920043416119973,0.212329866752957,0.0839051485702896,0.178097751541546,0.00609562391691527,0.341826026896445,0.19228794082919
