"real.1","real.2","real.3"
0.219370818145716,0.0178430403158411,1
0.104113849744796,1,0.00933836713759979
1,0.464382562980582,0.22433456880956
0.0326066217232006,0.0489650288697822,1
0.511141063308432,0.481314716583542,1
0.831065837637685,1,0.362987376282241
0.0749009472424105,0.788377260702887,1
0.515045539633396,1,0.939928506213618
0.823506495637295,0.451179407368992,1
0.582046201651747,1,0.0215689740213485
1,0.0532758540516097,0.170965933282067
0.504925220950048,0.0771444559067766,1
0.0554401345668367,0.209895690743665,1
1,0.583603075159012,0.873950421353953
0.104315121621249,0.539083808873746,1
0.022562462632644,0.476477150344549,1
1,0.758478983527807,0.479315438839648
1,0.484100605535411,3.57857216312618e-05
1,0.796775349451859,0.105521665437092
1,0.522663463449948,0.079160323864101
1,0.528647741467005,0.00437412442964704
0.744873525168944,0.118964286924867,1
0.468805628698674,1,0.0324906223486285
1,0.700271232520466,0.132394237921712
1,0.236646777548988,0.26075432475547
0.280999904246231,1,0.318724743324066
1,0.627700876868615,0.596534787778181
0.738237775275198,0.555391961992355,1
0.164683309613134,0.453928574733389,1
0.122352952079983,1,0.0726125857539929
0.0908502518176589,0.00352277273450354,1
0.66745490306747,1,0.931321392967257
0.269714472350414,1,0.013712913108094
1,0.148425806814534,0.202046515569618
0.113998493822884,0.52020529916381,1
0.0899821891092719,0.645143847789911,1
1,0.688339928279869,0.114190446141285
0.127081397887345,1,0.242684954153488
0.306801197202919,0.105522159695319,1
1,0.283557936534485,0.182326229711818
0.274823773502622,1,0.215138458672653
1,0.317416273886612,0.166643827155993
0.187724968063742,1,0.496584737452598
0.473855808742773,1,0.30575334201984
0.248743019215144,1,0.120965166863259
1,0.444153481850666,0.193319305509818
0.627852573009368,1,0.240786145602186
1,0.248117445407644,0.150241249475311
1,0.71446732058587,0.0411577690008423
0.161685579204503,0.248897487809626,1
1,0.814215460316086,0.0120555534315254
0.714741403994201,1,0.123207212028633
0.676633982388349,1,0.783950681799805
0.968994583245631,0.663040693068525,1
1,0.841654370874669,0.67295098877219
1,0.0071395095931262,0.160697479707175
0.0846521709466461,1,0.0312615803493885
0.897460066378415,1,0.423166011756403
1,0.575529230287367,0.339750788292501
0.65047401897199,1,0.35461255103019
0.763772636447587,1,0.0357223613855416
0.019155342982754,1,0.568692312299627
1,0.323829514778455,0.0297668732152307
0.162185067618862,1,0.0896098920180898
0.74235840752005,1,0.0255437381197387
0.815330348235537,1,0.371862867194045
0.417187222153073,0.427515131420097,1
0.163830372893286,0.296906831195665,1
1,0.298060149027848,0.312759782980437
0.466338722533048,0.944495531804704,1
0.0143063857345702,0.122027611539715,1
0.148012522129246,1,0.460448599867954
1,0.652135766536149,0.246399127361983
0.115665209677655,0.124977238941748,1
0.325840209915801,1,0.12027756098876
1,0.912568284184063,0.853472761628393
0.352280972761417,0.248584745692141,1
1,0.32887782810392,0.363239247296044
1,0.0947467972837551,0.0438094280412852
1,0.0336252424315646,0.392557137172014
0.126341996961359,1,0.307344072883132
1,0.746390922167008,0.0761702816556996
0.153821260910291,1,0.226269749459801
0.870087443121649,0.162179342152127,1
1,0.720147911974268,0.336269600542237
0.0993988657728344,0.263471726728441,1
1,0.716539344373098,0.108219748285975
1,0.157636185185874,0.327709922973383
0.396911783551966,1,0.762899881533952
1,0.823723765038219,0.284218891318898
0.0598824154226467,1,0.193353274576464
0.177577986041997,0.0878351112053135,1
0.459727302278609,1,0.582889201976653
0.746755944069811,0.214857843048307,1
1,0.333624048623393,0.811120943504062
0.117819696505348,1,0.418800642510447
0.0195655858387367,0.066614273949585,1
0.308959559186587,0.15298064667576,1
0.210870466488003,1,0.157027820241915
0.0768799031896911,0.171056682683906,1
0.563897769047603,1,0.116675099112601
0.0604620253003541,1,0.57018834390482
0.366051864425522,1,0.492707784781787
1,0.135323642036056,0.0789841966103366
1,0.230968529739538,0.475804589987467
0.2753396750579,1,0.0640450342212884
0.411068143346307,1,0.0454295688973851
0.524393215813352,1,0.00221245670137627
0.298325890795103,0.582528089620649,1
0.0596956536546401,0.780796782758872,1
1,0.155751245264722,0.19829362778252
0.674198011448673,1,0.0052851895257179
1,0.302080965710644,0.460081992486609
0.877948436106187,0.656744190107569,1
0.469626039745734,1,0.401877204748832
0.127038596822187,0.0632473711592374,1
0.242764030111064,0.16314086799369,1
0.261410821181537,1,0.0915237422782395
1,0.10901907660086,0.0828985564150592
0.231132168553452,1,0.64638999612856
0.841398261761585,0.180903457427235,1
1,0.0810252868479932,0.307732875016456
0.337327977100205,0.300659593611969,1
0.512395484855112,1,0.666897115643265
0.113462688997329,0.133265888107647,1
0.0310259936346423,0.245088654632149,1
0.361190887739038,0.749480998326227,1
1,0.547687818642819,0.814486591802354
1,0.608841367548979,0.347994774524924
0.284039412436771,0.121423058664573,1
1,0.335402808121152,0.228547095637163
1,0.161055284265134,0.693473281196746
0.745894994002043,0.797637159080187,1
1,0.90631738408691,0.380903003357543
0.308056242676945,1,0.974318090760346
0.0818757779243316,1,0.398792259976458
0.758758938229426,0.24931100523545,1
0.892912910833129,1,0.184039861808625
0.186184576307156,1,0.0321419962849056
1,0.13009734230586,0.191707489062873
0.290801540649741,1,0.638220981249008
0.248661333976668,0.130867141474177,1
0.38966322649938,1,0.0724588915030034
0.182316279263489,1,0.462665929653142
1,0.0977832406659675,0.337182673837911
1,0.10406195099359,0.262979703965827
0.110214329664964,0.502609541101893,1
1,0.448875287177625,7.8867005214128e-05
1,0.487176047246534,0.296065055119893
1,0.83916081261897,0.0231276880805882
0.209554193109623,0.984582571633679,1
1,0.704608860531569,0.474168768831637
1,0.826825669598789,0.728092991906175
0.67634063492851,0.23785682656013,1
1,0.21705060132345,0.155308203714358
0.743691406660364,0.637195994944306,1
0.766137881730973,1,0.0980924931803625
0.779428732623863,0.776220682957014,1
0.589421741065311,1,0.0326739339309416
0.0116508780601678,1,0.0974256815160963
0.397796278750748,1,0.0931510747048536
0.15723636848377,1,0.164163116393651
0.515161798895118,1,0.433775849136656
0.77034602297678,0.442696833954972,1
0.744901759171761,1,0.0513734567066179
0.389483066243558,1,0.0928082928250749
0.100843625215548,1,0.104853040827458
0.975093121736706,0.926174638713999,1
1,0.667281243731803,0.576854832436069
0.242535611660554,1,0.00528278952215686
1,0.149785586592,0.0744108980487488
1,0.499838245240858,0.186744603226856
0.0493926917354016,1,0.0307606968747166
0.493611909619479,1,0.158655053096143
0.299325099673021,1,0.500292434000684
0.018472177443686,0.427162067605831,1
1,0.101983991733444,0.348694488667334
1,0.471297182209281,0.135511447157839
0.144330239188676,1,0.194905986504777
0.985643235408286,1,0.0806279176165499
0.229572889432948,0.168441459701928,1
0.213382354523057,1,0.0304994440815277
0.572523605987229,1,0.150523936523941
0.689665620064914,0.25505042244094,1
0.779154025822442,0.141847242947432,1
1,0.889313505753398,0.222626688068488
0.41992812396314,0.266299321837528,1
0.438813338624301,1,0.131035043893598
0.121030772486818,1,0.334669439778313
0.477907869202531,0.819858564480787,1
1,0.498932456958022,0.110423514025801
1,0.799614676740264,0.294271042516855
0.0348299527897931,0.858170082590423,1
1,0.353575334067631,0.147937400078399
1,0.163427421497805,0.325151467134198
0.440132768573873,1,0.681907683176894
1,0.989999295058152,0.00384504391449932
0.0723811927339953,1,0.00464612850187272
0.768359587167791,1,0.254079421458225
1,0.0299466160784612,0.254936884299345
0.995181457795901,1,0.014299951124969
0.794980586823105,1,0.101823888011635
1,0.390268219237654,0.0482268464293571
0.0981403122632152,0.25238139247837,1
0.0748736921918501,1,0.0233211782178479
0.619179146273997,0.0503006568336816,1
0.172263378722889,1,0.692659075411118
0.586375834774897,1,0.142285923449239
0.760045700731845,1,0.0564835350498141
0.22974245805351,1,0.07890832889377
1,0.407302741902482,0.204308255819722
0.115570016871192,1,0.0027623035017148
0.381204059102119,1,0.175331922349019
0.406300353174099,0.397553210002363,1
0.0179197099849253,0.00169003003770121,1
0.702754012601597,1,0.0826790226641009
1,0.47586124039072,0.191011072078371
0.261113886846251,1,0.0419418238531459
0.52273493835173,1,0.91368767149228
1,0.153690949407029,0.750106019930924
0.296452347833845,0.7829275343484,1
1,0.35771779728999,0.227438084132723
1,0.227363922112255,0.48890097142379
0.299480800933774,0.412369397707792,1
