"real.1","real.2","real.3","real.4","real.5","real.6","real.7","real.8","real.9","real.10","real.11","real.12","real.13","real.14","real.15","real.16","real.17","real.18","real.19","real.20"
0.0493262942611445,0.808075675415347,0.100275357193716,0.0961154284565793,0.0575755454891697,0.215099448258596,0.428588972661592,0.378386509767891,1.34081162251059e-05,0.362771976664363,0.251699291074886,0.906442885649901,0.192473982895742,0.199969001665153,0.245968825098205,0.293828206306116,1,0.0427863172844355,0.902116387927944,0.65904550273285
0.233127852846811,0.139766049389988,0.0233789628583863,0.0611830541326954,0.305726780068555,0.0345514049971699,0.583243309612488,0.180008887490659,0.177576809632554,0.250654827911405,1,0.0313298291912556,0.00326034626288854,0.46073473830467,0.728994157157632,0.139392940015545,5.82789806284217e-06,0.15385952654016,0.00032847133777511,0.164634957428879
0.0369606587809225,0.0714346715849934,0.739478903047487,1,0.612413746017729,0.0438946294842033,0.107231597025104,0.00121113747220516,0.00178923887266286,0.0528146896059894,0.173332104790002,0.330286174962251,0.00803879041116374,0.0653305800831435,0.000668777049635854,0.159687037290352,0.0194908766804514,0.0454738315635017,0.379938148634141,0.17477236083973
0.359765501581606,0.0160397372154103,0.582367796969565,1,0.713027612946422,0.0951356391500595,0.641119143407068,0.0574250108259051,0.00122720684845874,0.11113509577509,0.104461480997298,0.546144176589269,0.122761193247656,0.254907696949676,0.00314793906659061,0.351469128590046,0.0160921879975513,0.136166892021933,0.861915058916024,0.160969116924036
0.775175958300145,0.0512389174058286,0.75166596523559,0.241978492463063,0.0329363361928572,0.102305249452968,0.476210274482766,0.0326195720395487,1,0.820186639869544,0.325769807504944,0.54682761344299,0.157740578141176,0.445913247906974,0.17635303519178,0.0452507967522671,0.143832025966221,0.0582963794858836,0.995961348703492,0.00815969795193411
0.264517659436153,0.188069821690376,0.85515592054174,0.518833917786395,0.00156762735873733,0.143651737021723,0.315081081252457,0.0677737431273208,1,0.341849405815997,0.04375020508841,0.28233077704773,0.0722256300791021,0.363372441590747,0.0957295239385331,0.0558260097547556,0.246512779286398,0.00610468714569304,0.490370787788184,0.0380870533507029
0.109402394271549,0.0641529516133275,0.135576871164861,0.245062163540768,0.311576149996085,0.0657713965851341,0.723765767035396,0.192758417984339,0.030773647929978,0.387503253320225,0.334587592617611,0.109737669610507,0.052998844237898,1,0.511437917282533,0.241137900298493,0.00610305227862081,0.246504052067967,0.00419695925537525,0.0620157803466484
0.0249796204882178,1,0.0405883185954748,0.0312045052661674,0.0319374835377108,0.164015584681358,0.0734040884326933,0.0329720147623764,1.92666125149776e-08,0.07640815593229,0.00259629237021499,0.166170582530026,0.0393848600737905,0.0195774473901416,0.010739031700474,0.114685584610845,0.15514809552094,0.00274489390582638,0.0769322215030775,0.510524503503394
0.63724479207912,0.0595752747428218,1,0.16099591060621,0.00461788706457571,0.660939439279023,0.226522827854818,0.0921352197740045,0.828608858534932,0.00245730345361702,0.25524465753644,0.210618203765876,0.400697578980218,0.360025865464864,0.221430613873252,0.00217219171915276,0.812796132055924,0.0537893759037133,0.409355591831351,0.00320355065389612
1,0.350205035720759,0.0851744784993048,0.298248899752113,0.291916371242648,0.471582979000227,0.0379170486734878,0.14667239521414,0.216184218302903,0.251789662037346,0.0538805572842471,0.151118950805184,0.0881916811669464,0.183368925620894,0.034339108487644,0.199609296461342,0.131032427887931,0.0120414658733866,0.797571632963753,0.679946031823814
0.0388073931848042,0.0500127310070548,0.478285365546549,0.195997531859796,0.171782899596331,0.352002987649417,0.139775543743155,0.0282406358411208,0.0265083015962305,0.0654347707415358,0.22524885523957,0.328305705223952,0.0184379567778529,0.179988534999878,0.000157683604392828,0.204159824323761,0.00910540696519735,0.082599951288769,1,0.250010828613671
0.0100945671964175,0.723698086489523,0.0354715119301493,0.0645170476576606,0.0349002119445636,0.0860316358145262,0.0923346650014954,0.127304525930785,7.94050225876266e-14,0.152089119038495,0.0136042697087193,0.316083196969419,0.0926378989486448,0.0389433108588473,0.0270206662718404,0.0583249985182974,0.380867354593997,0.0140324715516501,0.358490082837571,1
0.528785493024412,0.864903660561935,0.609041409273971,0.00438503991003432,0.458311087219761,1,0.470680436421078,0.0860822090115711,0.636506621463936,0.114890053275976,0.223166296381708,0.0371324740600306,0.0309695923877425,0.047456298139144,0.0951982772713658,0.278763641704088,0.212840416105313,0.00358630278277165,0.693032795086729,0.244911981297947
0.809480102631717,0.104779835628322,0.445508869339894,0.368787677492749,0.393058672462612,0.0757613481675447,0.210511213747541,0.210658645208458,1,0.0175715278811077,0.0364728234970683,0.395029910332701,0.172147870044219,0.0417659398786837,0.0164933912346703,0.024988845205027,0.127064144473909,0.0172301328344251,0.234434937199611,0.0620296948322524
0.13904628979605,0.122580243743972,0.00963142862379356,0.0749894455356184,1,0.275257037090328,0.51836164115434,0.149095631859068,0.0194312806021587,0.0540581546378768,0.0405557923932254,0.110511028264514,0.00863590109693034,0.302125997315403,0.419708501113306,0.104162291118753,0.0372194005056382,0.105001381891871,0.000871755518893448,0.0426206852083739
0.387098610605277,0.0836552421325974,0.570291337824521,0.274961898037307,0.698942583719671,0.0703100903162338,0.592424732762251,0.216055523274543,0.00115617060769405,0.0190415178320949,0.34764492206393,0.190977444628039,0.236743631898306,0.887902670590052,1,0.477863488315164,0.00692999079470224,0.360213597198426,0.0749117083483616,0.145385797047427
0.171735680993129,0.0158366527712158,1,0.719256391840622,0.177272507265599,0.57962872612245,0.251813495549601,0.128594291193165,0.0276910569888353,0.0920499648268197,0.119819380792998,0.543355845433219,0.0167993005744172,0.231327120763105,0.0655203056781296,0.19986606153667,0.0599154222953332,0.32184675394856,0.858640585106502,0.33752443184847
0.0649341886917883,0.0429796424291375,1,0.914401976120791,0.0286664883128897,0.149091002738926,0.240064460294683,0.00170908390085502,0.0310186869488658,0.172199379364971,0.194902813905336,0.490723753585686,0.0858947796955545,0.687940931737542,0.144082920496961,0.480916693817492,0.0259659896242916,0.0177665522134493,0.298472679645139,0.252828990013662
0.2225532235617,0.0955477880424822,1,0.507847804176702,0.625789676784157,0.302405299375689,0.268403417950771,0.00194699259737554,0.173496033906792,0.0865518791999943,0.165235635925064,0.299057969248305,0.0409871591828053,0.306838506964003,1.45936477369798e-05,0.227362699507745,0.0102184640272085,0.0634204538066415,0.713113095184288,0.614107322497371
0.501907149715131,1,0.41193332158824,0.15171261730495,0.214761722434174,0.994373730994682,0.130048268832528,0.18059397096665,0.755846038664497,0.115173253465089,0.0414693672226654,0.157403062777622,0.00139036156315778,0.443919993249987,0.453061008546025,0.0546779709919512,0.116748707215538,0.0021049052512045,0.555630549595906,0.512319133912049
