"real.1","real.2","real.3","real.4","real.5"
0.00550920468413095,0.307860331021898,0.40413877018978,0.504091030780162,1
0.50731464230153,0.405803572533869,1,0.0450248514295321,0.944345445557246
0.0704845156740995,0.113975831940781,0.536360103857755,1,0.0529918804536182
0.397366142624601,0.211128286600187,0.00288558749673355,1,0.446342723834252
1,0.894727913817678,0.712789725478449,0.768941652157087,0.177561952569105
0.0900512789361727,0.0664110755224768,1,0.925802382059345,0.119444337685625
0.135050679094196,0.425706443809148,0.166394218798935,1,0.00206431218371829
0.951682270536285,1,0.496348803767325,0.303963713177215,0.212515051004699
0.208102653811704,0.233031875619179,0.40302261549897,0.358452389227923,1
0.52810585055878,0.151587633298038,1,0.193215781592299,0.577857713581355
0.0131557992195778,0.268301565823785,0.0698588723052084,0.12667636209511,1
0.106425841422526,0.485091736271537,1,0.754947935087002,0.15355700896935
0.350790943548801,1,0.390829997239979,0.0543242422058887,0.451883253207529
0.167307532040672,0.488062548154799,0.621204954906367,1,0.326769416023954
0.208191807457949,0.563836856413243,1,0.119130365029125,0.299850637762572
0.44823714145684,0.297709379142838,1,0.134237792876896,0.152622305174861
0.386246706864712,0.631813411705637,0.0170540904914702,0.11827587356028,1
0.456396712481822,0.350530103200964,1,0.0281065636239059,0.340236895843374
0.260911965495603,0.356740068490681,1,0.0534736633051622,0.138432497144078
0.279670626526716,1,0.49236408646757,0.462365615932089,0.377012588489869
1,0.107306793175505,0.0971324516062257,0.517129943333129,0.388525241355335
0.380082077113787,1,0.566775350287757,0.0150519472592014,0.0175106311044982
0.0717638756543668,0.760365976645943,0.932279268642467,0.307657918901648,1
1,0.482265433217426,0.601980139108556,0.174123667868876,0.00968807510203446
0.961578472750017,0.384814749126907,1,0.301771498634578,0.0255740066588631
0.0721733478384636,1,0.301036266946645,0.42444881172868,0.189641604334928
1,0.414976745980128,0.24249258519812,0.32107776358354,0.240293082168599
1,0.104162184939907,0.77919328828117,0.371586662754519,0.491543831324659
0.05769397001659,1,0.12696227707541,0.101603734343312,0.218740933622676
0.00454528677264681,0.548989592488324,0.499953242502458,0.252462198734204,1
0.287124791385528,0.949342205115082,1,0.457813379405508,0.941191422125928
0.784261956730024,0.258854869823081,1,0.107081282155918,0.0425494649347888
0.106139259880023,0.278564894542865,0.242811167842518,1,0.0444478535097199
1,0.713639787824605,0.521828845241533,0.016419406962106,0.753133726368844
0.28629801567077,0.197189372272857,0.13088175711922,1,0.0270639940838089
0.320999814210703,0.45946431849543,0.45070451998263,0.0533761834661161,1
0.327732634457904,0.207173927598332,0.429735799850363,1,0.00090862306894883
0.693188749852798,0.375038763865075,0.973504835282924,0.00706052102847141,1
1,0.349148670899663,0.0434211388840253,0.649407545412128,0.172726601186083
