"real.1","real.2","real.3","real.4","real.5"
0.238427278502614,0.175434834178407,1,0.0671920715622673,0.498657139456223
1,0.509007805354036,0.104453069480432,0.28696992661907,0.00591450301652889
1,0.168129037730212,0.887812121232202,0.182347105747173,0.625129383940941
0.506267090204608,0.0727441039280276,0.42701463084468,0.133698468800643,1
0.272830320605186,0.171298760442813,1,0.333628050004235,0.12179514668592
1,0.2816542478647,8.68838695045746e-05,0.036553988951465,0.344598427946787
0.684594956825371,0.48071017757164,0.53623021554076,1,0.0676603621893317
1,0.598502058792032,0.566907032413214,0.698114431065653,0.281023002714378
0.157456437224051,0.172036874016347,0.403120978264528,0.245449492227077,1
1,0.462993214598658,0.000188954228421591,0.0495127587855879,0.543481849463606
0.284438374952715,0.718534101751027,0.942520252882787,0.802220261601409,1
1,0.315775001885955,0.000103584121155578,0.291278028539202,0.484988152512487
0.646234242302688,0.329639892409027,0.00370785112967764,0.145075247602422,1
1,0.10898362852503,1.95661512617078e-09,0.24147190119291,0.739336069645873
0.287199696952356,0.109845618527757,0.444051972152468,0.108777210053197,1
1,0.142250430669386,0.233984191842052,0.000199044876101607,0.3809277072317
1,0.0748428901124457,0.00541911587102018,0.0116962748678191,0.379960590416348
0.806670899049979,0.693243024691293,0.620766008986637,0.0137097164129286,1
1,0.257556632976632,0.146088829529428,0.26999034882816,0.363394961508963
1,0.0138923824410975,0.130481059705291,0.0102863073854705,0.261770402546836
1,0.179932658822431,0.490356467551394,0.000712390228478592,0.0991684210477393
0.706166823110153,0.326321273815222,0.145791728400603,0.330712031040943,1
0.0853489718694204,0.284964499139711,1,0.530167742785793,0.47520038580328
0.0878647572837709,0.0490301099480481,1,0.0283771967391215,0.127542504782497
0.419248419124522,0.0667981587490717,1,0.521984044281457,0.05068489341409
0.971049249257002,0.113416965759335,1,0.294744843465484,0.5187156638961
0.687810776510139,0.817224312119381,1,0.585810133442855,0.00672831696847503
1,0.0565526332398908,0.30239727023438,0.12393291445019,0.14031694908328
0.101493039542435,1,0.769459055045319,0.2880784906297,0.246362626298797
1,0.405374388559571,0.748713840139626,0.184448854640497,0.910076561760285
0.268476485442547,0.252608081997796,1,0.118129058120389,0.323786062428579
1,0.00183351545794051,0.112196594461195,1.68811149452271e-07,0.184355581375781
0.27122696343576,1,0.610431094254153,0.0690939145465103,0.893578728808567
0.738258922764571,0.0459985773420862,0.883561364832702,1,0.729939511144225
1,0.969098143789143,0.400775151997136,0.960112218758004,0.187024887007908
1,0.166157834136048,0.0441480551399245,0.00093923095872854,0.169279453232689
0.413584911122398,1,0.308725018709486,0.96450714420706,0.213464235009494
0.187449220759635,1,0.151643095520368,0.457058030076291,0.162560284426697
1,0.144659578966478,0.120501138843545,0.0153436909708462,0.777779176224444
0.233261118498211,0.121428733160241,1,0.112353211036121,0.144847914770844
0.291205085462564,0.372344772872787,1,0.570107179894103,0.386551488980444
0.970273040677946,1,0.853130514568531,0.0357175496810356,0.662188659649437
1,0.352570115792194,0.00704125568989201,0.466483451423077,0.782284212700278
1,0.418763083741241,0.619645033290616,0.730087791681782,0.253162817263721
0.292078498437058,0.0548065139714432,0.0845156205688374,0.0992588648616531,1
1,0.11010796324592,0.490569087824409,1.21944308002384e-05,0.10464975815053
0.546610104359165,0.831866218532848,0.0906489784332887,1,0.603317282435834
1,0.656988844709257,0.0619761105392134,0.354258842522387,0.480855717776822
1,0.0344119832354634,0.136772623128194,0.000678397857478921,0.477841688518783
1,0.71519622968517,0.0145071234655726,0.143102440557691,0.692142913328664
0.742525007090876,1,0.01344269801395,0.243686316406308,0.233707590862286
0.522244915097105,0.636982929940277,0.0664861903182715,0.08577857798127,1
0.0582890884219467,0.301942787987896,1,0.327417783982659,0.602602725206301
0.547943513666292,0.233025544937417,0.00248633258023699,0.294329409237835,1
1,0.0927306366392793,0.00339311786712427,0.282289030028966,0.175645251639152
1,0.303313041098999,0.140680034915966,0.314142386840327,0.492041355368431
0.144317849564096,0.132568971208136,0.00547847815217537,0.00385936604834461,1
1,0.133337260250064,0.373529972991175,0.00244255733336712,0.540814375867098
0.903027189367774,0.501606609317479,0.0580184216310259,0.191678393292614,1
0.17447290848354,0.0166558071352991,1,0.0750481257853336,0.031893547952054
1,0.161572597444288,0.593072992901798,0.117886589703439,0.716333648939394
1,0.0765123346252332,0.0991323573903895,0.196467389606621,0.24526529100959
1,0.00733433197200705,0.291944663118825,9.33453061542691e-08,0.314482523848582
