"IDX","x","y","STATEFP","POINTID","FULLNAME","MTFCC","Category","NearOcean","elevation"
822592,-71.9211261941582,41.0766824558177,36,11015504297839,"Montauk Arprt","K2451","Transportation",1,4.1666668
858386,-71.9321261941582,41.0696824558177,36,1102654313866,"Montauk Yacht Club Light","C3081","Locality",1,6.0039372
863501,-71.9321261941582,41.0686824558178,36,1102654313856,"Montauk Yacht Club","C3081","Locality",1,-4.92126
991162,-72.1461261941582,41.0436824558177,36,1102654333343,"Gerard Park","C3081","Locality",0,6.3648296
1001623,-71.9151261941582,41.0416824558177,36,110496759834,NA,"C3061","Land",1,6.4960632
1006735,-71.9181261941582,41.0406824558177,36,1102654330025,"Ditch Plains","C3081","Locality",1,13.8123364
1165150,-72.0681261941582,41.0096824558177,36,1102654340380,"Napeague","C3081","Locality",1,7.2834648
1190668,-72.1251261941582,41.0046824558177,36,1102654324438,"Barnes Landing","C3081","Locality",0,6.2007876
1195775,-72.1331261941582,41.0036824558177,36,1102654331357,"Eastside","C3081","Locality",0,12.3359584
1195789,-72.1191261941582,41.0036824558178,36,1102654323086,"Alberts Landing","C3081","Locality",0,5.6430448
1226518,-72.0801261941582,40.9976824558177,36,1102654317525,"Promised Land","C3081","Locality",1,8.2021
1257181,-72.1071261941582,40.9916824558177,36,1102654329942,"Devon","C3081","Locality",1,3.5104988
1257182,-72.1061261941582,40.9916824558177,36,1102654306167,"Devon Yacht Club","C3081","Locality",1,5.3805776
1313450,-72.1031261941582,40.9806824558177,36,110496791349,NA,"C3061","Land",1,6.1351708
1318569,-72.0991261941582,40.9796824558177,36,110496791397,NA,"C3061","Land",1,9.02231
1318572,-72.0961261941582,40.9796824558177,36,1103940150741,NA,"C3061","Land",1,7.4475068
1318576,-72.0921261941582,40.9796824558177,36,110496791438,NA,"C3061","Land",1,22.5721792
1328790,-72.1081261941582,40.9776824558177,36,1102654324633,"Beach Hampton","C3081","Locality",1,9.9081368
1517936,-72.2171261941582,40.9406824558177,36,110496743927,NA,"C3061","Land",1,12.4343836
1553736,-72.2221261941582,40.9336824558177,36,110496687353,NA,"C3061","Land",1,12.139108
1640585,-72.3281261941582,40.9166824558177,36,1102654350874,"West Mecox Village","C3081","Locality",1,19.7834652
1691755,-72.3081261941582,40.9066824558178,36,1105599147646,NA,"C3061","Land",1,12.5984256
1773571,-72.3321261941582,40.8906824558177,36,1102654321881,"Water Mill Beach Club","C3081","Locality",1,19.4881896
1850190,-72.4381261941582,40.8756824558177,36,1105598881338,NA,"C3061","Land",1,5.3477692
1870649,-72.4391261941582,40.8716824558177,36,1102654362443,"Shinnecock Indian Cmtry","K2582","Parks&Rec",1,1.2139108
1870680,-72.4081261941582,40.8716824558177,36,1105598914986,NA,"C3061","Land",1,15.2230976
1875795,-72.4081261941582,40.8706824558177,36,1105598914986,NA,"C3061","Land",1,12.139108
1947298,-72.5151261941582,40.8566824558178,36,1105599041881,NA,"C3061","Land",1,7.8083992
1947308,-72.5051261941582,40.8566824558177,36,1102654343742,"Ponquogue","C3081","Locality",1,12.2703416
1952411,-72.5171261941582,40.8556824558177,36,1105599041880,NA,"C3061","Land",1,8.858268
1957528,-72.5151261941582,40.8546824558178,36,1105599017120,NA,"C3061","Land",1,10.2034124
1972860,-72.5281261941582,40.8516824558177,36,1102654344296,"Rampasture","C3081","Locality",1,12.9265096
