,theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
0,1.5292442672772204,1.5191861496349965,1.4611774704222573,1.4072767859743647,1.363278578731236,1.2876801482255473,1.2498024760440776
1,1.4256776946261396,1.2799797682832728,0.9701346791654539,0.466653387387791,0.3789549999390632,0.9181630131827304,0.7964396589253621
2,0.21685086762290126,0.43161873334534534,1.0413254375399206,1.109666282373777,1.117308684058618,0.8844480052644749,0.6735257430968137
3,1.5132970829929002,1.4617386612506365,0.9625705374427879,0.22874088901561124,0.6492759083104784,0.9533105328019615,0.5333323692226353
4,1.5155608072379676,1.5049068424596084,1.5157424790887952,1.502831309191541,1.5145647832735916,1.4272419087197885,1.32121361033578
5,1.5334190284470877,1.5336027975067545,1.53643217972764,1.4851159204550297,1.4317115072553825,0.37976016490549946,0.3391482235712977
6,0.3301848406896763,0.8108650286547792,1.1500709640209419,1.2278764002765823,1.3542065907588423,1.0857802685667557,0.8336972565692131
7,0.8652227228635672,0.5348145696697016,0.4657782152185057,0.6302140432621948,0.6255219497082559,0.8893749813975503,0.6529079659692253
8,1.5619079320852314,1.5542644710015292,1.5351481003006129,1.029877513271521,0.0729441212947492,0.31086022046237033,0.26206827909220365
9,1.5013488614464323,1.5081104432620245,1.5257536077537763,1.494690637263159,1.4784180842328936,1.220734120910874,0.894066526367157
10,1.5254704625480802,1.457036718567954,1.394554288245447,1.389525775268377,1.4718780672073115,1.5098421764029566,1.3529552915785503
11,1.2244546453363556,1.1989538419236652,0.8625052476415329,0.5234341481084824,0.6161988213519255,0.8812534675305682,0.7137432679759805
12,0.9027711606089551,0.5117809724620063,0.2645245134354956,1.1374007210499366,1.2686118644176627,0.9853505033539871,0.7644967681941668
13,1.442022942554769,1.4221999283878088,1.4319304540451674,1.3775174581092327,1.3672954809540443,1.206547412149153,1.1377815160658664
14,1.3121788082071317,0.9283344143995698,0.9774550514596205,1.0101671433769668,0.9380597323585578,0.8168170064657424,0.6513651451308066
15,1.5290694752126248,1.5233678493052674,1.5346974635733208,1.523692649061854,1.369269329490602,0.879981076408469,0.4222168278433075
16,0.44731983222136074,0.23567733666080887,0.9812461829950055,1.059238533893501,1.249909314936826,1.0196730850180356,0.7013412977578518
17,0.2561424506318671,1.029835943861358,1.2895279987766894,1.2097382004444568,1.335750170514607,1.0609505006597957,0.8118453241886924
18,1.3396193704911856,1.2193565993874929,0.4672258801552311,0.5516396119760574,0.4544773465516252,0.8656040184095589,0.6941611195504044
19,1.5568854687935625,1.5544387360951772,1.5530331296922997,1.4641553078801701,1.2932815756652205,0.08487540178303411,0.37457292095992156
20,1.4763179099597719,1.4831192963363231,1.4767244987410009,0.86945383575038,0.2026627102264908,0.6183205444919037,0.6463583351084456
