"R1","R2","R3","R4","R5","R6","R7","R8","R9","C10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","C1","C3","C5","C7","C9","C11","C12","C13","C15","C17","C19","C20","C21","C23","C25","C27","C29","C31","C33","R35.1"
24,115,19,60,16,102,5,78,17,102,2,-2,33,126,32,51,24,112,18,20,17,103,4,76,34,126,34,50,20,121,28,57,17,107,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,102,5,75,16,102,1,74,13,102,2,2,24,112,17,69,16,103,4,24,17,99,4,79,20,121,28,54,16,107,13,70,17,99,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,89,15,82,0,85,11,81,1,94,6,2,0,83,14,87,0,83,13,38,4,83,13,87,3,75,19,87,3,75,19,95,0,75,15,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,111,14,63,20,111,19,70,21,111,15,-6,24,107,12,62,24,107,18,17,21,107,18,69,20,107,9,67,20,107,9,70,21,107,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,111,14,67,24,106,5,70,21,106,6,-6,20,107,17,66,20,107,18,17,21,103,8,72,20,107,9,67,20,103,9,70,26,103,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,98,5,71,20,106,1,74,21,102,2,-2,20,103,7,73,20,103,8,17,17,99,4,72,20,107,13,67,20,107,13,70,21,107,9,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,89,3,75,0,77,7,78,7,62,22,5,3,75,14,76,8,54,13,31,11,61,13,79,11,91,4,75,7,79,4,78,8,83,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,66,15,86,11,55,23,85,14,49,29,16,8,68,22,87,15,54,25,35,14,54,29,94,9,61,23,83,13,54,15,90,12,51,26,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,55,23,82,15,49,30,92,10,49,26,16,15,54,26,84,15,54,29,42,11,54,29,94,13,54,15,87,13,51,26,90,12,48,30,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,99,3,73,8,99,3,76,9,99,8,-4,16,99,3,75,16,103,4,26,12,107,9,70,14,100,8,69,14,100,8,76,15,100,4,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
