"R1","R2","R3","R4","R5","R6","R7","R8","R9","C10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","C1","C3","C5","C7","C9","C11","C12","C13","C15","C17","C19","C20","C21","C23","C25","C27","C29","C31","C33","R35.1"
12,102,1,75,16,94,1,78,13,94,2,5,16,99,3,76,16,99,4,24,9,99,4,76,16,99,4,75,16,99,4,78,17,103,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,94,3,78,8,98,1,85,9,94,10,5,8,91,3,80,8,95,0,27,9,91,0,83,7,91,4,83,11,87,7,86,12,87,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,98,1,82,8,94,11,81,9,89,6,5,8,95,1,76,8,91,0,31,9,87,0,83,11,87,7,83,11,87,7,90,8,87,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,94,1,71,12,102,10,70,17,106,15,-10,16,103,3,69,16,103,8,20,21,107,18,69,11,99,4,71,16,99,13,70,17,99,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,106,14,67,20,111,10,66,21,106,15,-6,20,107,17,62,20,112,13,17,21,103,13,69,20,107,13,67,20,107,4,70,21,107,9,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,111,5,67,20,106,10,70,17,106,6,-6,20,95,3,73,16,99,8,20,21,103,13,72,20,95,0,71,20,103,0,74,21,103,9,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,106,5,67,16,106,10,66,17,106,15,-6,20,103,12,69,20,107,13,20,21,103,8,72,20,103,9,71,20,103,13,74,17,103,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,106,5,67,16,106,5,70,17,102,11,-2,20,99,3,69,16,99,4,20,17,99,4,76,16,103,4,71,20,99,0,78,17,99,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,94,1,78,8,94,7,85,5,81,18,13,8,83,10,80,3,79,13,35,4,79,21,90,7,83,15,83,3,75,15,90,4,79,23,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,95,1,76,8,91,1,83,9,87,0,7,11,87,8,83,11,87,7,38,8,87,4,86,10,87,16,84,6,87,12,91,7,87,8,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,91,1,80,8,87,1,83,9,87,9,7,11,87,8,87,7,87,4,34,8,91,4,86,6,87,12,88,6,87,8,87,11,87,12,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,95,3,73,16,103,3,72,17,103,8,-4,7,83,5,71,11,99,4,22,17,99,13,70,22,34,22,29,19,40,17,43,4,67,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
