"R1","R2","R3","R4","R5","R6","R7","R8","R9","C10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","C1","C3","C5","C7","C9","C11","C12","C13","C15","C17","C19","C20","C21","C23","C25","C27","C29","C31","C33","R35.1"
12,94,3,78,12,102,1,78,9,102,2,2,8,99,3,73,8,99,8,20,9,103,18,69,16,103,4,75,11,107,9,70,12,107,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,102,5,71,8,102,5,70,13,98,6,2,12,107,17,66,12,112,18,17,13,107,13,72,11,107,13,67,11,103,4,74,12,103,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,102,5,67,12,98,5,78,9,94,2,5,12,112,17,66,12,107,13,20,13,95,0,79,11,103,4,71,11,103,4,78,12,95,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,85,15,86,0,89,15,85,1,85,10,5,3,83,14,87,0,83,13,38,1,83,13,90,3,79,15,92,3,75,19,90,4,75,19,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,89,14,67,20,102,5,70,25,115,11,-10,16,99,7,69,20,99,4,20,21,103,13,69,20,103,9,67,20,103,9,70,17,103,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,106,5,67,20,106,5,70,17,106,11,-2,20,107,17,66,20,103,8,20,21,103,13,65,20,103,9,67,25,103,9,70,21,107,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,102,5,71,20,111,10,70,21,111,6,-6,20,99,3,69,16,103,8,20,21,95,4,76,11,99,0,75,20,95,0,78,21,95,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,106,10,67,20,106,5,70,17,106,6,-6,20,103,12,69,20,99,4,20,17,99,4,72,16,99,9,71,16,103,4,74,21,99,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,102,10,71,16,98,3,74,13,98,2,-2,16,99,3,73,16,99,0,24,13,91,4,79,16,99,4,75,11,95,0,78,12,99,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,94,1,71,8,89,3,78,1,77,6,2,12,87,5,80,3,75,13,27,7,54,13,83,11,95,0,71,11,91,4,78,8,79,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
