"R1","R2","R3","R4","R5","R6","R7","R8","R9","C10","R11","R12","R13","R14","R15","R16","R17","R18","R19","R20","R21","R22","R23","R24","R25","R26","R27","R28","R29","R30","R31","R32","R33","R34","R35","R36","C1","C3","C5","C7","C9","C11","C12","C13","C15","C17","C19","C20","C21","C23","C25","C27","C29","C31","C33","R35.1"
16,102,1,71,12,102,1,78,17,94,2,2,16,103,3,73,16,99,4,27,17,99,4,76,16,107,13,67,16,99,4,78,17,99,4,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,98,10,71,12,89,14,70,21,102,6,-6,20,103,7,69,16,99,8,20,21,99,4,72,16,99,9,71,20,103,9,70,21,103,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,115,14,60,24,111,19,66,17,106,11,-6,20,112,17,62,20,112,22,17,25,112,28,65,20,111,13,62,25,107,9,65,26,111,13,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,106,10,67,16,98,10,70,17,98,6,-10,24,112,12,66,20,103,13,20,30,107,13,69,20,111,18,62,25,107,13,70,26,107,13,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,106,10,67,20,111,14,66,21,111,20,-6,24,112,17,62,24,107,13,13,25,107,18,69,20,107,9,62,20,107,9,70,21,107,9,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,106,14,67,20,106,10,70,21,106,6,-6,20,103,7,69,20,103,13,20,21,99,4,72,16,103,4,71,16,99,9,74,17,103,4,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,81,19,86,0,73,23,92,3,69,22,16,3,79,22,87,3,79,17,38,4,79,21,94,3,79,23,87,3,75,19,90,0,72,19,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,77,15,89,4,66,15,89,10,55,22,9,0,75,22,87,8,68,21,38,14,54,25,87,1,64,19,87,9,61,23,86,12,54,15,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,126,32,51,24,112,17,72,17,103,4,0,34,126,33,50,20,121,28,5,17,107,13,70,22,113,17,62,22,113,22,61,28,128,27,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,112,17,69,16,103,3,76,17,99,4,3,20,121,27,54,16,107,13,18,17,99,4,78,22,113,22,58,27,128,27,54,28,123,27,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,103,3,73,16,99,3,79,17,99,4,0,16,107,12,67,16,99,4,26,17,99,4,78,27,128,27,51,27,123,27,57,15,100,8,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,91,3,80,8,95,1,79,9,91,0,7,7,91,5,83,11,87,7,34,12,87,7,90,6,87,12,84,10,87,16,87,7,87,12,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,83,14,87,0,83,14,90,1,79,13,18,3,79,16,92,1,75,15,43,4,75,15,95,2,83,12,84,2,83,16,91,1,79,16,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,83,14,87,0,79,14,94,1,79,13,14,1,75,16,92,3,75,15,43,0,79,19,95,2,83,16,88,2,79,16,94,1,79,12,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,83,14,87,0,83,14,90,1,83,13,14,3,79,16,92,3,75,19,38,4,75,19,95,2,79,12,88,2,71,12,87,8,60,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,99,3,69,20,103,12,69,21,112,18,-11,20,103,8,67,16,103,13,18,21,111,13,65,22,104,12,65,22,104,12,72,23,109,12,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,103,7,73,20,103,7,69,17,99,4,-4,20,107,12,67,20,107,13,18,21,107,9,74,22,109,12,62,18,109,8,68,19,109,12,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,103,12,69,20,99,3,72,17,99,4,-4,16,99,8,71,16,103,4,22,21,99,0,78,18,100,4,73,14,96,0,76,15,100,8,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,87,5,80,3,75,14,79,7,54,13,7,11,95,1,71,11,91,4,26,8,79,4,78,14,96,0,73,14,100,4,79,15,96,4,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,79,22,91,0,75,22,90,7,68,21,14,1,72,20,87,1,64,19,38,8,61,23,86,2,75,24,88,2,71,20,91,1,63,24,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,99,3,71,16,99,12,70,17,99,9,-6,19,40,16,40,5,67,4,20,15,96,4,79,22,34,19,23,16,48,10,52,4,77,3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,99,12,67,16,99,8,70,17,103,9,-2,5,67,3,69,14,96,4,27,19,100,8,72,16,48,10,49,3,77,3,82,16,99,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,107,8,62,25,111,12,65,26,116,18,-11,22,109,16,65,22,109,12,16,23,109,12,68,28,112,14,64,24,108,10,67,20,108,10,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,107,8,62,20,107,8,70,21,107,9,-6,22,104,11,65,18,104,8,16,23,104,8,65,24,108,10,68,24,108,10,71,25,103,5,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,99,8,71,16,103,3,74,21,99,0,2,18,100,3,73,14,96,0,24,15,100,8,76,19,99,5,71,19,95,3,74,16,99,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,95,1,75,11,99,1,74,12,95,0,-2,14,96,1,73,18,96,4,24,15,96,0,76,15,95,1,75,11,99,3,78,12,99,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,95,1,71,11,91,3,78,8,79,4,2,14,96,1,73,14,100,4,27,15,96,4,76,11,99,5,71,15,95,5,74,16,95,1,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,95,1,79,7,87,8,86,8,83,15,10,18,100,11,69,18,100,12,20,15,96,0,76,15,103,5,75,15,103,5,74,20,103,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,61,24,83,13,54,16,90,12,51,26,14,2,63,25,88,9,60,27,42,8,56,24,91,1,73,25,94,5,66,32,100,4,63,28,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,100,3,76,10,100,3,76,15,104,4,-4,11,103,9,71,11,99,5,22,16,103,14,71,10,102,10,71,10,102,10,74,15,102,5,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,91,9,84,10,91,5,83,7,87,8,11,15,91,4,82,11,91,7,33,12,91,10,89,10,92,7,81,6,92,7,88,11,88,3,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,83,9,88,2,83,13,87,3,83,16,15,7,91,4,79,7,88,7,33,0,81,14,93,6,88,7,78,1,75,7,77,10,63,3,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,34,21,29,19,40,16,43,4,67,4,-4,26,34,18,23,22,34,19,-26,15,48,10,52,24,37,19,18,24,34,24,21,23,34,19,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
