,iso,lof,svm,kedp,khdp,cone,ekde,hkde,lhkde,lekde,lskde,lmkde,Metric,EnergyScore,path,InSamp
0,0.9162895927601811,0.3460892049127343,0.8857789269553976,0.33070458952811893,0.3988364576599871,0.5,0.6082740788623142,0.5,0.5,0.6222365869424693,0.9334195216548158,0.5,AuROC,4.9483591149629795,./ad/solarflare/results_xv2.pkl,True
1,0.1700071885337348,0.004790827019414376,0.12077391734254864,0.004421126351398987,0.005740226065406687,0.5031474820143885,0.0073028087750267486,0.5031474820143885,0.5031474820143885,0.008356991068705872,0.2241953413685528,0.5031474820143885,AuPRC,4.9483591149629795,./ad/solarflare/results_xv2.pkl,True
0,0.8525735294117647,0.55625,0.8694852941176471,0.49926470588235294,0.7683823529411764,0.5,0.4647058823529412,0.5,0.5,0.4485294117647059,0.8132352941176471,0.5,AuROC,4.949907348589468,./ad/solarflare/results_xv2.pkl,False
1,0.13714195702418697,0.02045534235321067,0.13196957573171164,0.0172184351621414,0.03575704918480671,0.5090252707581228,0.01595600679995212,0.5090252707581228,0.5090252707581228,0.015562344062105726,0.1003146777805492,0.5090252707581228,AuPRC,4.949907348589468,./ad/solarflare/results_xv2.pkl,False
0,0.8973966942148761,0.35871900826446285,0.8897107438016529,0.36735537190082646,0.255702479338843,0.5,0.31471074380165287,0.5,0.5,0.19669421487603306,0.8808264462809918,0.5,AuROC,5.055187964450723,./ad/solarflare/results_xv3.pkl,True
1,0.20364074856286277,0.007562685475575034,0.1963269463125917,0.0073607953107951585,0.006192627391554415,0.504950495049505,0.00668214367567113,0.504950495049505,0.504950495049505,0.005636552301916363,0.13241878760093795,0.504950495049505,AuPRC,5.055187964450723,./ad/solarflare/results_xv3.pkl,True
0,0.8935018050541516,0.6588447653429603,0.9115523465703972,0.44404332129963897,0.12274368231046928,0.5,0.33574007220216606,0.5,0.5,0.010830324909747335,0.8808664259927798,0.5,AuROC,5.052443180360055,./ad/solarflare/results_xv3.pkl,False
1,0.016129032258064516,0.005208333333333333,0.019230769230769232,0.0032258064516129032,0.0020491803278688526,0.5017985611510791,0.002702702702702703,0.5017985611510791,0.5017985611510791,0.0018181818181818182,0.014705882352941176,0.5017985611510791,AuPRC,5.052443180360055,./ad/solarflare/results_xv3.pkl,False
0,0.8787920072661217,0.2693914623069937,0.8920526793823798,0.5068119891008175,0.6394187102633969,0.5,0.5072661217075386,0.5,0.5,0.4948228882833787,0.8461398728428702,0.5,AuROC,5.125622054920436,./ad/solarflare/results_xv1.pkl,True
1,0.071784439297974,0.005836491214988471,0.08359286626629933,0.008504832170593054,0.011793451225890596,0.5045004500450045,0.008541236289113671,0.5045004500450045,0.5045004500450045,0.008235124132127836,0.07856997200591982,0.5045004500450045,AuPRC,5.125622054920436,./ad/solarflare/results_xv1.pkl,True
0,0.9429347826086957,0.5108695652173912,0.9103260869565217,0.40398550724637683,0.6503623188405798,0.5,0.6177536231884059,0.5,0.5,0.6865942028985508,0.7916666666666666,0.5,AuROC,5.124725503893593,./ad/solarflare/results_xv1.pkl,False
1,0.14821603128054742,0.007218013468013468,0.5146153846153846,0.00733071785652104,0.009758350751631483,0.5035971223021583,0.008734623577367245,0.5035971223021583,0.5035971223021583,0.011563423484083343,0.5064286766872974,0.5035971223021583,AuPRC,5.124725503893593,./ad/solarflare/results_xv1.pkl,False
0,0.8726201269265639,0.4806210335448777,0.8961922030825022,0.2662058023572076,0.15015865820489577,0.5,0.45002266545784225,0.5,0.5,0.4635086128739801,0.8485947416137807,0.5,AuROC,5.1114859178434084,./ad/solarflare/results_xv4.pkl,True
1,0.051000454331742336,0.007388064025692768,0.14363138402826897,0.0047647921222283415,0.0038922309627630117,0.5036003600360036,0.006168196569089348,0.5036003600360036,0.5036003600360036,0.006238557039841978,0.0926500557209398,0.5036003600360036,AuPRC,5.1114859178434084,./ad/solarflare/results_xv4.pkl,True
0,0.8781934306569342,0.5054744525547445,0.9019160583941607,0.3029197080291971,0.10675182481751824,0.5,0.5091240875912408,0.5,0.5,0.531934306569343,0.8494525547445256,0.5,AuROC,5.104777313783394,./ad/solarflare/results_xv4.pkl,False
1,0.12227775296185012,0.014329538881127351,0.19811132112062685,0.01019500699983188,0.007582781643426318,0.5071942446043165,0.013404264770802922,0.5071942446043165,0.5071942446043165,0.014088395210571286,0.4058076332269881,0.5071942446043165,AuPRC,5.104777313783394,./ad/solarflare/results_xv4.pkl,False
0,0.8874734607218684,0.5519790718835305,0.8779193205944799,0.6681831968456171,0.6841825902335457,0.5,0.5357142857142857,0.5,0.5,0.5263117986047922,0.8817864725508038,0.5,AuROC,5.087461705128873,./ad/solarflare/results_xv5.pkl,True
1,0.1006410556062855,0.012864242685246323,0.16156597337348097,0.018240695970515076,0.01845118450843461,0.5054005400540054,0.010816592713456512,0.5054005400540054,0.5054005400540054,0.010601152916089162,0.12547437680518247,0.5054005400540054,AuPRC,5.087461705128873,./ad/solarflare/results_xv5.pkl,True
0,,,,,,,,,,,,,AuROC,5.084223409928141,./ad/solarflare/results_xv5.pkl,False
1,,,,,,,,,,,,,AuPRC,5.084223409928141,./ad/solarflare/results_xv5.pkl,False
