,if,lof,svm,kedp,ckedp,khdp,ckhdp,cone,ccone,ekde,cekde,hkde,chkde,lhkde,clhkde,lekde,clekde,lskde,clskde,mlkde,cmlkde,Metric,path
0,0.5569515324298906,0.44837257627065275,0.6037936325444433,0.2764641965303213,0.28789289793418826,0.6027151271738972,0.7020124482923489,0.3386553619404813,0.6968798798946367,0.4731089968240435,0.6599011010457803,0.320562010016095,0.4292082985432787,0.7074724799682802,0.7197027157494618,0.45032160401107124,0.6627766028991026,0.952759527028441,0.7659585524992483,0.2861079613347145,0.6355225615733212,AuROC,./ad/cardio/results_mdppprgln_2_1e-1.pkl
1,0.2486808392730892,0.18563638641368785,0.2649969805122201,0.16099184732967656,0.16317440456339652,0.24085216283112373,0.33953962626281414,0.16645590335052202,0.3486835224446976,0.2156095451166372,0.3134239794580519,0.16723578967298153,0.19418108625543504,0.4379692088081597,0.3585368411929954,0.1805858308180056,0.29385003124761677,0.911327361707827,0.40538125640520495,0.14518684679185528,0.30619282917377727,AuPRC,./ad/cardio/results_mdppprgln_2_1e-1.pkl
0,0.5350229034770017,0.44837257627065275,0.6037936325444433,0.6201232172766102,0.6448936069786526,0.2990331542812555,0.5944664551652131,0.3386553619404813,0.6968798798946367,0.6643520999382488,0.6985687606777089,0.43695531832580936,0.49741970511510514,0.6920296810099476,0.711179258060991,0.6967901657867573,0.7045656743377624,0.9146213738208037,0.7484781903061304,0.37681780987521746,0.6484083525228703,AuROC,./ad/cardio/results_mdppprgln_2_1e0.pkl
1,0.21237873444494176,0.18563638641368785,0.2649969805122201,0.31119637632522146,0.3190085495337164,0.16102633307515718,0.2697087258695965,0.16645590335052202,0.3486835224446976,0.31151626024236023,0.35583425814287345,0.1860195727772862,0.2063241602496837,0.3495683132122227,0.35629160240285446,0.3586246008772658,0.36714310448012,0.8478465217753719,0.39152652989742076,0.16955832849505204,0.3134099902645842,AuPRC,./ad/cardio/results_mdppprgln_2_1e0.pkl
0,0.5264953977958341,0.44837257627065275,0.6037936325444433,0.5129389659395405,0.5322655879112868,0.48839830004310725,0.6926123104912973,0.3386553619404813,0.6968798798946367,0.5918889769817683,0.6711030742331137,0.6863963070215371,0.7625275826979104,0.7033896572005434,0.7084097023024555,0.4753182572416171,0.6517431392822769,0.9331461621407062,0.7568526440816351,0.2946308263648248,0.6419444251581645,AuROC,./ad/cardio/results_mdppprgln_2_1e1.pkl
1,0.21770139213626957,0.18563638641368785,0.2649969805122201,0.21303935122529266,0.22211848185811323,0.26075767520895154,0.34075519337638305,0.16645590335052202,0.3486835224446976,0.24667549015146906,0.30682728257343495,0.3634146983154651,0.3591240560974695,0.30750835497647455,0.35289588866722227,0.19194236919041788,0.28342862414182735,0.8549903178199003,0.3973487619168268,0.14507368178305735,0.3099269625824844,AuPRC,./ad/cardio/results_mdppprgln_2_1e1.pkl
0,0.5948434332788493,0.44837257627065275,0.6037936325444433,0.7331300328550674,0.758259071663151,0.6989561941027493,0.7259051092021934,0.3386553619404813,0.6968798798946367,0.7180341358004181,0.7564828875571784,0.5803477824803909,0.6391114227255008,0.3927137460178829,0.6717057082531662,0.7510282664532708,0.7498833786744266,0.9223958286140042,0.7517132607560155,0.3536099983027857,0.6457447026398746,AuROC,./ad/cardio/results_mdppprgln_2_1e2.pkl
1,0.25921055379242636,0.18563638641368785,0.2649969805122201,0.46017061558400635,0.46930295395620836,0.3038286159875137,0.3603750375513253,0.16645590335052202,0.3486835224446976,0.4122474427124637,0.39722222423869147,0.36836744799068055,0.2886868879595513,0.16895475203182603,0.33365899355916895,0.4147834151832414,0.36614117638815147,0.8399817078583106,0.39302637581832056,0.1613041693780525,0.31153101834504643,AuPRC,./ad/cardio/results_mdppprgln_2_1e2.pkl
0,0.2788305402797381,0.5176319692651172,0.4984636094249275,0.7835662564144261,0.7860336893764784,0.46592953547084914,0.48018456035023205,0.5973445177736746,0.47931598785222707,0.6640706025474494,0.4850945960305868,0.6885563325876276,0.5570210216252979,0.21604379502730456,0.4489283138363366,0.687865305067269,0.48181471496083667,0.45801819467381905,0.47401066595450675,0.41690531868513325,0.4568633104565761,AuROC,./ad/cover/results_mdppprgln_2_1e-1.pkl
1,0.09772364765427612,0.19025642277122895,0.13160812110485223,0.4859139522045304,0.46671485587840766,0.12440469454708863,0.1389765569089142,0.16971373557345912,0.1367715176538674,0.4347135165370593,0.1603447171671597,0.21084217947001227,0.1629904114933583,0.08898753821734602,0.12917922679804383,0.4010586929053437,0.14258907519351346,0.12442202971983204,0.13453849485211783,0.11437553495879571,0.13075685683110883,AuPRC,./ad/cover/results_mdppprgln_2_1e-1.pkl
