,iso,lof,svm,kedp,ckedp,khdp,ckhdp,cone,ccone,ekde,cekde,hkde,chkde,lhkde,clhkde,lekde,clekde,lskde,clskde,lmkde,clmkde,Metric,EnergyScore,path,InSamp
0,0.7274436090225563,0.4994570589821167,0.8886184584968397,0.28756402959590205,0.2952475811041548,0.329149567144954,0.7194754815325165,0.5889000389419764,0.7194268040619476,0.2805020519426055,0.7944612527334272,0.349272084593955,0.6798370428062187,0.8155198753856753,0.8000853727945362,0.27946110295659465,0.7953000029955366,0.9694455261660125,0.8260267201869215,0.03027738669382619,0.7701599616571309,AuROC,5.57386432101824,./ad/cardio/results_xv2_1e-1_1e-1.pkl,True
1,0.2723040256738338,0.11709930834730081,0.5278420781311803,0.09714115508941423,0.0997878781203653,0.11953089705049297,0.2306290001123072,0.3124675325513166,0.4013930568368602,0.09604054175401452,0.3124802335743926,0.1479407049318343,0.21512803255477336,0.4468340592351835,0.3183523700640791,0.09997641497543625,0.3184130247313955,0.8304707857578779,0.3491083370293973,0.06142201461470892,0.28735501994719315,AuPRC,5.57386432101824,./ad/cardio/results_xv2_1e-1_1e-1.pkl,True
0,0.7732625482625483,0.3917953667953668,0.8908301158301158,0.22017374517374513,0.23889961389961392,0.6775096525096524,0.8361003861003862,0.658108108108108,0.7988899613899614,0.24488416988416986,0.8315637065637065,0.28494208494208495,0.642084942084942,0.8873552123552123,0.8334942084942084,0.2404440154440154,0.8316602316602317,0.9564671814671815,0.8495173745173744,0.041409266409266406,0.8128378378378378,AuROC,5.568760340522249,./ad/cardio/results_xv2_1e-1_1e-1.pkl,False
1,0.35907953071777204,0.14133997681241348,0.6675391258374022,0.11349440427317131,0.1177143247154217,0.26882167160461157,0.3671607896599089,0.42623450755913644,0.5510485093413887,0.1155455004755788,0.3901800758347954,0.18871424135715043,0.22173720164102106,0.6437961519247789,0.3657033039223682,0.11627524315904016,0.37163749705708177,0.8166573572178107,0.3945067284967112,0.0707821781187239,0.3334416870292714,AuPRC,5.568760340522249,./ad/cardio/results_xv2_1e-1_1e-1.pkl,False
0,0.7302860120426123,0.496547880963409,0.8878459356183419,0.2691422533580361,0.28927599583140345,0.3877518527095878,0.8121743283927745,0.5199130094951367,0.6774693144974524,0.22711614173228345,0.7524823413617415,0.39228230662343677,0.8062181565539602,0.7874088119499768,0.8213727420101898,0.22548054654932836,0.7698732051875868,0.9667597846225104,0.8449441292264938,0.03580216535433071,0.792438628994905,AuROC,5.639629530445651,./ad/cardio/results_xv1_1e-1_-5e-2.pkl,True
1,0.24993383446347087,0.11345454721108111,0.5352935213138506,0.07725383415042195,0.07962066027547628,0.09526439344388309,0.30913918353212755,0.22760742993919386,0.26109019663103694,0.0733624478708628,0.22094552704537268,0.0888572091180361,0.30215864185056845,0.2805605955505886,0.3255335195967321,0.07218759584814678,0.24581777131091315,0.8207043734342675,0.35789255448948426,0.06214345298829895,0.293141198352196,AuPRC,5.639629530445651,./ad/cardio/results_xv1_1e-1_-5e-2.pkl,True
0,0.702591020772839,0.5188184051820416,0.8571588117042662,0.26580299307572036,0.2812150993969176,0.7644628099173554,0.7467053830690195,0.47677015858834043,0.595264686173777,0.315613133794952,0.7054947509492965,0.4353361626088899,0.742014742014742,0.7718338172883628,0.7432432432432432,0.30466830466830475,0.7156578065668975,0.973866428411883,0.7732856823765916,0.027138708956890766,0.7053830690194326,AuROC,5.633400233729077,./ad/cardio/results_xv1_1e-1_-5e-2.pkl,False
1,0.3044406764449788,0.15107349233519113,0.6081173842831956,0.08700926082184499,0.08979061473531219,0.26313184331483863,0.3235256578852709,0.23150408944711404,0.24322651299361617,0.09212083614147673,0.2878382966380776,0.21839462573302917,0.31327589719222465,0.29210177823267947,0.3137957777282301,0.08908017933080146,0.2788234298833943,0.9063122400409674,0.34120506178029675,0.069791161105386,0.27782162171155356,AuPRC,5.633400233729077,./ad/cardio/results_xv1_1e-1_-5e-2.pkl,False
0,0.7142482700775844,0.4994570589821167,0.8886184584968397,0.29267141958481857,0.2966105502800827,0.3640850133301381,0.7779858011562772,0.5376089626456579,0.6926130066201359,0.2946709402989545,0.7127579905940148,0.38287451696971514,0.6294596051882695,0.8129736692328431,0.8000404397447803,0.2924467543360393,0.740099751370458,0.9641059820866908,0.8268654704490309,0.03671779049216666,0.7685049276577899,AuROC,5.579222162942283,./ad/cardio/results_xv2_1e-1_1e0.pkl,True
1,0.24610624542117077,0.11709930834730081,0.5278420781311803,0.10267735216603227,0.10585230394014498,0.1516904847991412,0.2854141427713808,0.3108883175029967,0.4007481073693988,0.09269505070557571,0.20117646104025572,0.19845094676891945,0.1860961424142334,0.3246349688878509,0.31837104012752815,0.09456270877193537,0.23603212991729872,0.789536899392382,0.3507313200009487,0.06161246927500174,0.28602721818090343,AuPRC,5.579222162942283,./ad/cardio/results_xv2_1e-1_1e0.pkl,True
