"V2","V3","V5","V6"
5.0725783,-0.27606055,-0.37786573,0.4803223
-0.16939038,0.67065219,-0.37786573,-0.94572324
-0.44365372,5.6747053,-0.37786573,-0.94572324
0.13141457,-0.45638679,-0.37786573,-0.94572324
-0.3949941,-0.14081588,-0.37786573,1.0135658
-0.38172329,0.26491816,1.4689815,0.85206922
-0.34633447,-0.18589744,1.7433811,1.0623195
-0.44807732,0.89605999,-0.37786573,-0.94572324
-0.36845248,0.62557063,-0.37786573,1.0105187
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.32421646,1.0313047,-0.37786573,1.3975012
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.44365372,-0.50146835,-0.37786573,-0.94572324
1.5867797,-0.27606055,-0.37786573,0.80940974
1.060371,-0.36622367,-0.37786573,0.9434824
1.7769946,-0.41130523,-0.37786573,0.89777581
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.27998044,-0.27606055,-0.37786573,-0.94572324
-0.44807732,-0.59163147,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
2.7280691,-0.050652758,0.79101616,0.65400734
0.56935119,-0.50146835,-0.37786573,0.87339896
-0.44365372,1.4370387,0.1270441,1.278664
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
0.60031641,0.30999972,0.72806294,1.0562253
-0.17381398,-0.18589744,-0.37786573,1.1659211
-0.41268851,0.039510361,-0.37786573,-0.94572324
-0.2092028,-0.095734317,-0.37786573,1.2634285
0.5781984,0.08459192,-0.37786573,-0.94572324
-0.08534194,0.85097843,0.74050871,1.1689682
0.05178973,0.35508128,0.62675172,1.306088
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.27113323,0.58048907,-0.37786573,1.2420988
-0.37287609,1.9329359,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
0.1844978,0.26491816,-0.37786573,1.2055335
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.37287609,0.35508128,-0.37786573,1.0866964
-0.47019533,-0.59163147,-0.37786573,-0.94572324
4.6788777,-0.45638679,1.2448588,0.30054306
-0.47019533,-0.59163147,-0.37786573,-0.94572324
5.0504603,-0.50146835,-0.37786573,0.30968437
0.05178973,0.44524439,1.0542212,1.1415443
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.32864006,-0.32114211,-0.37786573,1.6290812
-0.29767485,0.49032595,0.10327201,1.2664756
-0.31536926,-0.0055711987,0.61842161,1.1476385
-0.38614689,1.1665493,1.1365345,1.0227071
-0.36845248,-0.095734317,-0.37786573,-0.94572324
0.52511517,-0.18589744,-0.37786573,0.96176503
4.953141,-0.32114211,0.57956973,0.67838418
-0.35518168,0.26491816,-0.37786573,-0.94572324
-0.36402888,-0.095734317,0.64769223,1.4767259
-0.47019533,-0.59163147,-0.37786573,-0.94572324
0.46760834,2.8796486,-0.012954376,0.270072
0.48530275,0.12967348,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
0.14468538,0.30999972,-0.37786573,1.1293559
-0.24016802,-0.27606055,-0.37786573,1.4188309
-0.45250093,-0.45638679,-0.37786573,-0.94572324
-0.29325125,0.26491816,0.49030918,1.3030409
0.020824514,0.12967348,0.72016086,0.83073948
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.15611958,1.3468756,-0.37786573,-0.94572324
-0.36845248,0.49032595,-0.37786573,0.99223609
0.22873382,0.17475504,0.40480212,1.2268632
-0.42595931,0.44524439,-0.37786573,1.4127367
-0.47019533,-0.59163147,-0.37786573,-0.94572324
-0.25786243,0.08459192,-0.37786573,0.86121054
