theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7,theta_8,theta_9
1.538417101951974,1.2591217144491365,0.6930081836943013,1.5191103066809726,1.565164011540977,1.459654085019253,1.2495595041794036,1.2802207755023551,1.435549376175214
1.5596532669371066,1.5119075161401412,1.501953563450332,1.235224766157618,0.9150865881484633,1.3098744887568876,0.2832920209946501,1.541367456134082,0.2316833948848905
1.3750864047059128,1.4050830595031456,1.5569832322140624,1.4482874376481327,0.8449265104373784,1.5253131523889671,0.9402591623139088,1.4131834069112792,0.7906262245215405
1.4467433628273043,1.1633952286030307,1.4902759199354896,1.0485006887188713,1.34133416711675,1.3597399059422488,1.361286849325581,1.035339328985025,1.553277544906999
1.474487521282789,1.1932960395721293,1.5418728138288493,0.8410093832642919,0.9433798117500874,1.4309217688819653,1.4768506403010422,1.1364807300463724,1.4623123290274525
1.4013630070629814,1.5126370796719248,1.5534006990367921,0.7955693445603598,1.1718122057635425,1.5197829379176322,1.1799661352375201,1.2145333121213047,1.3498103482236528
1.0616617790352756,1.4936801013782164,1.5496586598555822,1.3862031617107498,1.3027526676480927,1.2095519665763526,1.2191925550534062,1.3086551198883305,0.012712153998040434
1.5179203330103281,1.5091021317638809,0.4770610460816933,1.2376864288080829,1.1715437923071048,0.519309935515624,1.1420372620875472,1.0946401629693066,0.19577204334950088
1.4265086447253579,1.569038833980853,1.5698994876953964,0.6650554952358609,1.4273621115470434,1.2787526150196384,0.5969586835132907,1.3514668881024363,0.1890456819530434
1.332259692741806,1.4695669720536755,1.568691050209499,0.6110143630890885,1.1920057510329234,1.2984186614764548,1.1677219551372773,1.4025565712978596,0.016412622394106933
1.4961255687748074,1.2451537517820377,1.1872021508079822,1.5580248774531877,1.5491085214355969,1.4885950380245003,1.4583463646120494,1.4644565849968632,1.4615018553995467
1.489750619460738,1.2338990616343481,1.565381973835966,1.2251916907602294,0.5150907456781088,1.3310127880042124,0.2775248429055134,1.2595888056396025,0.22699697540111508
1.5522709597115587,1.5022346613642164,1.5347181165461738,1.280937939265322,1.178731237505587,1.4363600508081213,0.8699186996551941,1.4413575789279118,0.48445727462213245
1.4394863044084465,1.3390907246946087,1.5049479609345084,0.8109289972866872,1.0750523855180572,1.5480929562844845,1.5543581019059123,0.3432517591136777,0.9337865926917966
1.2137440452799935,1.563284146396453,1.5626441222553944,1.4274307288602288,1.3662044992972646,0.5602075701399183,1.4531744875383865,1.1967571836775697,0.3584175203911275
1.3587244595585426,1.2356945992198805,0.4113900104699882,1.301313596402267,1.3994901982060937,0.9190125581991739,0.6455036719856717,0.650979663340894,0.09040723819807941
1.2750163427885912,1.5518434202488292,1.4823056256679512,1.3279535574943282,1.4496919769271808,1.2008595378784144,0.7234951160377975,1.3910052090174005,0.20534278082296703
