"reals.1","reals.2","reals.3","reals.4","reals.5","reals.6","reals.7","reals.8","reals.9","reals.10","cats.1","cats.2","cats.3"
0.372470164246173,0.329352363417889,0.000841423013348078,0.47795554830191,0.329807297138468,0.531701332789342,0.0338933649285501,0.090809244170797,1,0.497640287225131,0,0,1
0.131344187952628,0.59532575158373,0.103825673423996,0.104774430276628,0.0732200592074135,0.290636978168889,0.400550335805042,1,0.39557051295323,0.10926595800842,0,1,1
0.682302035329025,1,0.211543419957269,0.0334768005926897,0.350309551852526,0.284221363458104,0.50481183846715,0.340333112363353,0.0899448076940671,0.0269956111793469,1,1,1
0.217798646439366,0.260512052033542,1,0.773433326817644,0.180969020735017,0.584455011985822,0.703003508134611,0.758173205957852,0.765943341605908,0.00131841885014603,0,1,0
0.247794988231413,0.321119445732931,0.0671904635058221,0.261587205985327,0.0928351732029048,1,0.11676342751496,0.0325597075993428,0.00957090926043764,0.194710573243927,0,1,0
0.144583532945604,0.1703891015891,0.206941559856655,0.0802900763647211,0.0396150585314573,0.414554334193778,0.760814610450246,1,0.0399525031155266,0.0243083987388842,0,1,1
1,0.820395599386272,0.49127208370089,0.0287260446786329,0.0699863330282628,0.704992212159562,0.286185097546044,0.0843643880236504,0.0612591311099893,0.654624750843959,0,1,0
0.160512968978772,0.597161629967721,0.00812131390906834,0.181180065671743,0.165214264592532,0.440205956708532,0.0847468828015158,0.174867540111422,1,0.301189480729893,0,1,1
0.398390750744649,0.770643778080032,0.100949423727423,0.0321402292996938,0.011907203322336,0.55336071020611,0.294232896726857,1,0.0193851626531288,0.134732780106199,1,1,1
0.590887233641707,0.463708834544238,0.511021499502562,0.813356265644793,0.287624121870674,0.0504166677891629,0.352291206842476,0.0179444835545571,1,0.691793035604029,0,1,1
0.61772433987794,0.646095834097627,1,0.334815482726407,0.0304398146657056,0.710285098605275,0.80681930580463,0.219029796398961,0.142253864715928,0.093163878253706,1,1,1
0.31744811860517,0.403292522402013,0.737250922837775,0.341397100586677,0.0266513717723607,0.909717410891412,1,0.4689288963928,0.168599691900815,0.0179575667961017,0,1,1
0.449337003322438,0.884099863766661,0.00172962453417599,1,0.327993037927548,0.536303007925226,0.353798730623867,0.181839134616597,0.319178213404671,0.303677454094926,0,1,1
0.602748712605895,0.107036532529106,0.119663642730094,0.0225844853616927,0.0148469909886721,1,0.433040624310927,0.0356946121459979,0.271227900295312,0.183963816507862,1,1,0
0.871020893435427,1,0.33284996570937,0.331691801360478,0.0778673795926506,0.335942613550071,0.316245440330228,0.0642135730386657,0.788422354471843,0.494035897891229,1,1,1
0.973394789665829,0.344911277245174,0.355168112147517,0.270542206205345,0.0505189950120163,0.174825156917436,0.152874870464717,0.116946514756847,1,0.107623809809948,0,1,1
0.786561866896685,0.732231784015574,0.726461646685583,0.365567840209822,1,0.493148310501754,0.54517373081157,0.167509694963338,0.560048393216009,0.740729561699124,0,1,0
0.240110873831515,1,0.104975735770718,0.0446336772569695,0.0952187600216081,0.535666081057024,0.188733370630498,0.60841709637033,0.00268655778751878,0.90144193095034,1,1,0
0.0494718897370669,0.327947026977559,1,0.0107456518282883,0.0634241794152839,0.114103288705957,0.477805603804314,0.260289269244631,0.0475173831554571,0.118149298852633,1,1,1
0.0373490752265871,0.698462941544074,0.307470640872062,0.0810969365965571,0.0753740937825657,1,0.603293332635127,0.269379684562461,0.108038663767463,0.177373340198911,1,0,1
1,0.70691061903186,0.102575322766822,0.0413435990950621,0.288124066272746,0.467766458295874,0.218328472384693,0.0311653569228305,0.0710215170803724,0.679776881084234,1,1,1
0.676074168528203,0.56358232123498,0.113628987925563,0.176733823077479,0.161226829791035,0.388105197748198,0.320193211552639,0.0381055266539958,0.924229098919986,1,0,0,0
1,0.279530233662404,0.130428968998486,0.135491001091715,0.343636234129232,0.271916539544496,0.0668419538810759,0.276913638941149,0.358323844709783,0.234142526860344,0,1,1
0.570188536400492,0.833948877719714,0.0802590585742474,0.062864239999671,0.192962592403802,1,0.195954174445696,0.45885818960264,0.0266874479396837,0.618103292781644,1,1,0
0.0984973503721519,0.547252924679846,0.547604101167533,0.62104402237456,0.747261607815774,0.392250248315616,0.00791478190901367,0.0291508544930661,1,0.7318240431925,0,1,1
0.141843883611461,0.605787655892415,0.55732578660601,0.506984049902894,0.23852096015739,1,0.38118758818954,0.83003114068164,0.324897250936176,0.350115710884791,1,1,1
0.365275602267118,0.739501032739152,0.133027673639046,0.334696466035182,0.0484574981046086,0.160858825576688,0.0216040442389166,0.0552450828288664,1,0.0412292849419499,0,1,0
0.384889751559935,0.358651597545396,0.175555674399842,1,0.118353251577218,0.173897973104118,0.836691065784756,0.085640346388228,0.468341950570757,0.110960953558846,1,1,1
0.672212291840868,0.471690194655559,0.123962820108962,1,0.200494612107967,0.509606106020641,0.419456100841578,0.272164160332617,0.267384692163165,0.947085070734965,1,1,1
0.139331230897456,0.35901273398411,0.0259917980187028,0.188202133092131,0.0211475333664044,0.0644295395041287,0.0388926010812314,0.116993218909665,0.170090132265257,1,1,1,0
0.194807741963789,0.392499652533306,0.362860261836976,0.487145847281461,0.00185884364020049,1,0.457204707382062,0.0533962171676045,0.0455248852447497,0.2402373482531,0,1,0
0.231628195253579,0.363432107072296,0.590219882486,0.455447915299519,0.0252400582721575,1,0.406305308338999,0.104681255261604,0.0982965492614083,0.109811730675792,0,1,0
0.854822596355004,0.321125189999021,0.0664246770727869,0.0328146804597036,0.111112468190757,0.155871749177564,0.117353502869731,0.190770009485822,0.1701057275575,1,0,1,1
0.413459373579298,0.479231463327054,0.192712842542276,0.70490189236905,0.201140481016975,0.0378909501674248,0.313389147347946,0.202349500766356,0.450547145900428,1,1,1,1
0.035930651524493,0.0634956271618086,0.38902257535053,0.895965632700379,0.292183690203384,1,0.335015410585329,0.412415976393783,0.00856083654663075,0.195701103414621,0,1,1
0.658029200797853,0.664890408660899,0.750909703469862,0.287729548645135,0.220481656110807,0.664969408242298,1,0.0644727513379873,0.137370095211006,0.15617602952579,1,1,1
0.00469201955651133,0.239431149066321,0.133359885573823,0.0123838300277419,0.0359585741006537,1,0.417214946562797,0.280976056850513,0.299941506273449,0.143961477382544,1,0,1
0.192533112966037,0.234553489421431,0.61758892259535,0.206068162228424,0.00180319316292416,0.276489240206579,0.495027033821214,1,0.0254576845603446,0.00693120308274408,1,1,1
0.558788053072102,0.342325571774734,0.792175760118762,0.104596532800119,0.140472182818987,1,0.738963822483112,0.399092615694186,0.196813764227058,0.0733602968392296,0,1,0
0.210150038635792,0.159124428890187,0.021372891129052,0.140866398174158,0.228966780890268,0.0285314176980255,0.12527864694684,0.328219567517872,1,0.547186008501681,0,0,1
0.736774484611285,0.248178739361756,0.164356108747875,0.239065931746419,1,0.74824693466653,0.142768766202847,0.150251279951329,0.47270226656125,0.263132619594824,0,0,1
0.988057512601693,0.191617965734315,0.76789596487641,0.0493380044377016,0.00314854676495376,0.490621161336458,1,0.0207127227037841,0.0329414406886218,0.0627564169792856,1,1,1
1,0.32244928369809,0.00828612187528074,0.0732929176093748,0.101979757803865,0.527818011151104,0.176254145995663,0.136460467641338,0.000625861990856268,0.447150188196953,0,1,0
0.778158341082658,0.689911766660945,0.112584980975575,1,0.815890294832247,0.222260984261416,0.0416760145383661,0.558940903157236,0.499065084127874,0.874813310488242,1,1,1
