"reals.1","reals.2","reals.3","reals.4","reals.5","reals.6","reals.7","reals.8","reals.9","reals.10","reals.11","reals.12","reals.13","reals.14","reals.15","reals.16","reals.17","reals.18","reals.19","reals.20","cats.1","cats.2","cats.3","cats.4","cats.5"
0.334978636132121,0.216069122579413,0.298355801524863,0.00116675339857447,0.656624857625851,1,0.816639362146734,0.375041080598396,0.692708523915446,0.509792134779772,0.00281910732822804,0.0534170075070794,0.135978473731413,0.159309095399287,5.98796737484564e-07,0.20519598481271,0.197076337201425,0.193931003102836,0.113657520562873,0.00349485995252881,0,1,0,0,0
0.392738492428955,0.155020359015648,0.532608194858923,0.0051582973309477,0.151780385242194,0.111842172732945,0.00579019051784058,0.269334075028697,0.0960756429050524,0.0481168433760212,0.0964984111051982,1,0.613978111164584,0.0241697357232452,0.38143248659331,0.0592569497186844,0.292834792154484,0.107528004371623,0.179100969178837,0.0464760970191468,1,1,0,0,0
0.0373932771841577,1,0.131531398986845,0.357534220228408,0.0772838221937952,0.306444426443399,0.498367457456308,0.0122392275655804,0.0554714352861703,0.0860306513647539,0.17234694646375,0.448177301650797,0.0315234557673137,0.0697714948078931,0.115754013501181,0.00225129369047226,0.000467245683263331,0.00375722395187067,6.8521598834846e-05,0.215462606043568,0,0,0,1,0
0.142666322227076,0.212074228219801,0.00264027661915745,0.0379264011782883,0.449072042284028,0.00566231645466274,0.469661186319273,0.0409798114228722,0.00443872093568709,0.125196661924466,0.018811886008607,0.0276491565007173,0.00702509261125484,0.140801611353318,0.164954098344386,0.138291130569665,0.110375715912028,1,0.315199696505029,0.0418595152403897,1,1,0,1,0
0.0160495691900103,0.0577375459617178,0.175681301851558,0.104030707584458,0.00783441554401941,0.715081480973894,0.0645081235782809,0.290223839000789,0.177579063234334,1,0.0299595064468205,0.120106417672298,0.0347111031757617,0.446235766714764,0.957983223011554,0.00215298334671253,0.234667061057988,0.320953944627432,0.292848751684365,0.13134172196836,0,1,1,1,1
8.76737454327131e-06,0.404659754630425,0.0247877458330587,0.23308830462038,0.0137438063252999,0.260481333555292,0.705171615526418,1,0.0725540767607373,0.0118526301709956,0.0709432559344438,0.18975810484176,0.216552219264455,0.122113278660022,0.130420477918415,0.0327329223502274,0.417471191554568,0.365521135092323,0.072350898326121,0.483868176785464,1,0,1,1,1
0.0511292534003651,1,0.0915406762036177,0.401648303491983,0.232340372072192,0.00158015739783708,0.0183415156211008,0.827877528828673,0.38890177092205,0.00211465313382882,0.772249888310488,0.788795616471279,0.479988339356331,0.0157714477680864,0.0442427730883833,0.176951800374079,0.157888578599432,0.110793403134792,0.162076078892353,0.416624179032379,1,0,0,0,0
0.0931879755375491,0.19391901721226,0.623817437507251,0.317501303442055,0.27649813066957,0.0739669671556604,0.430944507955447,0.157325481924784,1,0.465418150951963,0.150890924233951,0.462557326689441,0.139977839274676,0.637940635058668,0.186282481813283,0.224461741731788,0.0163688639093234,0.106438601839662,0.827209212365981,0.0667906275658165,0,1,1,0,0
0.730444504734039,0.607117040018393,0.0528355768569354,0.0670370392430695,0.311915294663495,0.00579354361443361,0.211528805613662,0.329100482254765,0.354548124200148,0.268844397461864,0.0758896988952055,0.00459790651947961,0.0266756919988598,0.819460166705924,1,0.102367704739111,0.600574874863798,0.470246811138896,0.410769468096742,0.272567450152671,1,1,0,0,0
0.0378542214517109,0.219750902668818,0.227248336663229,0.415698105208341,0.701823546065019,0.0114806872302217,1,0.265498655111695,0.354987252937395,0.175449080794764,0.0173899043294162,0.408298189326094,0.12026380963113,0.247051348795765,0.0340835748868029,0.170462165256142,0.0995447974277418,0.00533513914070868,0.0525430605579744,0.206405500662724,1,0,0,0,1
