"reals.1","reals.2","reals.3","cats"
1,0.884238242503133,0.00225903466671217,0
0.220625745826073,1,0.174401448530978,0
0.682302035329025,1,0.211543419957269,1
0.217798646439366,0.260512052033542,1,0
0.771659865274865,1,0.209238227079226,0
0.698668421392758,0.823368209397503,1,0
1,0.820395599386272,0.49127208370089,0
0.268793172440513,1,0.0135998589016969,0
0.516958369192563,1,0.130993627144992,1
1,0.784767055612873,0.864837604212698,0
0.61772433987794,0.646095834097627,1,1
0.430583548655688,0.54702206522806,1,0
0.508242362359452,1,0.00195636783248333,0
1,0.177580690411348,0.198529901810566,1
0.871020893435427,1,0.33284996570937,1
1,0.354338528320645,0.364875707080215,0
1,0.930927133430119,0.923591235806761,0
0.240110873831515,1,0.104975735770718,1
0.0494718897370669,0.327947026977559,1,1
0.0534732381706902,1,0.440210385668199,1
1,0.70691061903186,0.102575322766822,1
1,0.83361019762356,0.168071778534196,0
1,0.279530233662404,0.130428968998486,0
0.683721210776818,1,0.0962397824596894,1
0.179869636042075,0.999358703693164,1,0
0.234147860610504,1,0.920001887105122,1
0.493948738535384,1,0.179888421719039,0
1,0.931829429315285,0.456119378830758,1
1,0.701698258691202,0.184410225182713,1
0.388095512243371,1,0.0723979835764077,1
0.496325896612756,1,0.924485561948835,0
0.392443904596984,0.615757140443192,1,0
1,0.375662963717046,0.0777058039364241,0
0.86275506768455,1,0.402128944548781,1
0.0923613533022281,0.163218361054228,1,0
0.876309358844587,0.8854465531455,1,1
0.0195965294190342,1,0.55698636578352,1
0.311749621668954,0.379789016350464,1,1
0.70538393271252,0.432133358540802,1,0
1,0.757194383228089,0.101703008325842,0
1,0.336844915975466,0.223075190822587,0
1,0.193934020328187,0.777177396136014,1
1,0.32244928369809,0.00828612187528074,0
1,0.88659560688004,0.144681326449492,1
1,0.404522928078427,1.02154679922489e-06,1
0.492577999304001,1,0.0540846504547971,1
1,0.806214367596672,0.129069667969749,0
0.811803274033065,1,0.0430845940251545,1
0.341283622785365,1,0.329336126160737,1
0.576698686502444,1,0.209334306665752,0
1,0.709507567245789,0.0387380878798769,0
1,0.940952312139041,0.397238174651303,0
0.864402331380852,1,0.0800288641169351,0
0.633849035238629,1,0.203793264761517,0
0.424124926538551,1,0.39547363306333,0
0.111857323656241,0.903497576015314,1,0
0.12400614279268,1,0.632672293239541,1
0.454456247821944,0.594360280038176,1,0
1,0.166461284182784,0.117311365517166,1
0.356382575827669,1,0.527518724813243,1
0.336887031684406,1,0.529500791078691,0
0.666917622317311,1,0.17109953497333,1
1,0.710463606068605,0.0123368283428684,0
0.0471409589524581,0.122643701251973,1,0
0.295157536308703,0.165042071852301,1,1
0.567117485573283,0.248376833200725,1,0
0.380427103337296,0.396118320912166,1,0
0.249162777222219,1,0.0804170555511907,0
1,0.321260727914091,0.0138697625736195,1
0.321417371117983,0.555168082887155,1,1
1,0.845226304935423,0.0209785300347895,1
0.67527143673436,1,0.366661174565153,1
1,0.784046442104965,0.16960763120767,0
0.011895259200928,0.690841958950986,1,1
1,0.59333448384886,0.484327387403704,0
0.0947384370248146,1,0.223382850901978,0
0.0624156874408238,1,0.480883886375388,1
0.330593420333729,1,0.173701597012616,1
0.0601086892170586,0.41993149879155,1,1
0.0856724901660739,0.764924320193068,1,0
0.0157109744083846,0.880781461717174,1,0
0.0361002070653297,1,0.919684623541891,0
1,0.72272932035214,0.0884420455788077,1
0.448158951451294,1,0.0383361297784553,0
0.852344423386879,1,0.165513593055989,0
0.556454839807977,1,0.24947107179515,0
0.0661311294739945,0.627528376357787,1,1
